Imatest,5.1.36,,Random
File,OV13b10_AG15.5_ET2800_deadleaf_12M_60_denoised_A_model_mixup025.raw
Run date,24-Mar-2026 11:23:32,,Build 2020-01-08

Image pixels (WxH),4032,3024
Crop,1669,1652
L R T B, 1194,2862,648,2299
pixels/in,0
pixels/mm,0
um/pixel,0
MTF30,0.109 Cy/Pxl,Secondary readout

Table of MTF
f (c/p),f (C/P),MTF,MTF w/noise,Noise PSD,S+N PSD,Signal PSD,,Seg 1
 0.0020,   0.0020, 0.8687, 0.8681, 0.0139091, 1.0000000, 0.9860909,, 0.8687
 0.0098,   0.0098, 0.9384, 0.9605, 0.0139091, 0.2312437, 0.2173346,, 0.9384
 0.0177,   0.0177, 1.0000, 1.0000, 0.0013903, 0.0901490, 0.0887587,, 1.0000
 0.0256,   0.0256, 0.9165, 0.9141, 0.0003913, 0.0384812, 0.0380898,, 0.9165
 0.0335,   0.0335, 0.8410, 0.8399, 0.0002527, 0.0196410, 0.0193883,, 0.8410
 0.0413,   0.0413, 0.7714, 0.7725, 0.0002006, 0.0111193, 0.0109187,, 0.7714
 0.0492,   0.0492, 0.6963, 0.6969, 0.0001111, 0.0064800, 0.0063688,, 0.6963
 0.0571,   0.0571, 0.6394, 0.6410, 0.0000841, 0.0041173, 0.0040333,, 0.6394
 0.0649,   0.0649, 0.5685, 0.5722, 0.0000722, 0.0025543, 0.0024821,, 0.5685
 0.0728,   0.0728, 0.5049, 0.5086, 0.0000482, 0.0016148, 0.0015666,, 0.5049
 0.0807,   0.0807, 0.4490, 0.4545, 0.0000414, 0.0010562, 0.0010148,, 0.4490
 0.0886,   0.0886, 0.4058, 0.4136, 0.0000381, 0.0007293, 0.0006911,, 0.4058
 0.0964,   0.0964, 0.3595, 0.3689, 0.0000317, 0.0004908, 0.0004591,, 0.3595
 0.1043,   0.1043, 0.3211, 0.3324, 0.0000277, 0.0003416, 0.0003139,, 0.3211
 0.1122,   0.1122, 0.2885, 0.3034, 0.0000270, 0.0002467, 0.0002196,, 0.2885
 0.1201,   0.1201, 0.2603, 0.2772, 0.0000238, 0.0001803, 0.0001565,, 0.2603
 0.1279,   0.1279, 0.2406, 0.2591, 0.0000210, 0.0001390, 0.0001180,, 0.2406
 0.1358,   0.1358, 0.2255, 0.2476, 0.0000206, 0.0001128, 0.0000922,, 0.2255
 0.1437,   0.1437, 0.2093, 0.2322, 0.0000178, 0.0000888, 0.0000710,, 0.2093
 0.1516,   0.1516, 0.1971, 0.2232, 0.0000172, 0.0000739, 0.0000567,, 0.1971
 0.1594,   0.1594, 0.1797, 0.2136, 0.0000186, 0.0000612, 0.0000427,, 0.1797
 0.1673,   0.1673, 0.1758, 0.2069, 0.0000151, 0.0000522, 0.0000371,, 0.1758
 0.1752,   0.1752, 0.1662, 0.2005, 0.0000145, 0.0000448, 0.0000303,, 0.1662
 0.1831,   0.1831, 0.1600, 0.1948, 0.0000130, 0.0000388, 0.0000257,, 0.1600
 0.1909,   0.1909, 0.1509, 0.1922, 0.0000136, 0.0000347, 0.0000211,, 0.1509
 0.1988,   0.1988, 0.1489, 0.1907, 0.0000126, 0.0000315, 0.0000189,, 0.1489
 0.2067,   0.2067, 0.1452, 0.1896, 0.0000122, 0.0000289, 0.0000167,, 0.1452
 0.2146,   0.2146, 0.1409, 0.1896, 0.0000122, 0.0000268, 0.0000146,, 0.1409
 0.2224,   0.2224, 0.1437, 0.1892, 0.0000108, 0.0000249, 0.0000141,, 0.1437
 0.2303,   0.2303, 0.1333, 0.1884, 0.0000117, 0.0000230, 0.0000113,, 0.1333
 0.2382,   0.2382, 0.1349, 0.1901, 0.0000110, 0.0000219, 0.0000109,, 0.1349
 0.2461,   0.2461, 0.1367, 0.1918, 0.0000105, 0.0000209, 0.0000105,, 0.1367
 0.2539,   0.2539, 0.1319, 0.1958, 0.0000113, 0.0000205, 0.0000091,, 0.1319
 0.2618,   0.2618, 0.1387, 0.1977, 0.0000101, 0.0000196, 0.0000095,, 0.1387
 0.2697,   0.2697, 0.1305, 0.1974, 0.0000105, 0.0000185, 0.0000079,, 0.1305
 0.2776,   0.2776, 0.1370, 0.2020, 0.0000100, 0.0000183, 0.0000083,, 0.1370
 0.2854,   0.2854, 0.1326, 0.2019, 0.0000099, 0.0000173, 0.0000073,, 0.1326
 0.2933,   0.2933, 0.1361, 0.2028, 0.0000092, 0.0000165, 0.0000073,, 0.1361
 0.3012,   0.3012, 0.1341, 0.2061, 0.0000094, 0.0000162, 0.0000067,, 0.1341
 0.3091,   0.3091, 0.1348, 0.2112, 0.0000097, 0.0000161, 0.0000065,, 0.1348
 0.3169,   0.3169, 0.1387, 0.2145, 0.0000093, 0.0000158, 0.0000065,, 0.1387
 0.3248,   0.3248, 0.1390, 0.2149, 0.0000089, 0.0000151, 0.0000062,, 0.1390
 0.3327,   0.3327, 0.1435, 0.2179, 0.0000085, 0.0000148, 0.0000063,, 0.1435
 0.3406,   0.3406, 0.1391, 0.2233, 0.0000092, 0.0000148, 0.0000057,, 0.1391
 0.3484,   0.3484, 0.1448, 0.2263, 0.0000087, 0.0000146, 0.0000059,, 0.1448
 0.3563,   0.3563, 0.1453, 0.2340, 0.0000093, 0.0000149, 0.0000057,, 0.1453
 0.3642,   0.3642, 0.1453, 0.2354, 0.0000090, 0.0000145, 0.0000054,, 0.1453
 0.3721,   0.3721, 0.1507, 0.2388, 0.0000087, 0.0000142, 0.0000056,, 0.1507
 0.3799,   0.3799, 0.1560, 0.2433, 0.0000084, 0.0000142, 0.0000057,, 0.1560
 0.3878,   0.3878, 0.1516, 0.2435, 0.0000084, 0.0000136, 0.0000052,, 0.1516
 0.3957,   0.3957, 0.1566, 0.2491, 0.0000084, 0.0000137, 0.0000053,, 0.1566
 0.4036,   0.4036, 0.1609, 0.2560, 0.0000085, 0.0000139, 0.0000054,, 0.1609
 0.4114,   0.4114, 0.1714, 0.2648, 0.0000084, 0.0000143, 0.0000059,, 0.1714
 0.4193,   0.4193, 0.1832, 0.2715, 0.0000080, 0.0000145, 0.0000065,, 0.1832
 0.4272,   0.4272, 0.1953, 0.2801, 0.0000078, 0.0000149, 0.0000071,, 0.1953
 0.4351,   0.4351, 0.2034, 0.2928, 0.0000082, 0.0000157, 0.0000075,, 0.2034
 0.4429,   0.4429, 0.2187, 0.3114, 0.0000088, 0.0000171, 0.0000083,, 0.2187
 0.4508,   0.4508, 0.2515, 0.3336, 0.0000084, 0.0000190, 0.0000106,, 0.2515
