Imatest,5.1.36,,Random
File,OV13b10_AG1_ET40000_deadleaf_12M_1_denoised_A_model_mixup015.raw
Run date,24-Mar-2026 11:22:20,,Build 2020-01-08

Image pixels (WxH),4032,3024
Crop,1673,1656
L R T B, 1194,2866,646,2301
pixels/in,0
pixels/mm,0
um/pixel,0
MTF30,0.0998 Cy/Pxl,Secondary readout

Table of MTF
f (c/p),f (C/P),MTF,MTF w/noise,Noise PSD,S+N PSD,Signal PSD,,Seg 1
 0.0020,   0.0020, 0.8612, 0.8612, 0.0104521, 1.0000000, 0.9895479,, 0.8612
 0.0098,   0.0098, 0.9456, 0.9622, 0.0104521, 0.2369877, 0.2265356,, 0.9456
 0.0177,   0.0177, 1.0000, 1.0000, 0.0009595, 0.0929753, 0.0920158,, 1.0000
 0.0256,   0.0256, 0.9120, 0.9092, 0.0001661, 0.0393200, 0.0391539,, 0.9120
 0.0335,   0.0335, 0.8366, 0.8341, 0.0000881, 0.0200138, 0.0199257,, 0.8366
 0.0413,   0.0413, 0.7564, 0.7548, 0.0000670, 0.0109683, 0.0109013,, 0.7564
 0.0492,   0.0492, 0.6816, 0.6797, 0.0000303, 0.0063693, 0.0063390,, 0.6816
 0.0571,   0.0571, 0.6222, 0.6207, 0.0000219, 0.0039906, 0.0039687,, 0.6222
 0.0649,   0.0649, 0.5435, 0.5431, 0.0000212, 0.0023788, 0.0023576,, 0.5435
 0.0728,   0.0728, 0.4771, 0.4769, 0.0000136, 0.0014686, 0.0014550,, 0.4771
 0.0807,   0.0807, 0.4148, 0.4148, 0.0000094, 0.0009099, 0.0009005,, 0.4148
 0.0886,   0.0886, 0.3639, 0.3651, 0.0000096, 0.0005874, 0.0005778,, 0.3639
 0.0964,   0.0964, 0.3157, 0.3166, 0.0000061, 0.0003740, 0.0003679,, 0.3157
 0.1043,   0.1043, 0.2784, 0.2801, 0.0000057, 0.0002510, 0.0002453,, 0.2784
 0.1122,   0.1122, 0.2440, 0.2466, 0.0000052, 0.0001686, 0.0001634,, 0.2440
 0.1201,   0.1201, 0.2159, 0.2185, 0.0000039, 0.0001158, 0.0001119,, 0.2159
 0.1279,   0.1279, 0.1911, 0.1948, 0.0000039, 0.0000813, 0.0000774,, 0.1911
 0.1358,   0.1358, 0.1756, 0.1793, 0.0000031, 0.0000612, 0.0000581,, 0.1756
 0.1437,   0.1437, 0.1600, 0.1639, 0.0000026, 0.0000457, 0.0000431,, 0.1600
 0.1516,   0.1516, 0.1466, 0.1503, 0.0000021, 0.0000346, 0.0000326,, 0.1466
 0.1594,   0.1594, 0.1335, 0.1382, 0.0000020, 0.0000265, 0.0000245,, 0.1335
 0.1673,   0.1673, 0.1246, 0.1290, 0.0000016, 0.0000210, 0.0000194,, 0.1246
 0.1752,   0.1752, 0.1151, 0.1199, 0.0000015, 0.0000166, 0.0000151,, 0.1151
 0.1831,   0.1831, 0.1082, 0.1129, 0.0000012, 0.0000135, 0.0000122,, 0.1082
 0.1909,   0.1909, 0.1026, 0.1082, 0.0000013, 0.0000114, 0.0000101,, 0.1026
 0.1988,   0.1988, 0.0986, 0.1043, 0.0000011, 0.0000097, 0.0000086,, 0.0986
 0.2067,   0.2067, 0.0950, 0.1003, 0.0000009, 0.0000083, 0.0000074,, 0.0950
 0.2146,   0.2146, 0.0896, 0.0964, 0.0000010, 0.0000072, 0.0000061,, 0.0896
 0.2224,   0.2224, 0.0887, 0.0950, 0.0000009, 0.0000065, 0.0000056,, 0.0887
 0.2303,   0.2303, 0.0857, 0.0921, 0.0000008, 0.0000057, 0.0000049,, 0.0857
 0.2382,   0.2382, 0.0836, 0.0908, 0.0000008, 0.0000052, 0.0000043,, 0.0836
 0.2461,   0.2461, 0.0815, 0.0897, 0.0000009, 0.0000047, 0.0000039,, 0.0815
 0.2539,   0.2539, 0.0785, 0.0931, 0.0000014, 0.0000048, 0.0000034,, 0.0785
 0.2618,   0.2618, 0.0791, 0.0889, 0.0000009, 0.0000041, 0.0000032,, 0.0791
 0.2697,   0.2697, 0.0784, 0.0871, 0.0000007, 0.0000037, 0.0000030,, 0.0784
