Imatest,5.1.36,,Random
File,OV13b10_AG8_ET5500_deadleaf_12M_40_denoised_A_model_mixup015.raw
Run date,24-Mar-2026 11:22:20,,Build 2020-01-08

Image pixels (WxH),4032,3024
Crop,1668,1652
L R T B, 1194,2861,648,2299
pixels/in,0
pixels/mm,0
um/pixel,0
MTF30,0.0974 Cy/Pxl,Secondary readout

Table of MTF
f (c/p),f (C/P),MTF,MTF w/noise,Noise PSD,S+N PSD,Signal PSD,,Seg 1
 0.0020,   0.0020, 0.8695, 0.8684, 0.0098659, 1.0000000, 0.9901341,, 0.8695
 0.0098,   0.0098, 0.9462, 0.9610, 0.0098659, 0.2313124, 0.2214465,, 0.9462
 0.0177,   0.0177, 1.0000, 1.0000, 0.0011211, 0.0900865, 0.0889655,, 1.0000
 0.0256,   0.0256, 0.9124, 0.9099, 0.0002693, 0.0381057, 0.0378364,, 0.9124
 0.0335,   0.0335, 0.8298, 0.8276, 0.0001331, 0.0190543, 0.0189212,, 0.8298
 0.0413,   0.0413, 0.7501, 0.7497, 0.0001191, 0.0104663, 0.0103472,, 0.7501
 0.0492,   0.0492, 0.6668, 0.6663, 0.0000651, 0.0059194, 0.0058542,, 0.6668
 0.0571,   0.0571, 0.6071, 0.6068, 0.0000428, 0.0036877, 0.0036448,, 0.6071
 0.0649,   0.0649, 0.5349, 0.5360, 0.0000370, 0.0022399, 0.0022028,, 0.5349
 0.0728,   0.0728, 0.4609, 0.4626, 0.0000262, 0.0013347, 0.0013085,, 0.4609
 0.0807,   0.0807, 0.4013, 0.4039, 0.0000209, 0.0008335, 0.0008125,, 0.4013
 0.0886,   0.0886, 0.3507, 0.3550, 0.0000194, 0.0005370, 0.0005177,, 0.3507
 0.0964,   0.0964, 0.3045, 0.3086, 0.0000131, 0.0003432, 0.0003302,, 0.3045
 0.1043,   0.1043, 0.2673, 0.2731, 0.0000124, 0.0002305, 0.0002180,, 0.2673
 0.1122,   0.1122, 0.2324, 0.2398, 0.0000112, 0.0001540, 0.0001428,, 0.2324
 0.1201,   0.1201, 0.2067, 0.2148, 0.0000092, 0.0001082, 0.0000989,, 0.2067
 0.1279,   0.1279, 0.1829, 0.1916, 0.0000076, 0.0000760, 0.0000683,, 0.1829
 0.1358,   0.1358, 0.1678, 0.1789, 0.0000077, 0.0000589, 0.0000512,, 0.1678
 0.1437,   0.1437, 0.1534, 0.1653, 0.0000067, 0.0000450, 0.0000383,, 0.1534
 0.1516,   0.1516, 0.1407, 0.1535, 0.0000059, 0.0000349, 0.0000290,, 0.1407
 0.1594,   0.1594, 0.1252, 0.1407, 0.0000058, 0.0000265, 0.0000208,, 0.1252
