Imatest,5.1.36,,Random
File,OV13b10_AG15.5_ET2800_deadleaf_12M_60_denoised_A_model_mixup08.raw
Run date,24-Mar-2026 11:21:08,,Build 2020-01-08

Image pixels (WxH),4032,3024
Crop,1669,1653
L R T B, 1194,2862,647,2299
pixels/in,0
pixels/mm,0
um/pixel,0
MTF30,0 Cy/Pxl,Secondary readout

Table of MTF
f (c/p),f (C/P),MTF,MTF w/noise,Noise PSD,S+N PSD,Signal PSD,,Seg 1
 0.0020,   0.0020, 0.8333, 0.8330, 0.0130178, 1.0000000, 0.9869822,, 0.8333
 0.0098,   0.0098, 0.9134, 0.9330, 0.0130178, 0.2375567, 0.2245389,, 0.9134
 0.0177,   0.0177, 1.0000, 1.0000, 0.0013593, 0.0981497, 0.0967904,, 1.0000
 0.0256,   0.0256, 0.9522, 0.9503, 0.0004490, 0.0453219, 0.0448729,, 0.9522
 0.0335,   0.0335, 0.9153, 0.9149, 0.0003261, 0.0253940, 0.0250679,, 0.9153
 0.0413,   0.0413, 0.8902, 0.8930, 0.0003234, 0.0161756, 0.0158522,, 0.8902
 0.0492,   0.0492, 0.8477, 0.8514, 0.0002352, 0.0105266, 0.0102913,, 0.8477
 0.0571,   0.0571, 0.8230, 0.8293, 0.0002149, 0.0074998, 0.0072849,, 0.8230
 0.0649,   0.0649, 0.7752, 0.7855, 0.0002069, 0.0052382, 0.0050313,, 0.7752
 0.0728,   0.0728, 0.7393, 0.7511, 0.0001714, 0.0038322, 0.0036608,, 0.7393
 0.0807,   0.0807, 0.6972, 0.7127, 0.0001595, 0.0028248, 0.0026653,, 0.6972
 0.0886,   0.0886, 0.6758, 0.6967, 0.0001624, 0.0022514, 0.0020890,, 0.6758
 0.0964,   0.0964, 0.6390, 0.6651, 0.0001557, 0.0017366, 0.0015809,, 0.6390
 0.1043,   0.1043, 0.6070, 0.6383, 0.0001482, 0.0013707, 0.0012225,, 0.6070
 0.1122,   0.1122, 0.5855, 0.6235, 0.0001480, 0.0011338, 0.0009858,, 0.5855
 0.1201,   0.1201, 0.5526, 0.5973, 0.0001421, 0.0009107, 0.0007686,, 0.5526
 0.1279,   0.1279, 0.5408, 0.5916, 0.0001387, 0.0007885, 0.0006498,, 0.5408
 0.1358,   0.1358, 0.5336, 0.5893, 0.0001332, 0.0006955, 0.0005623,, 0.5336
 0.1437,   0.1437, 0.5126, 0.5724, 0.0001228, 0.0005871, 0.0004643,, 0.5126
 0.1516,   0.1516, 0.4938, 0.5636, 0.0001245, 0.0005123, 0.0003878,, 0.4938
 0.1594,   0.1594, 0.4686, 0.5561, 0.0001353, 0.0004513, 0.0003159,, 0.4686
 0.1673,   0.1673, 0.4699, 0.5528, 0.0001165, 0.0004054, 0.0002889,, 0.4699
 0.1752,   0.1752, 0.4566, 0.5491, 0.0001162, 0.0003653, 0.0002491,, 0.4566
 0.1831,   0.1831, 0.4420, 0.5394, 0.0001091, 0.0003231, 0.0002140,, 0.4420
 0.1909,   0.1909, 0.4222, 0.5380, 0.0001162, 0.0002958, 0.0001796,, 0.4222
 0.1988,   0.1988, 0.4251, 0.5438, 0.0001107, 0.0002789, 0.0001681,, 0.4251
 0.2067,   0.2067, 0.4140, 0.5445, 0.0001113, 0.0002589, 0.0001476,, 0.4140
 0.2146,   0.2146, 0.4099, 0.5466, 0.0001080, 0.0002423, 0.0001344,, 0.4099
 0.2224,   0.2224, 0.4118, 0.5487, 0.0001010, 0.0002273, 0.0001263,, 0.4118
 0.2303,   0.2303, 0.3889, 0.5495, 0.0001077, 0.0002128, 0.0001051,, 0.3889
 0.2382,   0.2382, 0.3897, 0.5501, 0.0001007, 0.0001995, 0.0000987,, 0.3897
 0.2461,   0.2461, 0.3917, 0.5541, 0.0000963, 0.0001898, 0.0000935,, 0.3917
