Imatest,5.1.36,,Random
File,OV13b10_AG1_ET40000_deadleaf_12M_1_denoised.raw
Run date,19-Mar-2026 16:15:05,,Build 2020-01-08

Image pixels (WxH),4032,3024
Crop,1673,1655
L R T B, 1194,2866,647,2301
pixels/in,0
pixels/mm,0
um/pixel,0
MTF30,0.18 Cy/Pxl,Secondary readout

Table of MTF
f (c/p),f (C/P),MTF,MTF w/noise,Noise PSD,S+N PSD,Signal PSD,,Seg 1
 0.0020,   0.0020, 0.8150, 0.8162, 0.0113651, 1.0000000, 0.9886349,, 0.8150
 0.0098,   0.0098, 0.8993, 0.9176, 0.0113651, 0.2396230, 0.2282579,, 0.8993
 0.0177,   0.0177, 1.0000, 1.0000, 0.0008548, 0.1027698, 0.1019150,, 1.0000
 0.0256,   0.0256, 0.9663, 0.9639, 0.0001644, 0.0487393, 0.0485750,, 0.9663
 0.0335,   0.0335, 0.9464, 0.9438, 0.0000809, 0.0282622, 0.0281813,, 0.9464
 0.0413,   0.0413, 0.9213, 0.9192, 0.0000663, 0.0179531, 0.0178869,, 0.9213
 0.0492,   0.0492, 0.8910, 0.8884, 0.0000318, 0.0120114, 0.0119796,, 0.8910
 0.0571,   0.0571, 0.8657, 0.8633, 0.0000252, 0.0085134, 0.0084882,, 0.8657
 0.0649,   0.0649, 0.8077, 0.8059, 0.0000231, 0.0057741, 0.0057510,, 0.8077
 0.0728,   0.0728, 0.7633, 0.7615, 0.0000151, 0.0041294, 0.0041143,, 0.7633
 0.0807,   0.0807, 0.7139, 0.7125, 0.0000134, 0.0029600, 0.0029466,, 0.7139
 0.0886,   0.0886, 0.6771, 0.6763, 0.0000131, 0.0022228, 0.0022098,, 0.6771
 0.0964,   0.0964, 0.6350, 0.6343, 0.0000100, 0.0016548, 0.0016448,, 0.6350
 0.1043,   0.1043, 0.6020, 0.6015, 0.0000085, 0.0012760, 0.0012675,, 0.6020
 0.1122,   0.1122, 0.5673, 0.5675, 0.0000088, 0.0009845, 0.0009757,, 0.5673
 0.1201,   0.1201, 0.5311, 0.5319, 0.0000085, 0.0007569, 0.0007485,, 0.5311
 0.1279,   0.1279, 0.4918, 0.4943, 0.0000104, 0.0005769, 0.0005665,, 0.4918
 0.1358,   0.1358, 0.4700, 0.4716, 0.0000072, 0.0004670, 0.0004598,, 0.4700
 0.1437,   0.1437, 0.4322, 0.4346, 0.0000068, 0.0003547, 0.0003479,, 0.4322
 0.1516,   0.1516, 0.4017, 0.4043, 0.0000058, 0.0002763, 0.0002705,, 0.4017
 0.1594,   0.1594, 0.3676, 0.3714, 0.0000060, 0.0002110, 0.0002050,, 0.3676
 0.1673,   0.1673, 0.3457, 0.3497, 0.0000052, 0.0001700, 0.0001648,, 0.3457
 0.1752,   0.1752, 0.3156, 0.3207, 0.0000051, 0.0001306, 0.0001254,, 0.3156
 0.1831,   0.1831, 0.2910, 0.2966, 0.0000046, 0.0001024, 0.0000977,, 0.2910
 0.1909,   0.1909, 0.2716, 0.2782, 0.0000045, 0.0000829, 0.0000784,, 0.2716
 0.1988,   0.1988, 0.2581, 0.2660, 0.0000046, 0.0000699, 0.0000653,, 0.2581
 0.2067,   0.2067, 0.2393, 0.2479, 0.0000043, 0.0000563, 0.0000520,, 0.2393
 0.2146,   0.2146, 0.2251, 0.2351, 0.0000043, 0.0000470, 0.0000427,, 0.2251
 0.2224,   0.2224, 0.2190, 0.2290, 0.0000039, 0.0000415, 0.0000376,, 0.2190
 0.2303,   0.2303, 0.2065, 0.2174, 0.0000037, 0.0000349, 0.0000312,, 0.2065
 0.2382,   0.2382, 0.1983, 0.2103, 0.0000036, 0.0000305, 0.0000269,, 0.1983
 0.2461,   0.2461, 0.1915, 0.2042, 0.0000035, 0.0000270, 0.0000236,, 0.1915
 0.2539,   0.2539, 0.1893, 0.2036, 0.0000036, 0.0000252, 0.0000216,, 0.1893
 0.2618,   0.2618, 0.1773, 0.1944, 0.0000038, 0.0000216, 0.0000179,, 0.1773
 0.2697,   0.2697, 0.1753, 0.1923, 0.0000035, 0.0000200, 0.0000165,, 0.1753
 0.2776,   0.2776, 0.1750, 0.1941, 0.0000037, 0.0000192, 0.0000155,, 0.1750
 0.2854,   0.2854, 0.1706, 0.1898, 0.0000035, 0.0000174, 0.0000139,, 0.1706
 0.2933,   0.2933, 0.1696, 0.1884, 0.0000032, 0.0000162, 0.0000130,, 0.1696
 0.3012,   0.3012, 0.1650, 0.1855, 0.0000032, 0.0000149, 0.0000117,, 0.1650
 0.3091,   0.3091, 0.1649, 0.1878, 0.0000034, 0.0000145, 0.0000111,, 0.1649
 0.3169,   0.3169, 0.1647, 0.1910, 0.0000037, 0.0000143, 0.0000105,, 0.1647
 0.3248,   0.3248, 0.1639, 0.1869, 0.0000031, 0.0000130, 0.0000099,, 0.1639
 0.3327,   0.3327, 0.1686, 0.1918, 0.0000031, 0.0000131, 0.0000100,, 0.1686
 0.3406,   0.3406, 0.1662, 0.1936, 0.0000034, 0.0000127, 0.0000093,, 0.1662
 0.3484,   0.3484, 0.1681, 0.1945, 0.0000032, 0.0000123, 0.0000091,, 0.1681
 0.3563,   0.3563, 0.1725, 0.2016, 0.0000035, 0.0000126, 0.0000092,, 0.1725
 0.3642,   0.3642, 0.1788, 0.2096, 0.0000036, 0.0000131, 0.0000094,, 0.1788
 0.3721,   0.3721, 0.1816, 0.2103, 0.0000033, 0.0000126, 0.0000093,, 0.1816
 0.3799,   0.3799, 0.1850, 0.2163, 0.0000035, 0.0000128, 0.0000093,, 0.1850
 0.3878,   0.3878, 0.1930, 0.2217, 0.0000032, 0.0000129, 0.0000097,, 0.1930
 0.3957,   0.3957, 0.2000, 0.2296, 0.0000033, 0.0000133, 0.0000100,, 0.2000
 0.4036,   0.4036, 0.2075, 0.2360, 0.0000031, 0.0000135, 0.0000103,, 0.2075
 0.4114,   0.4114, 0.2150, 0.2436, 0.0000031, 0.0000138, 0.0000107,, 0.2150
 0.4193,   0.4193, 0.2241, 0.2540, 0.0000033, 0.0000145, 0.0000112,, 0.2241
 0.4272,   0.4272, 0.2357, 0.2643, 0.0000032, 0.0000151, 0.0000119,, 0.2357
 0.4351,   0.4351, 0.2465, 0.2763, 0.0000034, 0.0000159, 0.0000126,, 0.2465
 0.4429,   0.4429, 0.2655, 0.2976, 0.0000038, 0.0000178, 0.0000141,, 0.2655
 0.4508,   0.4508, 0.2797, 0.3114, 0.0000038, 0.0000189, 0.0000151,, 0.2797
 0.4587,   0.4587, 0.3050, 0.3342, 0.0000036, 0.0000210, 0.0000173,, 0.3050
 0.4665,   0.4665, 0.3339, 0.3587, 0.0000033, 0.0000234, 0.0000201,, 0.3339
 0.4744,   0.4744, 0.3663, 0.3952, 0.0000041, 0.0000274, 0.0000234,, 0.3663
 0.4823,   0.4823, 0.4105, 0.4374, 0.0000041, 0.0000325, 0.0000284,, 0.4105
 0.4902,   0.4902, 0.4737, 0.5080, 0.0000059, 0.0000425, 0.0000366,, 0.4737
 0.4980,   0.4980, 0.5617, 0.6377, 0.0000149, 0.0000648, 0.0000499,, 0.5617

MTFnn C/P, Mean,  Seg 1,
MTF70 C/P,0.0837, 0.0837, 
MTF50 C/P,0.1263, 0.1263, 
MTF30 C/P,0.1802, 0.1802, 
MTF20 C/P,0.2366, 0.2366, 
MTF10 C/P,0.0000, 0.0000, 
MTFnnP C/P, Mean,  Seg 1,
MTF70P C/P,0.0837, 0.0837, 
MTF50P C/P,0.1263, 0.1263, 
MTF30P C/P,0.1802, 0.1802, 
MTF20P C/P,0.2366, 0.2366, 
MTF10P C/P,0.0000, 0.0000, 
Undersharpening %,25.526

Acutance (CPIQ), Region, 1 of 1
Print height ,Viewing dist (cm),Acutance
   40,  1.00,  0.00
   40,  2.00,  0.00
   40,  3.00,  0.01
   40,  4.00,  0.01
   40,  5.00,  0.02
   40,  6.00,  0.03
   40,  7.00,  0.04
   40,  8.00,  0.04
   40,  9.00,  0.05
   40, 10.00,  0.06
   40, 11.00,  0.07
   40, 12.00,  0.08
   40, 13.00,  0.09
   40, 14.00,  0.10
   40, 15.00,  0.10
   40, 16.00,  0.11
   40, 17.00,  0.12
   40, 18.00,  0.13
   40, 19.00,  0.14
   40, 20.00,  0.15
   40, 21.00,  0.16
   40, 22.00,  0.17
   40, 23.00,  0.18
   40, 24.00,  0.18
   40, 25.00,  0.19
   40, 26.00,  0.20
   40, 27.00,  0.21
   40, 28.00,  0.22
   40, 29.00,  0.23
   40, 30.00,  0.24
   40, 31.00,  0.24
   40, 32.00,  0.25
   40, 33.00,  0.26
   40, 34.00,  0.27
   40, 35.00,  0.28
   40, 36.00,  0.28
   40, 37.00,  0.29
   40, 38.00,  0.30
   40, 39.00,  0.31
   40, 40.00,  0.31
   40, 41.00,  0.32
   40, 42.00,  0.33
   40, 43.00,  0.33
   40, 44.00,  0.34
   40, 45.00,  0.35
   40, 46.00,  0.36
   40, 47.00,  0.36
   40, 48.00,  0.37
   40, 49.00,  0.37
   40, 50.00,  0.38
   40, 51.00,  0.39
   40, 52.00,  0.39
   40, 53.00,  0.40
   40, 54.00,  0.41
   40, 55.00,  0.41
   40, 56.00,  0.42
   40, 57.00,  0.42
   40, 58.00,  0.43
   40, 59.00,  0.43
   40, 60.00,  0.44
   40, 61.00,  0.45
   40, 62.00,  0.45
   40, 63.00,  0.46
   40, 64.00,  0.46
   40, 65.00,  0.47
   40, 66.00,  0.47
   40, 67.00,  0.48
   40, 68.00,  0.48
   40, 69.00,  0.49
   40, 70.00,  0.49
   40, 71.00,  0.50
   40, 72.00,  0.50
   40, 73.00,  0.50
   40, 74.00,  0.51
   40, 75.00,  0.51
   40, 76.00,  0.52
   40, 77.00,  0.52
   40, 78.00,  0.53
   40, 79.00,  0.53
   40, 80.00,  0.54
   40, 81.00,  0.54
   40, 82.00,  0.54
   40, 83.00,  0.55
   40, 84.00,  0.55
   40, 85.00,  0.55
   40, 86.00,  0.56
   40, 87.00,  0.56
   40, 88.00,  0.57
   40, 89.00,  0.57
   40, 90.00,  0.57
   40, 91.00,  0.58
   40, 92.00,  0.58
