Imatest,5.1.36,,Random
File,OV13b10_AG15.5_ET2800_deadleaf_12M_60_denoised.raw
Run date,19-Mar-2026 16:15:05,,Build 2020-01-08

Image pixels (WxH),4032,3024
Crop,1669,1653
L R T B, 1194,2862,647,2299
pixels/in,0
pixels/mm,0
um/pixel,0
MTF30,0.186 Cy/Pxl,Secondary readout

Table of MTF
f (c/p),f (C/P),MTF,MTF w/noise,Noise PSD,S+N PSD,Signal PSD,,Seg 1
 0.0020,   0.0020, 0.8273, 0.8271, 0.0134051, 1.0000000, 0.9865949,, 0.8273
 0.0098,   0.0098, 0.9080, 0.9281, 0.0134051, 0.2384344, 0.2250293,, 0.9080
 0.0177,   0.0177, 1.0000, 1.0000, 0.0013964, 0.0995554, 0.0981590,, 1.0000
 0.0256,   0.0256, 0.9603, 0.9579, 0.0004172, 0.0467077, 0.0462905,, 0.9603
 0.0335,   0.0335, 0.9276, 0.9257, 0.0002597, 0.0263690, 0.0261093,, 0.9276
 0.0413,   0.0413, 0.9069, 0.9069, 0.0002353, 0.0169220, 0.0166866,, 0.9069
 0.0492,   0.0492, 0.8631, 0.8626, 0.0001405, 0.0109606, 0.0108201,, 0.8631
 0.0571,   0.0571, 0.8349, 0.8349, 0.0001084, 0.0077106, 0.0076021,, 0.8349
 0.0649,   0.0649, 0.7802, 0.7813, 0.0000891, 0.0052566, 0.0051675,, 0.7802
 0.0728,   0.0728, 0.7312, 0.7325, 0.0000647, 0.0036965, 0.0036318,, 0.7312
 0.0807,   0.0807, 0.6854, 0.6872, 0.0000507, 0.0026636, 0.0026129,, 0.6854
 0.0886,   0.0886, 0.6560, 0.6589, 0.0000465, 0.0020427, 0.0019962,, 0.6560
 0.0964,   0.0964, 0.6166, 0.6208, 0.0000418, 0.0015346, 0.0014928,, 0.6166
 0.1043,   0.1043, 0.5787, 0.5844, 0.0000386, 0.0011656, 0.0011270,, 0.5787
 0.1122,   0.1122, 0.5509, 0.5581, 0.0000362, 0.0009215, 0.0008853,, 0.5509
 0.1201,   0.1201, 0.5110, 0.5206, 0.0000351, 0.0007017, 0.0006666,, 0.5110
 0.1279,   0.1279, 0.4876, 0.5003, 0.0000363, 0.0005719, 0.0005357,, 0.4876
 0.1358,   0.1358, 0.4683, 0.4831, 0.0000349, 0.0004740, 0.0004392,, 0.4683
 0.1437,   0.1437, 0.4348, 0.4522, 0.0000329, 0.0003717, 0.0003388,, 0.4348
 0.1516,   0.1516, 0.4059, 0.4268, 0.0000322, 0.0002981, 0.0002658,, 0.4059
 0.1594,   0.1594, 0.3733, 0.4024, 0.0000362, 0.0002396, 0.0002034,, 0.3733
 0.1673,   0.1673, 0.3574, 0.3864, 0.0000314, 0.0002009, 0.0001695,, 0.3574
 0.1752,   0.1752, 0.3342, 0.3678, 0.0000309, 0.0001662, 0.0001353,, 0.3342
 0.1831,   0.1831, 0.3073, 0.3449, 0.0000291, 0.0001340, 0.0001049,, 0.3073
 0.1909,   0.1909, 0.2863, 0.3320, 0.0000304, 0.0001142, 0.0000838,, 0.2863
 0.1988,   0.1988, 0.2748, 0.3235, 0.0000289, 0.0001001, 0.0000712,, 0.2748
 0.2067,   0.2067, 0.2599, 0.3140, 0.0000283, 0.0000873, 0.0000590,, 0.2599
 0.2146,   0.2146, 0.2498, 0.3085, 0.0000277, 0.0000783, 0.0000506,, 0.2498
 0.2224,   0.2224, 0.2443, 0.3037, 0.0000256, 0.0000706, 0.0000451,, 0.2443
 0.2303,   0.2303, 0.2303, 0.3009, 0.0000273, 0.0000647, 0.0000374,, 0.2303
 0.2382,   0.2382, 0.2240, 0.2963, 0.0000256, 0.0000587, 0.0000331,, 0.2240
 0.2461,   0.2461, 0.2216, 0.2945, 0.0000240, 0.0000544, 0.0000304,, 0.2216
 0.2539,   0.2539, 0.2225, 0.2992, 0.0000240, 0.0000527, 0.0000288,, 0.2225
 0.2618,   0.2618, 0.2201, 0.3022, 0.0000241, 0.0000506, 0.0000265,, 0.2201
 0.2697,   0.2697, 0.2125, 0.3039, 0.0000250, 0.0000483, 0.0000233,, 0.2125
 0.2776,   0.2776, 0.2205, 0.3095, 0.0000236, 0.0000473, 0.0000237,, 0.2205
 0.2854,   0.2854, 0.2178, 0.3095, 0.0000229, 0.0000447, 0.0000218,, 0.2178
 0.2933,   0.2933, 0.2147, 0.3093, 0.0000222, 0.0000423, 0.0000201,, 0.2147
 0.3012,   0.3012, 0.2203, 0.3168, 0.0000220, 0.0000421, 0.0000201,, 0.2203
 0.3091,   0.3091, 0.2184, 0.3221, 0.0000226, 0.0000414, 0.0000187,, 0.2184
 0.3169,   0.3169, 0.2271, 0.3312, 0.0000223, 0.0000416, 0.0000193,, 0.2271
 0.3248,   0.3248, 0.2243, 0.3302, 0.0000215, 0.0000394, 0.0000179,, 0.2243
 0.3327,   0.3327, 0.2340, 0.3363, 0.0000204, 0.0000390, 0.0000186,, 0.2340
 0.3406,   0.3406, 0.2314, 0.3443, 0.0000216, 0.0000390, 0.0000174,, 0.2314
 0.3484,   0.3484, 0.2346, 0.3483, 0.0000211, 0.0000381, 0.0000170,, 0.2346
 0.3563,   0.3563, 0.2417, 0.3582, 0.0000212, 0.0000386, 0.0000173,, 0.2417
 0.3642,   0.3642, 0.2417, 0.3664, 0.0000220, 0.0000386, 0.0000166,, 0.2417
 0.3721,   0.3721, 0.2545, 0.3727, 0.0000207, 0.0000383, 0.0000176,, 0.2545
 0.3799,   0.3799, 0.2638, 0.3793, 0.0000199, 0.0000380, 0.0000181,, 0.2638
 0.3878,   0.3878, 0.2613, 0.3837, 0.0000203, 0.0000374, 0.0000171,, 0.2613
 0.3957,   0.3957, 0.2714, 0.3920, 0.0000198, 0.0000375, 0.0000177,, 0.2714
 0.4036,   0.4036, 0.2766, 0.4032, 0.0000204, 0.0000381, 0.0000177,, 0.2766
 0.4114,   0.4114, 0.2892, 0.4117, 0.0000196, 0.0000383, 0.0000186,, 0.2892
 0.4193,   0.4193, 0.3006, 0.4215, 0.0000192, 0.0000386, 0.0000194,, 0.3006
 0.4272,   0.4272, 0.3138, 0.4333, 0.0000190, 0.0000393, 0.0000203,, 0.3138
 0.4351,   0.4351, 0.3226, 0.4466, 0.0000196, 0.0000403, 0.0000207,, 0.3226
 0.4429,   0.4429, 0.3322, 0.4653, 0.0000210, 0.0000422, 0.0000212,, 0.3322
 0.4508,   0.4508, 0.3705, 0.4901, 0.0000197, 0.0000452, 0.0000255,, 0.3705
 0.4587,   0.4587, 0.3830, 0.5082, 0.0000206, 0.0000469, 0.0000263,, 0.3830
 0.4665,   0.4665, 0.4173, 0.5366, 0.0000204, 0.0000506, 0.0000302,, 0.4173
 0.4744,   0.4744, 0.4494, 0.5777, 0.0000229, 0.0000567, 0.0000338,, 0.4494
 0.4823,   0.4823, 0.5091, 0.6272, 0.0000227, 0.0000647, 0.0000420,, 0.5091
 0.4902,   0.4902, 0.5708, 0.7011, 0.0000271, 0.0000783, 0.0000512,, 0.5708
 0.4980,   0.4980, 0.6585, 0.8447, 0.0000441, 0.0001101, 0.0000660,, 0.6585

MTFnn C/P, Mean,  Seg 1,
MTF70 C/P,0.0782, 0.0782, 
MTF50 C/P,0.1238, 0.1238, 
MTF30 C/P,0.1858, 0.1858, 
MTF20 C/P,0.0000, 0.0000, 
MTF10 C/P,0.0000, 0.0000, 
MTFnnP C/P, Mean,  Seg 1,
MTF70P C/P,0.0782, 0.0782, 
MTF50P C/P,0.1238, 0.1238, 
MTF30P C/P,0.1858, 0.1858, 
