Imatest,5.1.36,,Random
File,OV13b10_AG8_ET5500_deadleaf_12M_40_denoised.raw
Run date,19-Mar-2026 16:14:23,,Build 2020-01-08

Image pixels (WxH),4032,3024
Crop,1668,1652
L R T B, 1194,2861,648,2299
pixels/in,0
pixels/mm,0
um/pixel,0
MTF30,0 Cy/Pxl,Secondary readout

Table of MTF
f (c/p),f (C/P),MTF,MTF w/noise,Noise PSD,S+N PSD,Signal PSD,,Seg 1
 0.0020,   0.0020, 0.8210, 0.8202, 0.0087345, 1.0000000, 0.9912655,, 0.8210
 0.0098,   0.0098, 0.9115, 0.9235, 0.0087345, 0.2394596, 0.2307251,, 0.9115
 0.0177,   0.0177, 1.0000, 1.0000, 0.0010988, 0.1009864, 0.0998875,, 1.0000
 0.0256,   0.0256, 0.9676, 0.9655, 0.0003098, 0.0480925, 0.0477827,, 0.9676
 0.0335,   0.0335, 0.9500, 0.9479, 0.0001819, 0.0280206, 0.0278387,, 0.9500
 0.0413,   0.0413, 0.9218, 0.9219, 0.0001935, 0.0177393, 0.0175458,, 0.9218
 0.0492,   0.0492, 0.8900, 0.8910, 0.0001565, 0.0118662, 0.0117097,, 0.8900
 0.0571,   0.0571, 0.8773, 0.8784, 0.0001158, 0.0086606, 0.0085448,, 0.8773
 0.0649,   0.0649, 0.8332, 0.8367, 0.0001168, 0.0061174, 0.0060006,, 0.8332
 0.0728,   0.0728, 0.7875, 0.7929, 0.0001073, 0.0043965, 0.0042892,, 0.7875
 0.0807,   0.0807, 0.7489, 0.7557, 0.0000939, 0.0032710, 0.0031770,, 0.7489
 0.0886,   0.0886, 0.7195, 0.7300, 0.0000996, 0.0025450, 0.0024454,, 0.7195
 0.0964,   0.0964, 0.6864, 0.6974, 0.0000823, 0.0019657, 0.0018834,, 0.6864
 0.1043,   0.1043, 0.6621, 0.6759, 0.0000803, 0.0015822, 0.0015019,, 0.6621
 0.1122,   0.1122, 0.6295, 0.6474, 0.0000814, 0.0012585, 0.0011770,, 0.6295
 0.1201,   0.1201, 0.6062, 0.6264, 0.0000761, 0.0010315, 0.0009554,, 0.6062
 0.1279,   0.1279, 0.5839, 0.6057, 0.0000686, 0.0008510, 0.0007824,, 0.5839
 0.1358,   0.1358, 0.5689, 0.5974, 0.0000758, 0.0007360, 0.0006601,, 0.5689
 0.1437,   0.1437, 0.5421, 0.5757, 0.0000753, 0.0006115, 0.0005362,, 0.5421
 0.1516,   0.1516, 0.5243, 0.5627, 0.0000743, 0.0005259, 0.0004516,, 0.5243
 0.1594,   0.1594, 0.4843, 0.5324, 0.0000774, 0.0004260, 0.0003486,, 0.4843
 0.1673,   0.1673, 0.4743, 0.5236, 0.0000705, 0.0003745, 0.0003040,, 0.4743
 0.1752,   0.1752, 0.4546, 0.5097, 0.0000691, 0.0003241, 0.0002550,, 0.4546
 0.1831,   0.1831, 0.4409, 0.4990, 0.0000649, 0.0002847, 0.0002199,, 0.4409
 0.1909,   0.1909, 0.4304, 0.4956, 0.0000656, 0.0002584, 0.0001928,, 0.4304
 0.1988,   0.1988, 0.4203, 0.4968, 0.0000699, 0.0002397, 0.0001697,, 0.4203
 0.2067,   0.2067, 0.4038, 0.4806, 0.0000626, 0.0002077, 0.0001450,, 0.4038
 0.2146,   0.2146, 0.3871, 0.4722, 0.0000625, 0.0001862, 0.0001238,, 0.3871
 0.2224,   0.2224, 0.3878, 0.4778, 0.0000618, 0.0001775, 0.0001157,, 0.3878
 0.2303,   0.2303, 0.3764, 0.4709, 0.0000592, 0.0001609, 0.0001017,, 0.3764
 0.2382,   0.2382, 0.3767, 0.4751, 0.0000580, 0.0001532, 0.0000953,, 0.3767
 0.2461,   0.2461, 0.3640, 0.4708, 0.0000576, 0.0001411, 0.0000834,, 0.3640
 0.2539,   0.2539, 0.3542, 0.4749, 0.0000607, 0.0001349, 0.0000742,, 0.3542
 0.2618,   0.2618, 0.3492, 0.4737, 0.0000584, 0.0001263, 0.0000679,, 0.3492
 0.2697,   0.2697, 0.3412, 0.4737, 0.0000580, 0.0001191, 0.0000611,, 0.3412
 0.2776,   0.2776, 0.3465, 0.4846, 0.0000582, 0.0001177, 0.0000595,, 0.3465
 0.2854,   0.2854, 0.3490, 0.4821, 0.0000531, 0.0001102, 0.0000571,, 0.3490
 0.2933,   0.2933, 0.3443, 0.4905, 0.0000554, 0.0001080, 0.0000526,, 0.3443
 0.3012,   0.3012, 0.3564, 0.4930, 0.0000500, 0.0001035, 0.0000535,, 0.3564
 0.3091,   0.3091, 0.3596, 0.5020, 0.0000502, 0.0001020, 0.0000518,, 0.3596
 0.3169,   0.3169, 0.3377, 0.5067, 0.0000554, 0.0000988, 0.0000434,, 0.3377
 0.3248,   0.3248, 0.3485, 0.5149, 0.0000532, 0.0000972, 0.0000441,, 0.3485
 0.3327,   0.3327, 0.3398, 0.5160, 0.0000532, 0.0000931, 0.0000399,, 0.3398
 0.3406,   0.3406, 0.3508, 0.5284, 0.0000526, 0.0000932, 0.0000406,, 0.3508
 0.3484,   0.3484, 0.3479, 0.5350, 0.0000531, 0.0000913, 0.0000382,, 0.3479
 0.3563,   0.3563, 0.3529, 0.5482, 0.0000541, 0.0000917, 0.0000376,, 0.3529
 0.3642,   0.3642, 0.3671, 0.5584, 0.0000522, 0.0000911, 0.0000389,, 0.3671
 0.3721,   0.3721, 0.3523, 0.5568, 0.0000524, 0.0000868, 0.0000344,, 0.3523
 0.3799,   0.3799, 0.3704, 0.5715, 0.0000513, 0.0000877, 0.0000364,, 0.3704
 0.3878,   0.3878, 0.3794, 0.5765, 0.0000489, 0.0000856, 0.0000367,, 0.3794
 0.3957,   0.3957, 0.3813, 0.5845, 0.0000490, 0.0000846, 0.0000356,, 0.3813
 0.4036,   0.4036, 0.3854, 0.5975, 0.0000500, 0.0000850, 0.0000350,, 0.3854
 0.4114,   0.4114, 0.4031, 0.6068, 0.0000475, 0.0000844, 0.0000368,, 0.4031
 0.4193,   0.4193, 0.4061, 0.6191, 0.0000486, 0.0000846, 0.0000360,, 0.4061
 0.4272,   0.4272, 0.4200, 0.6292, 0.0000471, 0.0000842, 0.0000371,, 0.4200
 0.4351,   0.4351, 0.4277, 0.6474, 0.0000488, 0.0000859, 0.0000371,, 0.4277
 0.4429,   0.4429, 0.4713, 0.6835, 0.0000490, 0.0000924, 0.0000435,, 0.4713
 0.4508,   0.4508, 0.4741, 0.6964, 0.0000502, 0.0000926, 0.0000425,, 0.4741
 0.4587,   0.4587, 0.5151, 0.7240, 0.0000483, 0.0000967, 0.0000484,, 0.5151
 0.4665,   0.4665, 0.5549, 0.7588, 0.0000484, 0.0001027, 0.0000543,, 0.5549
 0.4744,   0.4744, 0.6009, 0.8032, 0.0000497, 0.0001113, 0.0000616,, 0.6009
 0.4823,   0.4823, 0.6500, 0.8523, 0.0000515, 0.0001213, 0.0000698,, 0.6500
 0.4902,   0.4902, 0.7452, 0.9299, 0.0000510, 0.0001398, 0.0000888,, 0.7452
 0.4980,   0.4980, 0.8114, 1.0478, 0.0000699, 0.0001719, 0.0001020,, 0.8114

MTFnn C/P, Mean,  Seg 1,
MTF70 C/P,0.0932, 0.0932, 
MTF50 C/P,0.1564, 0.1564, 
MTF30 C/P,0.0000, 0.0000, 
MTF20 C/P,0.0000, 0.0000, 
MTF10 C/P,0.0000, 0.0000, 
MTFnnP C/P, Mean,  Seg 1,
MTF70P C/P,0.0932, 0.0932, 
MTF50P C/P,0.1564, 0.1564, 
MTF30P C/P,0.0000, 0.0000, 
MTF20P C/P,0.0000, 0.0000, 
MTF10P C/P,0.0000, 0.0000, 
Undersharpening %,30.253

Acutance (CPIQ), Region, 1 of 1
Print height ,Viewing dist (cm),Acutance
   40,  1.00,  0.00
   40,  2.00,  0.01
   40,  3.00,  0.01
   40,  4.00,  0.02
   40,  5.00,  0.03
   40,  6.00,  0.04
   40,  7.00,  0.05
   40,  8.00,  0.06
   40,  9.00,  0.07
   40, 10.00,  0.08
   40, 11.00,  0.09
   40, 12.00,  0.10
   40, 13.00,  0.11
   40, 14.00,  0.12
   40, 15.00,  0.13
   40, 16.00,  0.14
   40, 17.00,  0.15
   40, 18.00,  0.16
   40, 19.00,  0.17
   40, 20.00,  0.18
   40, 21.00,  0.19
   40, 22.00,  0.20
   40, 23.00,  0.21
   40, 24.00,  0.22
   40, 25.00,  0.23
   40, 26.00,  0.24
   40, 27.00,  0.25
   40, 28.00,  0.25
   40, 29.00,  0.26
   40, 30.00,  0.27
   40, 31.00,  0.28
   40, 32.00,  0.29
   40, 33.00,  0.30
   40, 34.00,  0.30
   40, 35.00,  0.31
   40, 36.00,  0.32
   40, 37.00,  0.33
   40, 38.00,  0.33
   40, 39.00,  0.34
   40, 40.00,  0.35
   40, 41.00,  0.36
   40, 42.00,  0.36
   40, 43.00,  0.37
   40, 44.00,  0.38
   40, 45.00,  0.38
   40, 46.00,  0.39
   40, 47.00,  0.40
   40, 48.00,  0.40
   40, 49.00,  0.41
   40, 50.00,  0.41
   40, 51.00,  0.42
   40, 52.00,  0.43
   40, 53.00,  0.43
   40, 54.00,  0.44
   40, 55.00,  0.44
   40, 56.00,  0.45
   40, 57.00,  0.45
   40, 58.00,  0.46
   40, 59.00,  0.46
   40, 60.00,  0.47
   40, 61.00,  0.47
   40, 62.00,  0.48
   40, 63.00,  0.48
   40, 64.00,  0.49
   40, 65.00,  0.49
   40, 66.00,  0.50
   40, 67.00,  0.50
   40, 68.00,  0.51
   40, 69.00,  0.51
   40, 70.00,  0.52
   40, 71.00,  0.52
   40, 72.00,  0.53
   40, 73.00,  0.53
   40, 74.00,  0.53
   40, 75.00,  0.54
   40, 76.00,  0.54
   40, 77.00,  0.55
   40, 78.00,  0.55
   40, 79.00,  0.55
   40, 80.00,  0.56
   40, 81.00,  0.56
   40, 82.00,  0.57
   40, 83.00,  0.57
   40, 84.00,  0.57
   40, 85.00,  0.58
   40, 86.00,  0.58
   40, 87.00,  0.58
   40, 88.00,  0.59
   40, 89.00,  0.59
   40, 90.00,  0.59
   40, 91.00,  0.60
   40, 92.00,  0.60
   40, 93.00,  0.60
   40, 94.00,  0.61
   40, 95.00,  0.61
   40, 96.00,  0.61
   40, 97.00,  0.62
   40, 98.00,  0.62
   40, 99.00,  0.62
   40,100.00,  0.62
Use unnormalized MTF for Acutance calculation
CPIQ Results
Computer Monitor Acutance,0.489,
Computer Monitor Quality Loss,14.590,
5.5" Phone Display Acutance,0.848,
5.5" Phone Display Quality Loss,1.118,
UHDTV Display Acutance,0.620,
UHDTV Display Quality Loss,7.845,
Small Print Acutance,0.584,
Small Print Quality Loss,9.480,
Large Print Acutance,0.539,
Large Print Quality Loss,11.783,
Gamma, 0.5
Color channel, R
Max detected f (c/p), 0.498

Exif data












































































































































































































































































































