Imatest,5.1.36,,Random
File,OV13b10_AG1_ET40000_deadleaf_12M_1_denoised.raw
Run date,19-Mar-2026 16:14:23,,Build 2020-01-08

Image pixels (WxH),4032,3024
Crop,1674,1656
L R T B, 1194,2867,646,2301
pixels/in,0
pixels/mm,0
um/pixel,0
MTF30,0.291 Cy/Pxl,Secondary readout

Table of MTF
f (c/p),f (C/P),MTF,MTF w/noise,Noise PSD,S+N PSD,Signal PSD,,Seg 1
 0.0020,   0.0020, 0.8111, 0.8121, 0.0096382, 1.0000000, 0.9903618,, 0.8111
 0.0098,   0.0098, 0.9084, 0.9235, 0.0096382, 0.2454861, 0.2358479,, 0.9084
 0.0177,   0.0177, 1.0000, 1.0000, 0.0007476, 0.1045568, 0.1038091,, 1.0000
 0.0256,   0.0256, 0.9671, 0.9650, 0.0001372, 0.0498110, 0.0496738,, 0.9671
 0.0335,   0.0335, 0.9554, 0.9530, 0.0000664, 0.0293809, 0.0293145,, 0.9554
 0.0413,   0.0413, 0.9331, 0.9311, 0.0000560, 0.0187695, 0.0187135,, 0.9331
 0.0492,   0.0492, 0.9071, 0.9049, 0.0000289, 0.0126932, 0.0126643,, 0.9071
 0.0571,   0.0571, 0.8968, 0.8948, 0.0000259, 0.0093282, 0.0093022,, 0.8968
 0.0649,   0.0649, 0.8498, 0.8485, 0.0000271, 0.0065292, 0.0065022,, 0.8498
 0.0728,   0.0728, 0.8146, 0.8132, 0.0000181, 0.0048019, 0.0047838,, 0.8146
 0.0807,   0.0807, 0.7757, 0.7748, 0.0000175, 0.0035698, 0.0035523,, 0.7757
 0.0886,   0.0886, 0.7505, 0.7503, 0.0000188, 0.0027906, 0.0027717,, 0.7505
 0.0964,   0.0964, 0.7161, 0.7161, 0.0000150, 0.0021510, 0.0021361,, 0.7161
 0.1043,   0.1043, 0.6945, 0.6948, 0.0000142, 0.0017365, 0.0017224,, 0.6945
 0.1122,   0.1122, 0.6643, 0.6654, 0.0000146, 0.0013807, 0.0013661,, 0.6643
 0.1201,   0.1201, 0.6354, 0.6374, 0.0000147, 0.0011087, 0.0010939,, 0.6354
 0.1279,   0.1279, 0.6059, 0.6089, 0.0000151, 0.0008928, 0.0008777,, 0.6059
 0.1358,   0.1358, 0.5959, 0.5992, 0.0000140, 0.0007684, 0.0007544,, 0.5959
 0.1437,   0.1437, 0.5600, 0.5651, 0.0000154, 0.0006116, 0.0005961,, 0.5600
 0.1516,   0.1516, 0.5421, 0.5472, 0.0000133, 0.0005160, 0.0005028,, 0.5421
 0.1594,   0.1594, 0.5117, 0.5183, 0.0000134, 0.0004189, 0.0004055,, 0.5117
 0.1673,   0.1673, 0.4927, 0.5002, 0.0000129, 0.0003548, 0.0003418,, 0.4927
 0.1752,   0.1752, 0.4672, 0.4760, 0.0000128, 0.0002933, 0.0002805,, 0.4672
 0.1831,   0.1831, 0.4477, 0.4576, 0.0000123, 0.0002485, 0.0002362,, 0.4477
 0.1909,   0.1909, 0.4329, 0.4445, 0.0000126, 0.0002158, 0.0002032,, 0.4329
 0.1988,   0.1988, 0.4205, 0.4349, 0.0000136, 0.0001906, 0.0001770,, 0.4205
 0.2067,   0.2067, 0.3999, 0.4153, 0.0000128, 0.0001610, 0.0001482,, 0.3999
 0.2146,   0.2146, 0.3868, 0.4046, 0.0000131, 0.0001419, 0.0001287,, 0.3868
 0.2224,   0.2224, 0.3783, 0.3969, 0.0000125, 0.0001272, 0.0001146,, 0.3783
 0.2303,   0.2303, 0.3596, 0.3801, 0.0000121, 0.0001088, 0.0000967,, 0.3596
 0.2382,   0.2382, 0.3521, 0.3742, 0.0000119, 0.0000987, 0.0000868,, 0.3521
 0.2461,   0.2461, 0.3380, 0.3621, 0.0000117, 0.0000866, 0.0000750,, 0.3380
 0.2539,   0.2539, 0.3343, 0.3625, 0.0000127, 0.0000816, 0.0000689,, 0.3343
 0.2618,   0.2618, 0.3173, 0.3489, 0.0000127, 0.0000711, 0.0000584,, 0.3173
 0.2697,   0.2697, 0.3114, 0.3436, 0.0000120, 0.0000650, 0.0000530,, 0.3114
 0.2776,   0.2776, 0.3111, 0.3467, 0.0000126, 0.0000625, 0.0000500,, 0.3111
 0.2854,   0.2854, 0.3059, 0.3393, 0.0000109, 0.0000566, 0.0000457,, 0.3059
 0.2933,   0.2933, 0.2982, 0.3337, 0.0000108, 0.0000519, 0.0000411,, 0.2982
 0.3012,   0.3012, 0.2870, 0.3277, 0.0000113, 0.0000475, 0.0000362,, 0.2870
 0.3091,   0.3091, 0.2858, 0.3321, 0.0000123, 0.0000463, 0.0000341,, 0.2858
 0.3169,   0.3169, 0.2808, 0.3336, 0.0000132, 0.0000445, 0.0000313,, 0.2808
 0.3248,   0.3248, 0.2738, 0.3230, 0.0000114, 0.0000397, 0.0000283,, 0.2738
 0.3327,   0.3327, 0.2809, 0.3291, 0.0000109, 0.0000393, 0.0000284,, 0.2809
 0.3406,   0.3406, 0.2687, 0.3255, 0.0000119, 0.0000367, 0.0000248,, 0.2687
 0.3484,   0.3484, 0.2711, 0.3245, 0.0000107, 0.0000348, 0.0000242,, 0.2711
 0.3563,   0.3563, 0.2705, 0.3313, 0.0000118, 0.0000348, 0.0000230,, 0.2705
 0.3642,   0.3642, 0.2713, 0.3385, 0.0000126, 0.0000347, 0.0000222,, 0.2713
 0.3721,   0.3721, 0.2685, 0.3338, 0.0000116, 0.0000324, 0.0000208,, 0.2685
 0.3799,   0.3799, 0.2716, 0.3404, 0.0000119, 0.0000323, 0.0000204,, 0.2716
 0.3878,   0.3878, 0.2765, 0.3429, 0.0000111, 0.0000314, 0.0000203,, 0.2765
 0.3957,   0.3957, 0.2785, 0.3462, 0.0000110, 0.0000308, 0.0000198,, 0.2785
 0.4036,   0.4036, 0.2928, 0.3583, 0.0000107, 0.0000317, 0.0000210,, 0.2928
 0.4114,   0.4114, 0.2974, 0.3634, 0.0000105, 0.0000314, 0.0000209,, 0.2974
 0.4193,   0.4193, 0.3126, 0.3800, 0.0000109, 0.0000331, 0.0000222,, 0.3126
 0.4272,   0.4272, 0.3231, 0.3894, 0.0000106, 0.0000335, 0.0000229,, 0.3231
 0.4351,   0.4351, 0.3352, 0.4043, 0.0000110, 0.0000348, 0.0000237,, 0.3352
 0.4429,   0.4429, 0.3599, 0.4376, 0.0000129, 0.0000393, 0.0000264,, 0.3599
 0.4508,   0.4508, 0.3793, 0.4507, 0.0000119, 0.0000403, 0.0000283,, 0.3793
 0.4587,   0.4587, 0.4077, 0.4752, 0.0000116, 0.0000432, 0.0000316,, 0.4077
 0.4665,   0.4665, 0.4412, 0.5006, 0.0000106, 0.0000464, 0.0000358,, 0.4412
 0.4744,   0.4744, 0.4865, 0.5494, 0.0000120, 0.0000541, 0.0000421,, 0.4865
 0.4823,   0.4823, 0.5395, 0.5946, 0.0000112, 0.0000613, 0.0000501,, 0.5395
 0.4902,   0.4902, 0.6153, 0.6648, 0.0000111, 0.0000742, 0.0000631,, 0.6153
 0.4980,   0.4980, 0.6858, 0.7715, 0.0000209, 0.0000968, 0.0000759,, 0.6858

MTFnn C/P, Mean,  Seg 1,
MTF70 C/P,0.1023, 0.1023, 
MTF50 C/P,0.1643, 0.1643, 
MTF30 C/P,0.2914, 0.2914, 
MTF20 C/P,0.0000, 0.0000, 
MTF10 C/P,0.0000, 0.0000, 
MTFnnP C/P, Mean,  Seg 1,
MTF70P C/P,0.1023, 0.1023, 
MTF50P C/P,0.1643, 0.1643, 
MTF30P C/P,0.2914, 0.2914, 
MTF20P C/P,0.0000, 0.0000, 
MTF10P C/P,0.0000, 0.0000, 
Undersharpening %,28.974

Acutance (CPIQ), Region, 1 of 1
Print height ,Viewing dist (cm),Acutance
   40,  1.00,  0.00
   40,  2.00,  0.01
   40,  3.00,  0.01
   40,  4.00,  0.02
   40,  5.00,  0.03
   40,  6.00,  0.04
   40,  7.00,  0.05
   40,  8.00,  0.05
   40,  9.00,  0.06
   40, 10.00,  0.08
   40, 11.00,  0.09
   40, 12.00,  0.10
   40, 13.00,  0.11
   40, 14.00,  0.12
   40, 15.00,  0.13
   40, 16.00,  0.14
   40, 17.00,  0.15
   40, 18.00,  0.16
   40, 19.00,  0.17
   40, 20.00,  0.18
   40, 21.00,  0.19
   40, 22.00,  0.20
   40, 23.00,  0.21
   40, 24.00,  0.22
   40, 25.00,  0.23
   40, 26.00,  0.24
   40, 27.00,  0.25
   40, 28.00,  0.26
   40, 29.00,  0.26
   40, 30.00,  0.27
   40, 31.00,  0.28
   40, 32.00,  0.29
   40, 33.00,  0.30
   40, 34.00,  0.31
   40, 35.00,  0.32
   40, 36.00,  0.32
   40, 37.00,  0.33
   40, 38.00,  0.34
   40, 39.00,  0.35
   40, 40.00,  0.35
   40, 41.00,  0.36
   40, 42.00,  0.37
   40, 43.00,  0.38
   40, 44.00,  0.38
   40, 45.00,  0.39
   40, 46.00,  0.40
   40, 47.00,  0.40
   40, 48.00,  0.41
   40, 49.00,  0.42
   40, 50.00,  0.42
   40, 51.00,  0.43
   40, 52.00,  0.43
   40, 53.00,  0.44
   40, 54.00,  0.45
   40, 55.00,  0.45
   40, 56.00,  0.46
   40, 57.00,  0.46
   40, 58.00,  0.47
   40, 59.00,  0.47
   40, 60.00,  0.48
   40, 61.00,  0.48
   40, 62.00,  0.49
   40, 63.00,  0.49
   40, 64.00,  0.50
   40, 65.00,  0.50
   40, 66.00,  0.51
   40, 67.00,  0.51
   40, 68.00,  0.52
   40, 69.00,  0.52
   40, 70.00,  0.53
   40, 71.00,  0.53
   40, 72.00,  0.54
   40, 73.00,  0.54
   40, 74.00,  0.54
   40, 75.00,  0.55
   40, 76.00,  0.55
   40, 77.00,  0.56
   40, 78.00,  0.56
   40, 79.00,  0.56
   40, 80.00,  0.57
   40, 81.00,  0.57
   40, 82.00,  0.58
   40, 83.00,  0.58
   40, 84.00,  0.58
   40, 85.00,  0.59
   40, 86.00,  0.59
   40, 87.00,  0.59
   40, 88.00,  0.60
   40, 89.00,  0.60
   40, 90.00,  0.60
   40, 91.00,  0.61
   40, 92.00,  0.61
   40, 93.00,  0.61
   40, 94.00,  0.62
   40, 95.00,  0.62
   40, 96.00,  0.62
   40, 97.00,  0.62
   40, 98.00,  0.63
   40, 99.00,  0.63
   40,100.00,  0.63
Use unnormalized MTF for Acutance calculation
CPIQ Results
Computer Monitor Acutance,0.484,
Computer Monitor Quality Loss,14.940,
5.5" Phone Display Acutance,0.854,
5.5" Phone Display Quality Loss,1.022,
UHDTV Display Acutance,0.631,
UHDTV Display Quality Loss,7.375,
Small Print Acutance,0.592,
Small Print Quality Loss,9.076,
Large Print Acutance,0.548,
Large Print Quality Loss,11.269,
Gamma, 0.5
Color channel, R
Max detected f (c/p), 0.498

Exif data












































































































































































































































































































