Imatest,5.1.36,,Random
File,OV13b10_AG4_ET11000_deadleaf_12M_20_denoised.raw
Run date,19-Mar-2026 16:14:23,,Build 2020-01-08

Image pixels (WxH),4032,3024
Crop,1668,1652
L R T B, 1195,2862,648,2299
pixels/in,0
pixels/mm,0
um/pixel,0
MTF30,0.292 Cy/Pxl,Secondary readout

Table of MTF
f (c/p),f (C/P),MTF,MTF w/noise,Noise PSD,S+N PSD,Signal PSD,,Seg 1
 0.0020,   0.0020, 0.8209, 0.8211, 0.0092978, 1.0000000, 0.9907022,, 0.8209
 0.0098,   0.0098, 0.9096, 0.9238, 0.0092978, 0.2390763, 0.2297785,, 0.9096
 0.0177,   0.0177, 1.0000, 1.0000, 0.0008814, 0.1007561, 0.0998747,, 1.0000
 0.0256,   0.0256, 0.9626, 0.9607, 0.0002338, 0.0475109, 0.0472771,, 0.9626
 0.0335,   0.0335, 0.9495, 0.9475, 0.0001305, 0.0279378, 0.0278073,, 0.9495
 0.0413,   0.0413, 0.9260, 0.9251, 0.0001239, 0.0178256, 0.0177017,, 0.9260
 0.0492,   0.0492, 0.8919, 0.8907, 0.0000733, 0.0118314, 0.0117581,, 0.8919
 0.0571,   0.0571, 0.8777, 0.8775, 0.0000715, 0.0086249, 0.0085534,, 0.8777
 0.0649,   0.0649, 0.8335, 0.8348, 0.0000727, 0.0060760, 0.0060032,, 0.8335
 0.0728,   0.0728, 0.7861, 0.7874, 0.0000517, 0.0043258, 0.0042741,, 0.7861
 0.0807,   0.0807, 0.7500, 0.7529, 0.0000535, 0.0032395, 0.0031860,, 0.7500
 0.0886,   0.0886, 0.7227, 0.7262, 0.0000461, 0.0025132, 0.0024671,, 0.7227
 0.0964,   0.0964, 0.6878, 0.6925, 0.0000423, 0.0019333, 0.0018910,, 0.6878
 0.1043,   0.1043, 0.6631, 0.6699, 0.0000449, 0.0015509, 0.0015060,, 0.6631
 0.1122,   0.1122, 0.6315, 0.6408, 0.0000460, 0.0012302, 0.0011842,, 0.6315
 0.1201,   0.1201, 0.6014, 0.6115, 0.0000405, 0.0009809, 0.0009403,, 0.6014
 0.1279,   0.1279, 0.5778, 0.5908, 0.0000421, 0.0008080, 0.0007658,, 0.5778
 0.1358,   0.1358, 0.5623, 0.5787, 0.0000443, 0.0006890, 0.0006447,, 0.5623
 0.1437,   0.1437, 0.5330, 0.5521, 0.0000428, 0.0005611, 0.0005184,, 0.5330
 0.1516,   0.1516, 0.5172, 0.5361, 0.0000369, 0.0004763, 0.0004394,, 0.5172
 0.1594,   0.1594, 0.4828, 0.5076, 0.0000398, 0.0003862, 0.0003464,, 0.4828
 0.1673,   0.1673, 0.4672, 0.4944, 0.0000382, 0.0003331, 0.0002949,, 0.4672
 0.1752,   0.1752, 0.4492, 0.4786, 0.0000362, 0.0002851, 0.0002489,, 0.4492
 0.1831,   0.1831, 0.4321, 0.4650, 0.0000355, 0.0002467, 0.0002112,, 0.4321
 0.1909,   0.1909, 0.4141, 0.4537, 0.0000377, 0.0002161, 0.0001784,, 0.4141
 0.1988,   0.1988, 0.4017, 0.4464, 0.0000381, 0.0001931, 0.0001550,, 0.4017
 0.2067,   0.2067, 0.3895, 0.4375, 0.0000368, 0.0001718, 0.0001349,, 0.3895
 0.2146,   0.2146, 0.3667, 0.4219, 0.0000372, 0.0001483, 0.0001111,, 0.3667
 0.2224,   0.2224, 0.3670, 0.4214, 0.0000342, 0.0001378, 0.0001036,, 0.3670
 0.2303,   0.2303, 0.3501, 0.4160, 0.0000373, 0.0001253, 0.0000880,, 0.3501
 0.2382,   0.2382, 0.3406, 0.4055, 0.0000335, 0.0001114, 0.0000779,, 0.3406
 0.2461,   0.2461, 0.3333, 0.4011, 0.0000322, 0.0001022, 0.0000699,, 0.3333
 0.2539,   0.2539, 0.3320, 0.4096, 0.0000349, 0.0001001, 0.0000652,, 0.3320
 0.2618,   0.2618, 0.3200, 0.4014, 0.0000335, 0.0000905, 0.0000570,, 0.3200
 0.2697,   0.2697, 0.3181, 0.4020, 0.0000325, 0.0000856, 0.0000531,, 0.3181
 0.2776,   0.2776, 0.3093, 0.4037, 0.0000341, 0.0000815, 0.0000474,, 0.3093
 0.2854,   0.2854, 0.3085, 0.4036, 0.0000324, 0.0000771, 0.0000446,, 0.3085
 0.2933,   0.2933, 0.2976, 0.3982, 0.0000317, 0.0000710, 0.0000393,, 0.2976
 0.3012,   0.3012, 0.3026, 0.4066, 0.0000317, 0.0000703, 0.0000386,, 0.3026
 0.3091,   0.3091, 0.3064, 0.4081, 0.0000297, 0.0000672, 0.0000376,, 0.3064
 0.3169,   0.3169, 0.2910, 0.4137, 0.0000335, 0.0000658, 0.0000323,, 0.2910
 0.3248,   0.3248, 0.2975, 0.4158, 0.0000312, 0.0000633, 0.0000321,, 0.2975
 0.3327,   0.3327, 0.2934, 0.4146, 0.0000302, 0.0000600, 0.0000298,, 0.2934
 0.3406,   0.3406, 0.3016, 0.4270, 0.0000307, 0.0000607, 0.0000300,, 0.3016
 0.3484,   0.3484, 0.3021, 0.4306, 0.0000302, 0.0000590, 0.0000288,, 0.3021
 0.3563,   0.3563, 0.2955, 0.4398, 0.0000325, 0.0000589, 0.0000263,, 0.2955
 0.3642,   0.3642, 0.3001, 0.4417, 0.0000308, 0.0000568, 0.0000260,, 0.3001
 0.3721,   0.3721, 0.3094, 0.4436, 0.0000285, 0.0000550, 0.0000265,, 0.3094
 0.3799,   0.3799, 0.3186, 0.4567, 0.0000289, 0.0000559, 0.0000270,, 0.3186
 0.3878,   0.3878, 0.3154, 0.4572, 0.0000284, 0.0000537, 0.0000254,, 0.3154
