Imatest-style,Python Release,,Random
File,OV13b10_AG4_ET11000_deadleaf_12M_20_denoised_A_model_mixup08.raw
Run date,07-Apr-2026 15:42:35,,Release

Image pixels (WxH),4032,3024
Crop,1672,1654
L R T B,1207,2860,639,2310
pixels/in,0
pixels/mm,0
um/pixel,0
MTF30,0.254 Cy/Pxl,Secondary readout

Table of MTF
f (c/p),f (C/P),MTF,MTF w/noise,Noise PSD,S+N PSD,Signal PSD,,Seg 1
0.0027,0.0027,1.9931,1.9930,0.0000439,31.0823722,31.0823282,,1.9931
0.0132,0.0132,1.1111,1.1112,0.0002577,1.0675296,1.0672719,,1.1111
0.0237,0.0237,1.0000,1.0000,0.0000486,0.3453131,0.3452646,,1.0000
0.0342,0.0342,0.9099,0.9099,0.0000359,0.1561945,0.1561586,,0.9099
0.0447,0.0447,0.8740,0.8741,0.0000371,0.0913773,0.0913402,,0.8740
0.0552,0.0552,0.7927,0.7929,0.0000349,0.0520511,0.0520162,,0.7927
0.0657,0.0657,0.7628,0.7631,0.0000300,0.0353850,0.0353550,,0.7628
0.0762,0.0762,0.6917,0.6921,0.0000274,0.0222771,0.0222497,,0.6917
0.0867,0.0867,0.6489,0.6494,0.0000283,0.0154944,0.0154661,,0.6489
0.0972,0.0972,0.6145,0.6153,0.0000301,0.0112613,0.0112313,,0.6145
0.1077,0.1077,0.5623,0.5634,0.0000312,0.0077969,0.0077657,,0.5623
0.1182,0.1182,0.5435,0.5449,0.0000301,0.0061205,0.0060903,,0.5435
0.1287,0.1287,0.5125,0.5138,0.0000255,0.0046318,0.0046062,,0.5125
0.1392,0.1392,0.4775,0.4791,0.0000244,0.0034660,0.0034416,,0.4775
0.1497,0.1497,0.4496,0.4517,0.0000253,0.0026780,0.0026527,,0.4496
0.1602,0.1602,0.4247,0.4270,0.0000233,0.0020990,0.0020758,,0.4247
0.1708,0.1708,0.4049,0.4073,0.0000204,0.0016876,0.0016672,,0.4049
0.1813,0.1813,0.3896,0.3925,0.0000206,0.0013940,0.0013733,,0.3896
0.1918,0.1918,0.3723,0.3755,0.0000193,0.0011421,0.0011228,,0.3723
0.2023,0.2023,0.3614,0.3649,0.0000188,0.0009708,0.0009520,,0.3614
0.2128,0.2128,0.3494,0.3533,0.0000186,0.0008230,0.0008044,,0.3494
0.2233,0.2233,0.3327,0.3370,0.0000175,0.0006802,0.0006627,,0.3327
0.2338,0.2338,0.3154,0.3203,0.0000170,0.0005602,0.0005432,,0.3154
0.2443,0.2443,0.3141,0.3195,0.0000169,0.0005102,0.0004933,,0.3141
0.2548,0.2548,0.2989,0.3043,0.0000150,0.0004252,0.0004102,,0.2989
0.2653,0.2653,0.2911,0.2963,0.0000130,0.0003714,0.0003584,,0.2911
0.2758,0.2758,0.2808,0.2862,0.0000121,0.0003204,0.0003082,,0.2808
0.2863,0.2863,0.2699,0.2758,0.0000116,0.0002756,0.0002640,,0.2699
0.2968,0.2968,0.2630,0.2693,0.0000114,0.0002442,0.0002328,,0.2630
0.3073,0.3073,0.2569,0.2629,0.0000099,0.0002166,0.0002068,,0.2569
0.3178,0.3178,0.2509,0.2568,0.0000088,0.0001929,0.0001841,,0.2509
0.3283,0.3283,0.2479,0.2547,0.0000094,0.0001774,0.0001681,,0.2479
0.3388,0.3388,0.2404,0.2473,0.0000087,0.0001568,0.0001481,,0.2404
0.3494,0.3494,0.2349,0.2417,0.0000078,0.0001405,0.0001327,,0.2349
0.3599,0.3599,0.2295,0.2361,0.0000069,0.0001261,0.0001191,,0.2295
