Imatest,5.1.36,,Random
File,OV13b10_AG4_ET11000_deadleaf_12M_20_denoised_A_model_mixup015.raw
Run date,24-Mar-2026 11:22:20,,Build 2020-01-08

Image pixels (WxH),4032,3024
Crop,1668,1652
L R T B, 1194,2861,648,2299
pixels/in,0
pixels/mm,0
um/pixel,0
MTF30,0.0978 Cy/Pxl,Secondary readout

Table of MTF
f (c/p),f (C/P),MTF,MTF w/noise,Noise PSD,S+N PSD,Signal PSD,,Seg 1
 0.0020,   0.0020, 0.8690, 0.8686, 0.0102212, 1.0000000, 0.9897788,, 0.8690
 0.0098,   0.0098, 0.9450, 0.9613, 0.0102212, 0.2313205, 0.2210993,, 0.9450
 0.0177,   0.0177, 1.0000, 1.0000, 0.0009917, 0.0900331, 0.0890414,, 1.0000
 0.0256,   0.0256, 0.9073, 0.9050, 0.0002243, 0.0376713, 0.0374470,, 0.9073
 0.0335,   0.0335, 0.8319, 0.8297, 0.0001092, 0.0191394, 0.0190301,, 0.8319
 0.0413,   0.0413, 0.7531, 0.7522, 0.0000925, 0.0105302, 0.0104378,, 0.7531
 0.0492,   0.0492, 0.6720, 0.6705, 0.0000402, 0.0059912, 0.0059510,, 0.6720
 0.0571,   0.0571, 0.6107, 0.6097, 0.0000290, 0.0037205, 0.0036916,, 0.6107
 0.0649,   0.0649, 0.5371, 0.5376, 0.0000288, 0.0022514, 0.0022225,, 0.5371
 0.0728,   0.0728, 0.4614, 0.4616, 0.0000162, 0.0013287, 0.0013125,, 0.4614
 0.0807,   0.0807, 0.4042, 0.4057, 0.0000154, 0.0008406, 0.0008252,, 0.4042
 0.0886,   0.0886, 0.3540, 0.3563, 0.0000128, 0.0005407, 0.0005279,, 0.3540
 0.0964,   0.0964, 0.3063, 0.3088, 0.0000092, 0.0003436, 0.0003344,, 0.3063
 0.1043,   0.1043, 0.2691, 0.2726, 0.0000083, 0.0002295, 0.0002212,, 0.2691
 0.1122,   0.1122, 0.2346, 0.2393, 0.0000075, 0.0001532, 0.0001457,, 0.2346
 0.1201,   0.1201, 0.2072, 0.2122, 0.0000060, 0.0001055, 0.0000995,, 0.2072
 0.1279,   0.1279, 0.1819, 0.1882, 0.0000055, 0.0000732, 0.0000677,, 0.1819
 0.1358,   0.1358, 0.1691, 0.1766, 0.0000053, 0.0000573, 0.0000520,, 0.1691
 0.1437,   0.1437, 0.1519, 0.1594, 0.0000042, 0.0000418, 0.0000375,, 0.1519
 0.1516,   0.1516, 0.1395, 0.1474, 0.0000037, 0.0000322, 0.0000285,, 0.1395
 0.1594,   0.1594, 0.1237, 0.1343, 0.0000039, 0.0000242, 0.0000203,, 0.1237
 0.1673,   0.1673, 0.1175, 0.1270, 0.0000030, 0.0000197, 0.0000166,, 0.1175
 0.1752,   0.1752, 0.1101, 0.1201, 0.0000027, 0.0000161, 0.0000133,, 0.1101
 0.1831,   0.1831, 0.1032, 0.1139, 0.0000025, 0.0000132, 0.0000107,, 0.1032
 0.1909,   0.1909, 0.0981, 0.1097, 0.0000024, 0.0000113, 0.0000089,, 0.0981
 0.1988,   0.1988, 0.0946, 0.1064, 0.0000021, 0.0000098, 0.0000077,, 0.0946
 0.2067,   0.2067, 0.0906, 0.1033, 0.0000020, 0.0000086, 0.0000065,, 0.0906
 0.2146,   0.2146, 0.0846, 0.0988, 0.0000020, 0.0000073, 0.0000053,, 0.0846
 0.2224,   0.2224, 0.0858, 0.0987, 0.0000017, 0.0000068, 0.0000051,, 0.0858
 0.2303,   0.2303, 0.0821, 0.0975, 0.0000018, 0.0000061, 0.0000043,, 0.0821
 0.2382,   0.2382, 0.0812, 0.0960, 0.0000016, 0.0000056, 0.0000039,, 0.0812
 0.2461,   0.2461, 0.0810, 0.0969, 0.0000016, 0.0000053, 0.0000037,, 0.0810
 0.2539,   0.2539, 0.0745, 0.1009, 0.0000025, 0.0000054, 0.0000029,, 0.0745
 0.2618,   0.2618, 0.0766, 0.0968, 0.0000018, 0.0000047, 0.0000029,, 0.0766
 0.2697,   0.2697, 0.0781, 0.0966, 0.0000016, 0.0000044, 0.0000029,, 0.0781
 0.2776,   0.2776, 0.0768, 0.0973, 0.0000016, 0.0000042, 0.0000026,, 0.0768
 0.2854,   0.2854, 0.0738, 0.0965, 0.0000017, 0.0000039, 0.0000023,, 0.0738
 0.2933,   0.2933, 0.0752, 0.0964, 0.0000015, 0.0000037, 0.0000022,, 0.0752
 0.3012,   0.3012, 0.0752, 0.0967, 0.0000014, 0.0000035, 0.0000021,, 0.0752
 0.3091,   0.3091, 0.0750, 0.0970, 0.0000014, 0.0000034, 0.0000020,, 0.0750
 0.3169,   0.3169, 0.0720, 0.0980, 0.0000015, 0.0000033, 0.0000018,, 0.0720
 0.3248,   0.3248, 0.0740, 0.0982, 0.0000014, 0.0000032, 0.0000018,, 0.0740
 0.3327,   0.3327, 0.0735, 0.0985, 0.0000014, 0.0000030, 0.0000017,, 0.0735
 0.3406,   0.3406, 0.0760, 0.1026, 0.0000014, 0.0000031, 0.0000017,, 0.0760
 0.3484,   0.3484, 0.0784, 0.1054, 0.0000014, 0.0000032, 0.0000017,, 0.0784
 0.3563,   0.3563, 0.0755, 0.1094, 0.0000017, 0.0000033, 0.0000015,, 0.0755
 0.3642,   0.3642, 0.0778, 0.1074, 0.0000014, 0.0000030, 0.0000016,, 0.0778
 0.3721,   0.3721, 0.0805, 0.1075, 0.0000013, 0.0000029, 0.0000016,, 0.0805
 0.3799,   0.3799, 0.0829, 0.1111, 0.0000013, 0.0000030, 0.0000016,, 0.0829
 0.3878,   0.3878, 0.0827, 0.1117, 0.0000013, 0.0000029, 0.0000016,, 0.0827
 0.3957,   0.3957, 0.0861, 0.1151, 0.0000013, 0.0000029, 0.0000016,, 0.0861
 0.4036,   0.4036, 0.0909, 0.1192, 0.0000013, 0.0000030, 0.0000017,, 0.0909
 0.4114,   0.4114, 0.0962, 0.1244, 0.0000013, 0.0000032, 0.0000019,, 0.0962
 0.4193,   0.4193, 0.1043, 0.1320, 0.0000013, 0.0000034, 0.0000021,, 0.1043
 0.4272,   0.4272, 0.1125, 0.1399, 0.0000013, 0.0000037, 0.0000024,, 0.1125
 0.4351,   0.4351, 0.1281, 0.1538, 0.0000014, 0.0000043, 0.0000030,, 0.1281
