Imatest,5.1.36,,Random
File,OV13b10_AG4_ET11000_deadleaf_12M_20_denoised_A_model_mixup04.raw
Run date,24-Mar-2026 11:19:08,,Build 2020-01-08

Image pixels (WxH),4032,3024
Crop,1667,1652
L R T B, 1195,2861,648,2299
pixels/in,0
pixels/mm,0
um/pixel,0
MTF30,0.138 Cy/Pxl,Secondary readout

Table of MTF
f (c/p),f (C/P),MTF,MTF w/noise,Noise PSD,S+N PSD,Signal PSD,,Seg 1
 0.0020,   0.0020, 0.8553, 0.8551, 0.0097927, 1.0000000, 0.9902073,, 0.8553
 0.0098,   0.0098, 0.9351, 0.9505, 0.0097927, 0.2333549, 0.2235622,, 0.9351
 0.0177,   0.0177, 1.0000, 1.0000, 0.0009418, 0.0928952, 0.0919534,, 1.0000
 0.0256,   0.0256, 0.9253, 0.9231, 0.0002222, 0.0404642, 0.0402420,, 0.9253
 0.0335,   0.0335, 0.8698, 0.8676, 0.0001101, 0.0216340, 0.0215239,, 0.8698
 0.0413,   0.0413, 0.8094, 0.8085, 0.0000996, 0.0125740, 0.0124744,, 0.8094
 0.0492,   0.0492, 0.7433, 0.7419, 0.0000473, 0.0075745, 0.0075272,, 0.7433
 0.0571,   0.0571, 0.6966, 0.6958, 0.0000384, 0.0050045, 0.0049661,, 0.6966
 0.0649,   0.0649, 0.6352, 0.6358, 0.0000386, 0.0032547, 0.0032161,, 0.6352
 0.0728,   0.0728, 0.5682, 0.5687, 0.0000247, 0.0020839, 0.0020592,, 0.5682
 0.0807,   0.0807, 0.5196, 0.5216, 0.0000252, 0.0014357, 0.0014105,, 0.5196
 0.0886,   0.0886, 0.4775, 0.4800, 0.0000208, 0.0010139, 0.0009931,, 0.4775
 0.0964,   0.0964, 0.4338, 0.4371, 0.0000178, 0.0007114, 0.0006937,, 0.4338
 0.1043,   0.1043, 0.4014, 0.4063, 0.0000178, 0.0005269, 0.0005091,, 0.4014
 0.1122,   0.1122, 0.3677, 0.3742, 0.0000172, 0.0003873, 0.0003702,, 0.3677
 0.1201,   0.1201, 0.3411, 0.3481, 0.0000147, 0.0002935, 0.0002789,, 0.3411
 0.1279,   0.1279, 0.3161, 0.3249, 0.0000142, 0.0002257, 0.0002115,, 0.3161
 0.1358,   0.1358, 0.3059, 0.3170, 0.0000149, 0.0001909, 0.0001760,, 0.3059
 0.1437,   0.1437, 0.2846, 0.2969, 0.0000136, 0.0001499, 0.0001363,, 0.2846
 0.1516,   0.1516, 0.2729, 0.2854, 0.0000119, 0.0001247, 0.0001128,, 0.2729
