Imatest,5.1.36,,Random
File,OV13b10_AG4_ET11000_deadleaf_12M_20_denoised.raw
Run date,19-Mar-2026 16:09:46,,Build 2020-01-08

Image pixels (WxH),4032,3024
Crop,1668,1652
L R T B, 1195,2862,648,2299
pixels/in,0
pixels/mm,0
um/pixel,0
MTF30,0.162 Cy/Pxl,Secondary readout

Table of MTF
f (c/p),f (C/P),MTF,MTF w/noise,Noise PSD,S+N PSD,Signal PSD,,Seg 1
 0.0020,   0.0020, 0.8231, 0.8233, 0.0108056, 1.0000000, 0.9891944,, 0.8231
 0.0098,   0.0098, 0.9075, 0.9241, 0.0108056, 0.2379531, 0.2271474,, 0.9075
 0.0177,   0.0177, 1.0000, 1.0000, 0.0010226, 0.1002110, 0.0991884,, 1.0000
 0.0256,   0.0256, 0.9593, 0.9570, 0.0002523, 0.0468882, 0.0466359,, 0.9593
 0.0335,   0.0335, 0.9393, 0.9369, 0.0001385, 0.0271656, 0.0270272,, 0.9393
 0.0413,   0.0413, 0.9062, 0.9046, 0.0001162, 0.0169515, 0.0168354,, 0.9062
 0.0492,   0.0492, 0.8653, 0.8631, 0.0000585, 0.0110492, 0.0109907,, 0.8653
 0.0571,   0.0571, 0.8343, 0.8326, 0.0000478, 0.0077224, 0.0076746,, 0.8343
 0.0649,   0.0649, 0.7771, 0.7763, 0.0000428, 0.0052260, 0.0051831,, 0.7771
 0.0728,   0.0728, 0.7180, 0.7170, 0.0000262, 0.0035674, 0.0035412,, 0.7180
 0.0807,   0.0807, 0.6669, 0.6663, 0.0000211, 0.0025232, 0.0025021,, 0.6669
 0.0886,   0.0886, 0.6254, 0.6256, 0.0000202, 0.0018551, 0.0018348,, 0.6254
 0.0964,   0.0964, 0.5863, 0.5863, 0.0000142, 0.0013786, 0.0013644,, 0.5863
 0.1043,   0.1043, 0.5466, 0.5474, 0.0000134, 0.0010298, 0.0010164,, 0.5466
 0.1122,   0.1122, 0.5095, 0.5114, 0.0000137, 0.0007794, 0.0007657,, 0.5095
 0.1201,   0.1201, 0.4703, 0.4725, 0.0000113, 0.0005823, 0.0005711,, 0.4703
