Imatest,5.1.36,,Random
File,OV13b10_AG1_ET40000_deadleaf_12M_1_denoised.raw
Run date,19-Mar-2026 16:09:46,,Build 2020-01-08

Image pixels (WxH),4032,3024
Crop,1673,1655
L R T B, 1194,2866,647,2301
pixels/in,0
pixels/mm,0
um/pixel,0
MTF30,0.166 Cy/Pxl,Secondary readout

Table of MTF
f (c/p),f (C/P),MTF,MTF w/noise,Noise PSD,S+N PSD,Signal PSD,,Seg 1
 0.0020,   0.0020, 0.8148, 0.8161, 0.0122106, 1.0000000, 0.9877894,, 0.8148
 0.0098,   0.0098, 0.8976, 0.9172, 0.0122106, 0.2395115, 0.2273009,, 0.8976
 0.0177,   0.0177, 1.0000, 1.0000, 0.0009314, 0.1028099, 0.1018786,, 1.0000
 0.0256,   0.0256, 0.9665, 0.9640, 0.0001832, 0.0487658, 0.0485826,, 0.9665
 0.0335,   0.0335, 0.9447, 0.9420, 0.0000930, 0.0281616, 0.0280685,, 0.9447
 0.0413,   0.0413, 0.9185, 0.9163, 0.0000766, 0.0178473, 0.0177707,, 0.9185
 0.0492,   0.0492, 0.8862, 0.8836, 0.0000378, 0.0118854, 0.0118475,, 0.8862
 0.0571,   0.0571, 0.8561, 0.8537, 0.0000288, 0.0083267, 0.0082980,, 0.8561
 0.0649,   0.0649, 0.7956, 0.7939, 0.0000261, 0.0056051, 0.0055790,, 0.7956
 0.0728,   0.0728, 0.7467, 0.7450, 0.0000172, 0.0039532, 0.0039360,, 0.7467
 0.0807,   0.0807, 0.6954, 0.6941, 0.0000150, 0.0028100, 0.0027949,, 0.6954
 0.0886,   0.0886, 0.6551, 0.6545, 0.0000146, 0.0020825, 0.0020679,, 0.6551
 0.0964,   0.0964, 0.6104, 0.6099, 0.0000114, 0.0015306, 0.0015193,, 0.6104
 0.1043,   0.1043, 0.5741, 0.5739, 0.0000097, 0.0011621, 0.0011524,, 0.5741
 0.1122,   0.1122, 0.5379, 0.5383, 0.0000096, 0.0008864, 0.0008767,, 0.5379
 0.1201,   0.1201, 0.4989, 0.5000, 0.0000090, 0.0006693, 0.0006603,, 0.4989
 0.1279,   0.1279, 0.4561, 0.4592, 0.0000113, 0.0004983, 0.0004869,, 0.4561
 0.1358,   0.1358, 0.4298, 0.4319, 0.0000072, 0.0003918, 0.0003845,, 0.4298
 0.1437,   0.1437, 0.3912, 0.3935, 0.0000060, 0.0002910, 0.0002850,, 0.3912
