Imatest,5.1.36,,Random
File,OV13b10_AG1_ET40000_deadleaf_12M_1_denoised_A_model_mixup025.raw
Run date,24-Mar-2026 11:23:32,,Build 2020-01-08

Image pixels (WxH),4032,3024
Crop,1673,1656
L R T B, 1194,2866,646,2301
pixels/in,0
pixels/mm,0
um/pixel,0
MTF30,0.112 Cy/Pxl,Secondary readout

Table of MTF
f (c/p),f (C/P),MTF,MTF w/noise,Noise PSD,S+N PSD,Signal PSD,,Seg 1
 0.0020,   0.0020, 0.8550, 0.8552, 0.0102207, 1.0000000, 0.9897793,, 0.8550
 0.0098,   0.0098, 0.9414, 0.9575, 0.0102207, 0.2380176, 0.2277968,, 0.9414
 0.0177,   0.0177, 1.0000, 1.0000, 0.0009269, 0.0942883, 0.0933614,, 1.0000
 0.0256,   0.0256, 0.9188, 0.9161, 0.0001594, 0.0404792, 0.0403198,, 0.9188
 0.0335,   0.0335, 0.8515, 0.8490, 0.0000826, 0.0210260, 0.0209434,, 0.8515
 0.0413,   0.0413, 0.7788, 0.7770, 0.0000634, 0.0117879, 0.0117244,, 0.7788
 0.0492,   0.0492, 0.7104, 0.7084, 0.0000282, 0.0070148, 0.0069866,, 0.7104
 0.0571,   0.0571, 0.6577, 0.6560, 0.0000205, 0.0045205, 0.0045000,, 0.6577
 0.0649,   0.0649, 0.5832, 0.5824, 0.0000203, 0.0027743, 0.0027540,, 0.5832
 0.0728,   0.0728, 0.5216, 0.5210, 0.0000129, 0.0017773, 0.0017644,, 0.5216
 0.0807,   0.0807, 0.4625, 0.4621, 0.0000094, 0.0011452, 0.0011359,, 0.4625
 0.0886,   0.0886, 0.4153, 0.4159, 0.0000098, 0.0007734, 0.0007635,, 0.4153
 0.0964,   0.0964, 0.3688, 0.3692, 0.0000063, 0.0005158, 0.0005094,, 0.3688
 0.1043,   0.1043, 0.3340, 0.3351, 0.0000059, 0.0003643, 0.0003583,, 0.3340
 0.1122,   0.1122, 0.3000, 0.3018, 0.0000056, 0.0002561, 0.0002505,, 0.3000
 0.1201,   0.1201, 0.2722, 0.2742, 0.0000044, 0.0001850, 0.0001805,, 0.2722
 0.1279,   0.1279, 0.2469, 0.2498, 0.0000045, 0.0001355, 0.0001311,, 0.2469
 0.1358,   0.1358, 0.2330, 0.2360, 0.0000037, 0.0001075, 0.0001038,, 0.2330
 0.1437,   0.1437, 0.2153, 0.2188, 0.0000034, 0.0000827, 0.0000793,, 0.2153
 0.1516,   0.1516, 0.2024, 0.2058, 0.0000028, 0.0000658, 0.0000631,, 0.2024
 0.1594,   0.1594, 0.1875, 0.1918, 0.0000028, 0.0000518, 0.0000490,, 0.1875
 0.1673,   0.1673, 0.1777, 0.1820, 0.0000024, 0.0000424, 0.0000400,, 0.1777
 0.1752,   0.1752, 0.1666, 0.1714, 0.0000022, 0.0000343, 0.0000321,, 0.1666
 0.1831,   0.1831, 0.1583, 0.1632, 0.0000019, 0.0000285, 0.0000266,, 0.1583
 0.1909,   0.1909, 0.1519, 0.1577, 0.0000020, 0.0000245, 0.0000225,, 0.1519
 0.1988,   0.1988, 0.1471, 0.1536, 0.0000020, 0.0000214, 0.0000195,, 0.1471
 0.2067,   0.2067, 0.1410, 0.1473, 0.0000017, 0.0000183, 0.0000166,, 0.1410
 0.2146,   0.2146, 0.1344, 0.1425, 0.0000019, 0.0000159, 0.0000140,, 0.1344
 0.2224,   0.2224, 0.1324, 0.1402, 0.0000017, 0.0000143, 0.0000126,, 0.1324
 0.2303,   0.2303, 0.1273, 0.1354, 0.0000016, 0.0000125, 0.0000109,, 0.1273
 0.2382,   0.2382, 0.1243, 0.1335, 0.0000016, 0.0000113, 0.0000097,, 0.1243
 0.2461,   0.2461, 0.1200, 0.1302, 0.0000016, 0.0000101, 0.0000085,, 0.1200
 0.2539,   0.2539, 0.1171, 0.1324, 0.0000022, 0.0000098, 0.0000076,, 0.1171
 0.2618,   0.2618, 0.1142, 0.1270, 0.0000017, 0.0000085, 0.0000068,, 0.1142
 0.2697,   0.2697, 0.1128, 0.1248, 0.0000015, 0.0000077, 0.0000063,, 0.1128
 0.2776,   0.2776, 0.1133, 0.1265, 0.0000015, 0.0000075, 0.0000060,, 0.1133
 0.2854,   0.2854, 0.1096, 0.1230, 0.0000014, 0.0000067, 0.0000053,, 0.1096
 0.2933,   0.2933, 0.1089, 0.1220, 0.0000013, 0.0000063, 0.0000049,, 0.1089
 0.3012,   0.3012, 0.1043, 0.1193, 0.0000014, 0.0000057, 0.0000043,, 0.1043
 0.3091,   0.3091, 0.1037, 0.1207, 0.0000015, 0.0000055, 0.0000040,, 0.1037
 0.3169,   0.3169, 0.1022, 0.1209, 0.0000015, 0.0000053, 0.0000037,, 0.1022
 0.3248,   0.3248, 0.1014, 0.1185, 0.0000013, 0.0000048, 0.0000035,, 0.1014
 0.3327,   0.3327, 0.1030, 0.1200, 0.0000013, 0.0000047, 0.0000034,, 0.1030
 0.3406,   0.3406, 0.0993, 0.1198, 0.0000014, 0.0000045, 0.0000031,, 0.0993
 0.3484,   0.3484, 0.1022, 0.1213, 0.0000013, 0.0000044, 0.0000031,, 0.1022
 0.3563,   0.3563, 0.1031, 0.1256, 0.0000015, 0.0000045, 0.0000030,, 0.1031
 0.3642,   0.3642, 0.1010, 0.1250, 0.0000015, 0.0000043, 0.0000028,, 0.1010
 0.3721,   0.3721, 0.0998, 0.1236, 0.0000014, 0.0000040, 0.0000026,, 0.0998
 0.3799,   0.3799, 0.1041, 0.1269, 0.0000013, 0.0000040, 0.0000027,, 0.1041
 0.3878,   0.3878, 0.1044, 0.1275, 0.0000013, 0.0000039, 0.0000026,, 0.1044
 0.3957,   0.3957, 0.1075, 0.1310, 0.0000013, 0.0000040, 0.0000027,, 0.1075
 0.4036,   0.4036, 0.1137, 0.1361, 0.0000013, 0.0000041, 0.0000029,, 0.1137
 0.4114,   0.4114, 0.1184, 0.1408, 0.0000013, 0.0000043, 0.0000030,, 0.1184
 0.4193,   0.4193, 0.1297, 0.1514, 0.0000013, 0.0000047, 0.0000034,, 0.1297
 0.4272,   0.4272, 0.1388, 0.1596, 0.0000013, 0.0000051, 0.0000038,, 0.1388
 0.4351,   0.4351, 0.1505, 0.1721, 0.0000014, 0.0000057, 0.0000043,, 0.1505
 0.4429,   0.4429, 0.1717, 0.1934, 0.0000015, 0.0000069, 0.0000054,, 0.1717
 0.4508,   0.4508, 0.1909, 0.2107, 0.0000015, 0.0000079, 0.0000065,, 0.1909
 0.4587,   0.4587, 0.2177, 0.2354, 0.0000015, 0.0000096, 0.0000081,, 0.2177
 0.4665,   0.4665, 0.2521, 0.2659, 0.0000013, 0.0000118, 0.0000105,, 0.2521
 0.4744,   0.4744, 0.2932, 0.3070, 0.0000015, 0.0000152, 0.0000137,, 0.2932
 0.4823,   0.4823, 0.3410, 0.3532, 0.0000015, 0.0000195, 0.0000180,, 0.3410
 0.4902,   0.4902, 0.4134, 0.4239, 0.0000016, 0.0000272, 0.0000256,, 0.4134
 0.4980,   0.4980, 0.5113, 0.5472, 0.0000059, 0.0000439, 0.0000380,, 0.5113

MTFnn C/P, Mean,  Seg 1,
MTF70 C/P,0.0508, 0.0508, 
MTF50 C/P,0.0757, 0.0757, 
MTF30 C/P,0.1122, 0.1122, 
MTF20 C/P,0.1529, 0.1529, 
MTF10 C/P,0.3391, 0.3391, 
MTFnnP C/P, Mean,  Seg 1,
MTF70P C/P,0.0508, 0.0508, 
MTF50P C/P,0.0757, 0.0757, 
MTF30P C/P,0.1122, 0.1122, 
MTF20P C/P,0.1529, 0.1529, 
MTF10P C/P,0.3391, 0.3391, 
Undersharpening %,25.679

Acutance (CPIQ), Region, 1 of 1
Print height ,Viewing dist (cm),Acutance
   40,  1.00,  0.00
   40,  2.00,  0.00
   40,  3.00,  0.01
   40,  4.00,  0.01
   40,  5.00,  0.01
   40,  6.00,  0.02
   40,  7.00,  0.02
   40,  8.00,  0.03
   40,  9.00,  0.03
   40, 10.00,  0.04
   40, 11.00,  0.05
   40, 12.00,  0.05
   40, 13.00,  0.06
   40, 14.00,  0.06
   40, 15.00,  0.07
   40, 16.00,  0.08
   40, 17.00,  0.08
   40, 18.00,  0.09
   40, 19.00,  0.10
   40, 20.00,  0.10
   40, 21.00,  0.11
   40, 22.00,  0.12
   40, 23.00,  0.12
   40, 24.00,  0.13
   40, 25.00,  0.13
   40, 26.00,  0.14
   40, 27.00,  0.15
   40, 28.00,  0.15
   40, 29.00,  0.16
   40, 30.00,  0.17
   40, 31.00,  0.17
   40, 32.00,  0.18
   40, 33.00,  0.19
   40, 34.00,  0.19
   40, 35.00,  0.20
   40, 36.00,  0.20
   40, 37.00,  0.21
   40, 38.00,  0.22
   40, 39.00,  0.22
   40, 40.00,  0.23
   40, 41.00,  0.23
   40, 42.00,  0.24
   40, 43.00,  0.24
   40, 44.00,  0.25
   40, 45.00,  0.26
   40, 46.00,  0.26
   40, 47.00,  0.27
   40, 48.00,  0.27
   40, 49.00,  0.28
   40, 50.00,  0.28
   40, 51.00,  0.29
   40, 52.00,  0.30
   40, 53.00,  0.30
   40, 54.00,  0.31
   40, 55.00,  0.31
   40, 56.00,  0.32
   40, 57.00,  0.32
   40, 58.00,  0.33
   40, 59.00,  0.33
   40, 60.00,  0.34
   40, 61.00,  0.34
   40, 62.00,  0.35
   40, 63.00,  0.35
   40, 64.00,  0.36
   40, 65.00,  0.36
   40, 66.00,  0.37
   40, 67.00,  0.37
   40, 68.00,  0.38
   40, 69.00,  0.38
   40, 70.00,  0.38
   40, 71.00,  0.39
   40, 72.00,  0.39
   40, 73.00,  0.40
   40, 74.00,  0.40
   40, 75.00,  0.41
   40, 76.00,  0.41
   40, 77.00,  0.42
   40, 78.00,  0.42
   40, 79.00,  0.42
   40, 80.00,  0.43
   40, 81.00,  0.43
   40, 82.00,  0.44
   40, 83.00,  0.44
   40, 84.00,  0.44
   40, 85.00,  0.45
   40, 86.00,  0.45
   40, 87.00,  0.46
   40, 88.00,  0.46
   40, 89.00,  0.46
   40, 90.00,  0.47
   40, 91.00,  0.47
   40, 92.00,  0.47
   40, 93.00,  0.48
   40, 94.00,  0.48
   40, 95.00,  0.48
   40, 96.00,  0.49
   40, 97.00,  0.49
   40, 98.00,  0.50
   40, 99.00,  0.50
   40,100.00,  0.50
Use unnormalized MTF for Acutance calculation
CPIQ Results
Computer Monitor Acutance,0.267,
Computer Monitor Quality Loss,31.464,
5.5" Phone Display Acutance,0.763,
5.5" Phone Display Quality Loss,2.907,
UHDTV Display Acutance,0.403,
UHDTV Display Quality Loss,20.337,
Small Print Acutance,0.475,
Small Print Quality Loss,15.478,
Large Print Acutance,0.407,
Large Print Quality Loss,20.052,
Gamma, 0.5
Color channel, R
Max detected f (c/p), 0.498

Exif data












































































































































































































































































































