Imatest,5.1.36,,Random
File,OV13b10_AG1_ET40000_deadleaf_12M_1_denoised_A_model_mixup08.raw
Run date,24-Mar-2026 11:21:08,,Build 2020-01-08

Image pixels (WxH),4032,3024
Crop,1673,1656
L R T B, 1194,2866,646,2301
pixels/in,0
pixels/mm,0
um/pixel,0
MTF30,0.292 Cy/Pxl,Secondary readout

Table of MTF
f (c/p),f (C/P),MTF,MTF w/noise,Noise PSD,S+N PSD,Signal PSD,,Seg 1
 0.0020,   0.0020, 0.8219, 0.8225, 0.0091698, 1.0000000, 0.9908302,, 0.8219
 0.0098,   0.0098, 0.9183, 0.9324, 0.0091698, 0.2439972, 0.2348274,, 0.9183
 0.0177,   0.0177, 1.0000, 1.0000, 0.0007871, 0.1019421, 0.1011550,, 1.0000
 0.0256,   0.0256, 0.9547, 0.9524, 0.0001380, 0.0473053, 0.0471672,, 0.9547
 0.0335,   0.0335, 0.9312, 0.9287, 0.0000671, 0.0272037, 0.0271366,, 0.9312
 0.0413,   0.0413, 0.8973, 0.8953, 0.0000571, 0.0169208, 0.0168637,, 0.8973
 0.0492,   0.0492, 0.8640, 0.8618, 0.0000290, 0.0112247, 0.0111957,, 0.8640
 0.0571,   0.0571, 0.8484, 0.8464, 0.0000247, 0.0081380, 0.0081133,, 0.8484
 0.0649,   0.0649, 0.7971, 0.7961, 0.0000282, 0.0056033, 0.0055751,, 0.7971
 0.0728,   0.0728, 0.7620, 0.7609, 0.0000191, 0.0040989, 0.0040798,, 0.7620
 0.0807,   0.0807, 0.7208, 0.7201, 0.0000175, 0.0030064, 0.0029888,, 0.7208
 0.0886,   0.0886, 0.6947, 0.6949, 0.0000196, 0.0023340, 0.0023144,, 0.6947
 0.0964,   0.0964, 0.6596, 0.6599, 0.0000154, 0.0017812, 0.0017658,, 0.6596
 0.1043,   0.1043, 0.6388, 0.6397, 0.0000152, 0.0014353, 0.0014201,, 0.6388
 0.1122,   0.1122, 0.6099, 0.6117, 0.0000153, 0.0011376, 0.0011223,, 0.6099
 0.1201,   0.1201, 0.5841, 0.5867, 0.0000151, 0.0009159, 0.0009008,, 0.5841
 0.1279,   0.1279, 0.5592, 0.5628, 0.0000150, 0.0007435, 0.0007285,, 0.5592
 0.1358,   0.1358, 0.5516, 0.5557, 0.0000145, 0.0006445, 0.0006300,, 0.5516
 0.1437,   0.1437, 0.5224, 0.5284, 0.0000158, 0.0005213, 0.0005055,, 0.5224
 0.1516,   0.1516, 0.5098, 0.5157, 0.0000135, 0.0004470, 0.0004334,, 0.5098
 0.1594,   0.1594, 0.4836, 0.4908, 0.0000135, 0.0003664, 0.0003529,, 0.4836
 0.1673,   0.1673, 0.4699, 0.4781, 0.0000130, 0.0003160, 0.0003030,, 0.4699
 0.1752,   0.1752, 0.4498, 0.4594, 0.0000129, 0.0002663, 0.0002535,, 0.4498
 0.1831,   0.1831, 0.4340, 0.4445, 0.0000123, 0.0002286, 0.0002163,, 0.4340
 0.1909,   0.1909, 0.4220, 0.4343, 0.0000127, 0.0002008, 0.0001881,, 0.4220
 0.1988,   0.1988, 0.4139, 0.4289, 0.0000137, 0.0001808, 0.0001671,, 0.4139
 0.2067,   0.2067, 0.3953, 0.4111, 0.0000127, 0.0001538, 0.0001411,, 0.3953
 0.2146,   0.2146, 0.3835, 0.4021, 0.0000133, 0.0001366, 0.0001233,, 0.3835
 0.2224,   0.2224, 0.3750, 0.3947, 0.0000128, 0.0001226, 0.0001098,, 0.3750
 0.2303,   0.2303, 0.3591, 0.3802, 0.0000122, 0.0001062, 0.0000940,, 0.3591
 0.2382,   0.2382, 0.3516, 0.3745, 0.0000121, 0.0000964, 0.0000843,, 0.3516
 0.2461,   0.2461, 0.3387, 0.3634, 0.0000117, 0.0000851, 0.0000733,, 0.3387
 0.2539,   0.2539, 0.3336, 0.3628, 0.0000128, 0.0000797, 0.0000668,, 0.3336
 0.2618,   0.2618, 0.3183, 0.3511, 0.0000129, 0.0000702, 0.0000573,, 0.3183
 0.2697,   0.2697, 0.3125, 0.3458, 0.0000122, 0.0000642, 0.0000520,, 0.3125
 0.2776,   0.2776, 0.3122, 0.3486, 0.0000126, 0.0000616, 0.0000490,, 0.3122
 0.2854,   0.2854, 0.3064, 0.3407, 0.0000110, 0.0000557, 0.0000447,, 0.3064
 0.2933,   0.2933, 0.2991, 0.3359, 0.0000110, 0.0000513, 0.0000403,, 0.2991
 0.3012,   0.3012, 0.2882, 0.3304, 0.0000115, 0.0000471, 0.0000355,, 0.2882
 0.3091,   0.3091, 0.2864, 0.3342, 0.0000124, 0.0000457, 0.0000333,, 0.2864
 0.3169,   0.3169, 0.2818, 0.3359, 0.0000133, 0.0000440, 0.0000307,, 0.2818
 0.3248,   0.3248, 0.2762, 0.3266, 0.0000115, 0.0000396, 0.0000281,, 0.2762
 0.3327,   0.3327, 0.2810, 0.3306, 0.0000109, 0.0000387, 0.0000277,, 0.2810
 0.3406,   0.3406, 0.2705, 0.3287, 0.0000120, 0.0000365, 0.0000245,, 0.2705
 0.3484,   0.3484, 0.2723, 0.3274, 0.0000109, 0.0000346, 0.0000237,, 0.2723
 0.3563,   0.3563, 0.2725, 0.3348, 0.0000119, 0.0000346, 0.0000227,, 0.2725
 0.3642,   0.3642, 0.2697, 0.3394, 0.0000127, 0.0000340, 0.0000213,, 0.2697
 0.3721,   0.3721, 0.2665, 0.3346, 0.0000117, 0.0000317, 0.0000200,, 0.2665
 0.3799,   0.3799, 0.2727, 0.3426, 0.0000118, 0.0000319, 0.0000200,, 0.2727
 0.3878,   0.3878, 0.2738, 0.3432, 0.0000113, 0.0000307, 0.0000194,, 0.2738
 0.3957,   0.3957, 0.2786, 0.3482, 0.0000111, 0.0000304, 0.0000193,, 0.2786
 0.4036,   0.4036, 0.2897, 0.3580, 0.0000108, 0.0000309, 0.0000201,, 0.2897
 0.4114,   0.4114, 0.2954, 0.3634, 0.0000106, 0.0000306, 0.0000201,, 0.2954
 0.4193,   0.4193, 0.3098, 0.3799, 0.0000110, 0.0000322, 0.0000213,, 0.3098
 0.4272,   0.4272, 0.3210, 0.3898, 0.0000107, 0.0000327, 0.0000220,, 0.3210
 0.4351,   0.4351, 0.3311, 0.4035, 0.0000112, 0.0000338, 0.0000226,, 0.3311
 0.4429,   0.4429, 0.3575, 0.4376, 0.0000129, 0.0000383, 0.0000254,, 0.3575
 0.4508,   0.4508, 0.3738, 0.4487, 0.0000121, 0.0000389, 0.0000268,, 0.3738
 0.4587,   0.4587, 0.4079, 0.4777, 0.0000118, 0.0000426, 0.0000308,, 0.4079
 0.4665,   0.4665, 0.4438, 0.5046, 0.0000107, 0.0000460, 0.0000353,, 0.4438
 0.4744,   0.4744, 0.4914, 0.5556, 0.0000121, 0.0000539, 0.0000418,, 0.4914
 0.4823,   0.4823, 0.5433, 0.6002, 0.0000114, 0.0000609, 0.0000495,, 0.5433
 0.4902,   0.4902, 0.6282, 0.6782, 0.0000112, 0.0000753, 0.0000641,, 0.6282
