Imatest,5.1.36,,Random
File,OV13b10_AG4_ET11000_deadleaf_12M_20_denoised_A_model_mixup08.raw
Run date,24-Mar-2026 11:21:08,,Build 2020-01-08

Image pixels (WxH),4032,3024
Crop,1668,1591
L R T B, 1195,2862,708,2298
pixels/in,0
pixels/mm,0
um/pixel,0
MTF30,0.315 Cy/Pxl,Secondary readout

Table of MTF
f (c/p),f (C/P),MTF,MTF w/noise,Noise PSD,S+N PSD,Signal PSD,,Seg 1
 0.0020,   0.0020, 0.8247, 0.8250, 0.0094310, 1.0000000, 0.9905690,, 0.8247
 0.0098,   0.0098, 0.9356, 0.9494, 0.0094310, 0.2530791, 0.2436481,, 0.9356
 0.0177,   0.0177, 1.0000, 1.0000, 0.0008690, 0.1006327, 0.0997637,, 1.0000
 0.0256,   0.0256, 0.9626, 0.9607, 0.0002172, 0.0474099, 0.0471928,, 0.9626
 0.0335,   0.0335, 0.9470, 0.9452, 0.0001314, 0.0278078, 0.0276765,, 0.9470
 0.0413,   0.0413, 0.9031, 0.9024, 0.0001216, 0.0169651, 0.0168435,, 0.9031
 0.0492,   0.0492, 0.8720, 0.8712, 0.0000757, 0.0113198, 0.0112441,, 0.8720
 0.0571,   0.0571, 0.8435, 0.8437, 0.0000737, 0.0079767, 0.0079030,, 0.8435
 0.0649,   0.0649, 0.7948, 0.7968, 0.0000760, 0.0055402, 0.0054642,, 0.7948
 0.0728,   0.0728, 0.7474, 0.7493, 0.0000542, 0.0039221, 0.0038679,, 0.7474
 0.0807,   0.0807, 0.7061, 0.7102, 0.0000580, 0.0028848, 0.0028268,, 0.7061
 0.0886,   0.0886, 0.6797, 0.6843, 0.0000489, 0.0022322, 0.0021833,, 0.6797
 0.0964,   0.0964, 0.6440, 0.6503, 0.0000474, 0.0017060, 0.0016587,, 0.6440
 0.1043,   0.1043, 0.6182, 0.6272, 0.0000503, 0.0013604, 0.0013101,, 0.6182
 0.1122,   0.1122, 0.5913, 0.6027, 0.0000497, 0.0010889, 0.0010392,, 0.5913
 0.1201,   0.1201, 0.5617, 0.5746, 0.0000457, 0.0008665, 0.0008208,, 0.5617
 0.1279,   0.1279, 0.5424, 0.5578, 0.0000451, 0.0007203, 0.0006753,, 0.5424
 0.1358,   0.1358, 0.5291, 0.5484, 0.0000476, 0.0006189, 0.0005713,, 0.5291
 0.1437,   0.1437, 0.5032, 0.5243, 0.0000439, 0.0005062, 0.0004623,, 0.5032
 0.1516,   0.1516, 0.4902, 0.5123, 0.0000402, 0.0004351, 0.0003950,, 0.4902
 0.1594,   0.1594, 0.4621, 0.4904, 0.0000432, 0.0003607, 0.0003175,, 0.4621
 0.1673,   0.1673, 0.4495, 0.4800, 0.0000411, 0.0003142, 0.0002731,, 0.4495
 0.1752,   0.1752, 0.4357, 0.4684, 0.0000389, 0.0002732, 0.0002343,, 0.4357
 0.1831,   0.1831, 0.4246, 0.4604, 0.0000379, 0.0002420, 0.0002040,, 0.4246
 0.1909,   0.1909, 0.4078, 0.4512, 0.0000407, 0.0002138, 0.0001731,, 0.4078
 0.1988,   0.1988, 0.3967, 0.4466, 0.0000421, 0.0001933, 0.0001512,, 0.3967
 0.2067,   0.2067, 0.3907, 0.4395, 0.0000375, 0.0001734, 0.0001358,, 0.3907
 0.2146,   0.2146, 0.3655, 0.4246, 0.0000399, 0.0001503, 0.0001104,, 0.3655
 0.2224,   0.2224, 0.3692, 0.4272, 0.0000368, 0.0001416, 0.0001048,, 0.3692
 0.2303,   0.2303, 0.3536, 0.4222, 0.0000393, 0.0001291, 0.0000897,, 0.3536
 0.2382,   0.2382, 0.3427, 0.4106, 0.0000353, 0.0001142, 0.0000789,, 0.3427
 0.2461,   0.2461, 0.3364, 0.4085, 0.0000347, 0.0001060, 0.0000713,, 0.3364
 0.2539,   0.2539, 0.3356, 0.4166, 0.0000370, 0.0001036, 0.0000666,, 0.3356
 0.2618,   0.2618, 0.3237, 0.4092, 0.0000357, 0.0000940, 0.0000584,, 0.3237
 0.2697,   0.2697, 0.3230, 0.4103, 0.0000344, 0.0000892, 0.0000548,, 0.3230
 0.2776,   0.2776, 0.3148, 0.4118, 0.0000357, 0.0000848, 0.0000491,, 0.3148
 0.2854,   0.2854, 0.3120, 0.4111, 0.0000343, 0.0000800, 0.0000456,, 0.3120
 0.2933,   0.2933, 0.3031, 0.4077, 0.0000337, 0.0000745, 0.0000408,, 0.3031
 0.3012,   0.3012, 0.3036, 0.4149, 0.0000343, 0.0000732, 0.0000389,, 0.3036
 0.3091,   0.3091, 0.3089, 0.4151, 0.0000314, 0.0000696, 0.0000382,, 0.3089
 0.3169,   0.3169, 0.2971, 0.4241, 0.0000355, 0.0000691, 0.0000336,, 0.2971
 0.3248,   0.3248, 0.3044, 0.4260, 0.0000328, 0.0000664, 0.0000336,, 0.3044
 0.3327,   0.3327, 0.2987, 0.4231, 0.0000316, 0.0000625, 0.0000309,, 0.2987
 0.3406,   0.3406, 0.3021, 0.4349, 0.0000328, 0.0000630, 0.0000301,, 0.3021
 0.3484,   0.3484, 0.3081, 0.4404, 0.0000318, 0.0000617, 0.0000300,, 0.3081
 0.3563,   0.3563, 0.2945, 0.4484, 0.0000350, 0.0000612, 0.0000262,, 0.2945
 0.3642,   0.3642, 0.3069, 0.4521, 0.0000324, 0.0000596, 0.0000272,, 0.3069
 0.3721,   0.3721, 0.3081, 0.4510, 0.0000306, 0.0000568, 0.0000263,, 0.3081
 0.3799,   0.3799, 0.3213, 0.4669, 0.0000310, 0.0000584, 0.0000274,, 0.3213
 0.3878,   0.3878, 0.3164, 0.4660, 0.0000303, 0.0000559, 0.0000255,, 0.3164
 0.3957,   0.3957, 0.3156, 0.4731, 0.0000309, 0.0000553, 0.0000244,, 0.3156
 0.4036,   0.4036, 0.3364, 0.4877, 0.0000299, 0.0000565, 0.0000267,, 0.3364
 0.4114,   0.4114, 0.3328, 0.4918, 0.0000302, 0.0000553, 0.0000251,, 0.3328
 0.4193,   0.4193, 0.3475, 0.5098, 0.0000309, 0.0000572, 0.0000264,, 0.3475
 0.4272,   0.4272, 0.3513, 0.5151, 0.0000303, 0.0000563, 0.0000260,, 0.3513
 0.4351,   0.4351, 0.3715, 0.5373, 0.0000311, 0.0000591, 0.0000280,, 0.3715
 0.4429,   0.4429, 0.3872, 0.5587, 0.0000323, 0.0000616, 0.0000294,, 0.3872
 0.4508,   0.4508, 0.4122, 0.5802, 0.0000321, 0.0000642, 0.0000321,, 0.4122
 0.4587,   0.4587, 0.4443, 0.6068, 0.0000318, 0.0000678, 0.0000360,, 0.4443
 0.4665,   0.4665, 0.4915, 0.6459, 0.0000316, 0.0000743, 0.0000426,, 0.4915
 0.4744,   0.4744, 0.5219, 0.6820, 0.0000336, 0.0000801, 0.0000465,, 0.5219
 0.4823,   0.4823, 0.5744, 0.7342, 0.0000353, 0.0000898, 0.0000545,, 0.5744
 0.4902,   0.4902, 0.6652, 0.8213, 0.0000381, 0.0001089, 0.0000708,, 0.6652
 0.4980,   0.4980, 0.7032, 0.9414, 0.0000619, 0.0001385, 0.0000766,, 0.7032

MTFnn C/P, Mean,  Seg 1,
MTF70 C/P,0.0825, 0.0825, 
MTF50 C/P,0.1456, 0.1456, 
MTF30 C/P,0.3150, 0.3150, 
MTF20 C/P,0.0000, 0.0000, 
MTF10 C/P,0.0000, 0.0000, 
MTFnnP C/P, Mean,  Seg 1,
MTF70P C/P,0.0825, 0.0825, 
MTF50P C/P,0.1456, 0.1456, 
MTF30P C/P,0.3150, 0.3150, 
MTF20P C/P,0.0000, 0.0000, 
MTF10P C/P,0.0000, 0.0000, 
Undersharpening %,31.631

Acutance (CPIQ), Region, 1 of 1
Print height ,Viewing dist (cm),Acutance
   40,  1.00,  0.00
   40,  2.00,  0.01
   40,  3.00,  0.01
   40,  4.00,  0.02
   40,  5.00,  0.03
   40,  6.00,  0.03
   40,  7.00,  0.04
   40,  8.00,  0.05
   40,  9.00,  0.06
   40, 10.00,  0.07
   40, 11.00,  0.08
   40, 12.00,  0.09
   40, 13.00,  0.10
   40, 14.00,  0.11
   40, 15.00,  0.12
   40, 16.00,  0.13
   40, 17.00,  0.14
   40, 18.00,  0.15
   40, 19.00,  0.16
   40, 20.00,  0.17
   40, 21.00,  0.18
   40, 22.00,  0.19
   40, 23.00,  0.20
   40, 24.00,  0.21
   40, 25.00,  0.22
   40, 26.00,  0.23
   40, 27.00,  0.23
   40, 28.00,  0.24
   40, 29.00,  0.25
   40, 30.00,  0.26
   40, 31.00,  0.27
   40, 32.00,  0.27
   40, 33.00,  0.28
   40, 34.00,  0.29
   40, 35.00,  0.30
   40, 36.00,  0.31
   40, 37.00,  0.31
   40, 38.00,  0.32
   40, 39.00,  0.33
   40, 40.00,  0.33
   40, 41.00,  0.34
   40, 42.00,  0.35
   40, 43.00,  0.35
   40, 44.00,  0.36
   40, 45.00,  0.37
   40, 46.00,  0.37
   40, 47.00,  0.38
   40, 48.00,  0.39
   40, 49.00,  0.39
   40, 50.00,  0.40
   40, 51.00,  0.40
   40, 52.00,  0.41
   40, 53.00,  0.42
   40, 54.00,  0.42
   40, 55.00,  0.43
   40, 56.00,  0.43
   40, 57.00,  0.44
   40, 58.00,  0.44
   40, 59.00,  0.45
   40, 60.00,  0.45
   40, 61.00,  0.46
   40, 62.00,  0.46
   40, 63.00,  0.47
   40, 64.00,  0.47
   40, 65.00,  0.48
   40, 66.00,  0.48
   40, 67.00,  0.49
   40, 68.00,  0.49
   40, 69.00,  0.50
   40, 70.00,  0.50
   40, 71.00,  0.51
   40, 72.00,  0.51
   40, 73.00,  0.51
   40, 74.00,  0.52
   40, 75.00,  0.52
   40, 76.00,  0.53
   40, 77.00,  0.53
   40, 78.00,  0.54
   40, 79.00,  0.54
   40, 80.00,  0.54
   40, 81.00,  0.55
   40, 82.00,  0.55
   40, 83.00,  0.55
   40, 84.00,  0.56
   40, 85.00,  0.56
   40, 86.00,  0.56
   40, 87.00,  0.57
   40, 88.00,  0.57
   40, 89.00,  0.58
   40, 90.00,  0.58
   40, 91.00,  0.58
   40, 92.00,  0.59
   40, 93.00,  0.59
   40, 94.00,  0.59
   40, 95.00,  0.59
   40, 96.00,  0.60
   40, 97.00,  0.60
   40, 98.00,  0.60
   40, 99.00,  0.61
   40,100.00,  0.61
Use unnormalized MTF for Acutance calculation
CPIQ Results
Computer Monitor Acutance,0.461,
Computer Monitor Quality Loss,16.361,
5.5" Phone Display Acutance,0.840,
5.5" Phone Display Quality Loss,1.243,
UHDTV Display Acutance,0.594,
UHDTV Display Quality Loss,8.987,
Small Print Acutance,0.571,
Small Print Quality Loss,10.090,
Large Print Acutance,0.523,
Large Print Quality Loss,12.639,
Gamma, 0.5
Color channel, R
Max detected f (c/p), 0.498

Exif data











































































































































































































































































































