Imatest,5.1.36,,Random
File,OV13b10_AG8_ET5500_deadleaf_12M_40_denoised.raw
Run date,19-Mar-2026 16:09:46,,Build 2020-01-08

Image pixels (WxH),4032,3024
Crop,1668,1652
L R T B, 1194,2861,648,2299
pixels/in,0
pixels/mm,0
um/pixel,0
MTF30,0.165 Cy/Pxl,Secondary readout

Table of MTF
f (c/p),f (C/P),MTF,MTF w/noise,Noise PSD,S+N PSD,Signal PSD,,Seg 1
 0.0020,   0.0020, 0.8250, 0.8236, 0.0094010, 1.0000000, 0.9905990,, 0.8250
 0.0098,   0.0098, 0.9125, 0.9251, 0.0094010, 0.2382948, 0.2288938,, 0.9125
 0.0177,   0.0177, 1.0000, 1.0000, 0.0012772, 0.1001380, 0.0988608,, 1.0000
 0.0256,   0.0256, 0.9652, 0.9623, 0.0003270, 0.0473761, 0.0470491,, 0.9652
 0.0335,   0.0335, 0.9382, 0.9351, 0.0001647, 0.0270409, 0.0268762,, 0.9382
 0.0413,   0.0413, 0.9034, 0.9018, 0.0001547, 0.0168331, 0.0166784,, 0.9034
 0.0492,   0.0492, 0.8659, 0.8639, 0.0000904, 0.0110601, 0.0109697,, 0.8659
 0.0571,   0.0571, 0.8338, 0.8315, 0.0000559, 0.0076954, 0.0076395,, 0.8338
 0.0649,   0.0649, 0.7738, 0.7727, 0.0000513, 0.0051729, 0.0051216,, 0.7738
 0.0728,   0.0728, 0.7146, 0.7138, 0.0000380, 0.0035335, 0.0034954,, 0.7146
 0.0807,   0.0807, 0.6688, 0.6683, 0.0000287, 0.0025366, 0.0025079,, 0.6688
 0.0886,   0.0886, 0.6230, 0.6238, 0.0000280, 0.0018431, 0.0018150,, 0.6230
 0.0964,   0.0964, 0.5833, 0.5836, 0.0000187, 0.0013646, 0.0013459,, 0.5833
 0.1043,   0.1043, 0.5485, 0.5496, 0.0000173, 0.0010375, 0.0010203,, 0.5485
 0.1122,   0.1122, 0.5127, 0.5149, 0.0000167, 0.0007895, 0.0007727,, 0.5127
 0.1201,   0.1201, 0.4791, 0.4818, 0.0000144, 0.0006051, 0.0005907,, 0.4791
 0.1279,   0.1279, 0.4415, 0.4452, 0.0000133, 0.0004559, 0.0004426,, 0.4415
 0.1358,   0.1358, 0.4188, 0.4238, 0.0000131, 0.0003673, 0.0003541,, 0.4188
 0.1437,   0.1437, 0.3835, 0.3897, 0.0000121, 0.0002778, 0.0002657,, 0.3835
 0.1516,   0.1516, 0.3532, 0.3605, 0.0000112, 0.0002141, 0.0002029,, 0.3532
 0.1594,   0.1594, 0.3157, 0.3259, 0.0000117, 0.0001583, 0.0001466,, 0.3157
 0.1673,   0.1673, 0.2916, 0.3021, 0.0000099, 0.0001236, 0.0001137,, 0.2916
 0.1752,   0.1752, 0.2652, 0.2782, 0.0000099, 0.0000958, 0.0000859,, 0.2652
 0.1831,   0.1831, 0.2429, 0.2568, 0.0000087, 0.0000748, 0.0000661,, 0.2429
 0.1909,   0.1909, 0.2240, 0.2404, 0.0000086, 0.0000603, 0.0000517,, 0.2240
 0.1988,   0.1988, 0.2085, 0.2280, 0.0000087, 0.0000501, 0.0000414,, 0.2085
 0.2067,   0.2067, 0.1942, 0.2133, 0.0000074, 0.0000406, 0.0000332,, 0.1942
 0.2146,   0.2146, 0.1790, 0.2025, 0.0000078, 0.0000340, 0.0000262,, 0.1790
 0.2224,   0.2224, 0.1715, 0.1965, 0.0000074, 0.0000298, 0.0000224,, 0.1715
 0.2303,   0.2303, 0.1668, 0.1926, 0.0000069, 0.0000267, 0.0000198,, 0.1668
 0.2382,   0.2382, 0.1593, 0.1873, 0.0000067, 0.0000236, 0.0000169,, 0.1593
 0.2461,   0.2461, 0.1553, 0.1842, 0.0000064, 0.0000214, 0.0000150,, 0.1553
 0.2539,   0.2539, 0.1499, 0.1828, 0.0000067, 0.0000198, 0.0000132,, 0.1499
 0.2618,   0.2618, 0.1475, 0.1823, 0.0000066, 0.0000186, 0.0000120,, 0.1475
 0.2697,   0.2697, 0.1448, 0.1814, 0.0000064, 0.0000173, 0.0000109,, 0.1448
 0.2776,   0.2776, 0.1461, 0.1850, 0.0000065, 0.0000170, 0.0000105,, 0.1461
 0.2854,   0.2854, 0.1464, 0.1841, 0.0000060, 0.0000159, 0.0000099,, 0.1464
 0.2933,   0.2933, 0.1465, 0.1863, 0.0000060, 0.0000155, 0.0000094,, 0.1465
 0.3012,   0.3012, 0.1495, 0.1868, 0.0000054, 0.0000147, 0.0000093,, 0.1495
 0.3091,   0.3091, 0.1500, 0.1895, 0.0000055, 0.0000144, 0.0000089,, 0.1500
 0.3169,   0.3169, 0.1477, 0.1932, 0.0000060, 0.0000143, 0.0000082,, 0.1477
 0.3248,   0.3248, 0.1541, 0.1979, 0.0000057, 0.0000142, 0.0000085,, 0.1541
 0.3327,   0.3327, 0.1560, 0.2008, 0.0000057, 0.0000140, 0.0000083,, 0.1560
 0.3406,   0.3406, 0.1622, 0.2079, 0.0000057, 0.0000143, 0.0000086,, 0.1622
 0.3484,   0.3484, 0.1667, 0.2134, 0.0000057, 0.0000144, 0.0000087,, 0.1667
 0.3563,   0.3563, 0.1742, 0.2218, 0.0000058, 0.0000149, 0.0000091,, 0.1742
 0.3642,   0.3642, 0.1826, 0.2297, 0.0000057, 0.0000153, 0.0000095,, 0.1826
 0.3721,   0.3721, 0.1861, 0.2338, 0.0000057, 0.0000152, 0.0000095,, 0.1861
 0.3799,   0.3799, 0.1957, 0.2427, 0.0000056, 0.0000157, 0.0000101,, 0.1957
 0.3878,   0.3878, 0.2037, 0.2485, 0.0000053, 0.0000158, 0.0000105,, 0.2037
 0.3957,   0.3957, 0.2116, 0.2578, 0.0000055, 0.0000163, 0.0000109,, 0.2116
 0.4036,   0.4036, 0.2140, 0.2621, 0.0000055, 0.0000162, 0.0000107,, 0.2140
 0.4114,   0.4114, 0.2236, 0.2701, 0.0000054, 0.0000166, 0.0000112,, 0.2236
 0.4193,   0.4193, 0.2324, 0.2783, 0.0000053, 0.0000169, 0.0000117,, 0.2324
 0.4272,   0.4272, 0.2449, 0.2887, 0.0000051, 0.0000176, 0.0000125,, 0.2449
 0.4351,   0.4351, 0.2510, 0.2978, 0.0000054, 0.0000180, 0.0000126,, 0.2510
 0.4429,   0.4429, 0.2737, 0.3191, 0.0000055, 0.0000200, 0.0000145,, 0.2737
 0.4508,   0.4508, 0.2834, 0.3300, 0.0000056, 0.0000206, 0.0000150,, 0.2834
 0.4587,   0.4587, 0.3066, 0.3501, 0.0000054, 0.0000224, 0.0000170,, 0.3066
 0.4665,   0.4665, 0.3335, 0.3739, 0.0000053, 0.0000247, 0.0000194,, 0.3335
 0.4744,   0.4744, 0.3684, 0.4079, 0.0000055, 0.0000285, 0.0000229,, 0.3684
 0.4823,   0.4823, 0.4158, 0.4540, 0.0000059, 0.0000341, 0.0000283,, 0.4158
 0.4902,   0.4902, 0.4816, 0.5156, 0.0000059, 0.0000426, 0.0000367,, 0.4816
 0.4980,   0.4980, 0.5379, 0.6062, 0.0000127, 0.0000571, 0.0000444,, 0.5379

MTFnn C/P, Mean,  Seg 1,
MTF70 C/P,0.0753, 0.0753, 
MTF50 C/P,0.1152, 0.1152, 
MTF30 C/P,0.1646, 0.1646, 
MTF20 C/P,0.2035, 0.2035, 
MTF10 C/P,0.0000, 0.0000, 
MTFnnP C/P, Mean,  Seg 1,
MTF70P C/P,0.0753, 0.0753, 
MTF50P C/P,0.1152, 0.1152, 
MTF30P C/P,0.1646, 0.1646, 
MTF20P C/P,0.2035, 0.2035, 
MTF10P C/P,0.0000, 0.0000, 
Undersharpening %,25.748

Acutance (CPIQ), Region, 1 of 1
Print height ,Viewing dist (cm),Acutance
   40,  1.00,  0.00
   40,  2.00,  0.00
   40,  3.00,  0.01
   40,  4.00,  0.01
   40,  5.00,  0.02
   40,  6.00,  0.03
   40,  7.00,  0.03
   40,  8.00,  0.04
   40,  9.00,  0.05
   40, 10.00,  0.06
   40, 11.00,  0.06
   40, 12.00,  0.07
   40, 13.00,  0.08
   40, 14.00,  0.09
   40, 15.00,  0.10
   40, 16.00,  0.11
   40, 17.00,  0.11
   40, 18.00,  0.12
   40, 19.00,  0.13
   40, 20.00,  0.14
   40, 21.00,  0.15
   40, 22.00,  0.16
   40, 23.00,  0.16
   40, 24.00,  0.17
   40, 25.00,  0.18
   40, 26.00,  0.19
   40, 27.00,  0.20
   40, 28.00,  0.20
   40, 29.00,  0.21
   40, 30.00,  0.22
   40, 31.00,  0.23
   40, 32.00,  0.24
   40, 33.00,  0.24
   40, 34.00,  0.25
   40, 35.00,  0.26
   40, 36.00,  0.27
   40, 37.00,  0.27
   40, 38.00,  0.28
   40, 39.00,  0.29
   40, 40.00,  0.30
   40, 41.00,  0.30
   40, 42.00,  0.31
   40, 43.00,  0.32
   40, 44.00,  0.32
   40, 45.00,  0.33
   40, 46.00,  0.34
   40, 47.00,  0.34
   40, 48.00,  0.35
   40, 49.00,  0.36
   40, 50.00,  0.36
   40, 51.00,  0.37
   40, 52.00,  0.37
   40, 53.00,  0.38
   40, 54.00,  0.39
   40, 55.00,  0.39
   40, 56.00,  0.40
   40, 57.00,  0.40
   40, 58.00,  0.41
   40, 59.00,  0.41
   40, 60.00,  0.42
   40, 61.00,  0.43
   40, 62.00,  0.43
   40, 63.00,  0.44
   40, 64.00,  0.44
   40, 65.00,  0.45
   40, 66.00,  0.45
   40, 67.00,  0.46
   40, 68.00,  0.46
   40, 69.00,  0.47
   40, 70.00,  0.47
   40, 71.00,  0.48
   40, 72.00,  0.48
   40, 73.00,  0.49
   40, 74.00,  0.49
   40, 75.00,  0.49
   40, 76.00,  0.50
   40, 77.00,  0.50
   40, 78.00,  0.51
   40, 79.00,  0.51
   40, 80.00,  0.52
   40, 81.00,  0.52
   40, 82.00,  0.52
   40, 83.00,  0.53
   40, 84.00,  0.53
   40, 85.00,  0.54
   40, 86.00,  0.54
   40, 87.00,  0.54
   40, 88.00,  0.55
   40, 89.00,  0.55
   40, 90.00,  0.55
   40, 91.00,  0.56
   40, 92.00,  0.56
   40, 93.00,  0.57
   40, 94.00,  0.57
   40, 95.00,  0.57
   40, 96.00,  0.58
   40, 97.00,  0.58
   40, 98.00,  0.58
   40, 99.00,  0.59
   40,100.00,  0.59
Use unnormalized MTF for Acutance calculation
CPIQ Results
Computer Monitor Acutance,0.366,
Computer Monitor Quality Loss,23.056,
5.5" Phone Display Acutance,0.831,
5.5" Phone Display Quality Loss,1.411,
UHDTV Display Acutance,0.524,
UHDTV Display Quality Loss,12.559,
Small Print Acutance,0.553,
Small Print Quality Loss,11.009,
Large Print Acutance,0.494,
Large Print Quality Loss,14.291,
Gamma, 0.5
Color channel, R
Max detected f (c/p), 0.498

Exif data












































































































































































































































































































