Imatest,5.1.36,,Random
File,OV13b10_AG15.5_ET2800_deadleaf_12M_60_denoised.raw
Run date,19-Mar-2026 16:09:46,,Build 2020-01-08

Image pixels (WxH),4032,3024
Crop,1669,1652
L R T B, 1194,2862,648,2299
pixels/in,0
pixels/mm,0
um/pixel,0
MTF30,0.17 Cy/Pxl,Secondary readout

Table of MTF
f (c/p),f (C/P),MTF,MTF w/noise,Noise PSD,S+N PSD,Signal PSD,,Seg 1
 0.0020,   0.0020, 0.8301, 0.8298, 0.0135953, 1.0000000, 0.9864047,, 0.8301
 0.0098,   0.0098, 0.9105, 0.9309, 0.0135953, 0.2377300, 0.2241347,, 0.9105
 0.0177,   0.0177, 1.0000, 1.0000, 0.0014218, 0.0986556, 0.0972338,, 1.0000
 0.0256,   0.0256, 0.9605, 0.9578, 0.0004115, 0.0462376, 0.0458261,, 0.9605
 0.0335,   0.0335, 0.9285, 0.9262, 0.0002482, 0.0261372, 0.0258890,, 0.9285
 0.0413,   0.0413, 0.9001, 0.8995, 0.0002164, 0.0164998, 0.0162834,, 0.9001
 0.0492,   0.0492, 0.8563, 0.8550, 0.0001212, 0.0106728, 0.0105516,, 0.8563
 0.0571,   0.0571, 0.8261, 0.8250, 0.0000884, 0.0074638, 0.0073754,, 0.8261
 0.0649,   0.0649, 0.7671, 0.7667, 0.0000682, 0.0050184, 0.0049503,, 0.7671
 0.0728,   0.0728, 0.7122, 0.7117, 0.0000451, 0.0034604, 0.0034153,, 0.7122
 0.0807,   0.0807, 0.6662, 0.6659, 0.0000335, 0.0024811, 0.0024476,, 0.6662
 0.0886,   0.0886, 0.6341, 0.6345, 0.0000293, 0.0018786, 0.0018492,, 0.6341
 0.0964,   0.0964, 0.5922, 0.5931, 0.0000242, 0.0013890, 0.0013648,, 0.5922
 0.1043,   0.1043, 0.5521, 0.5540, 0.0000218, 0.0010384, 0.0010166,, 0.5521
 0.1122,   0.1122, 0.5199, 0.5225, 0.0000192, 0.0008008, 0.0007816,, 0.5199
 0.1201,   0.1201, 0.4794, 0.4833, 0.0000181, 0.0005999, 0.0005817,, 0.4794
 0.1279,   0.1279, 0.4531, 0.4588, 0.0000185, 0.0004771, 0.0004586,, 0.4531
 0.1358,   0.1358, 0.4299, 0.4370, 0.0000178, 0.0003847, 0.0003669,, 0.4299
 0.1437,   0.1437, 0.3955, 0.4040, 0.0000163, 0.0002942, 0.0002778,, 0.3955
 0.1516,   0.1516, 0.3634, 0.3741, 0.0000159, 0.0002270, 0.0002112,, 0.3634
 0.1594,   0.1594, 0.3301, 0.3452, 0.0000173, 0.0001749, 0.0001576,, 0.3301
 0.1673,   0.1673, 0.3097, 0.3255, 0.0000153, 0.0001414, 0.0001261,, 0.3097
 0.1752,   0.1752, 0.2834, 0.3016, 0.0000144, 0.0001109, 0.0000965,, 0.2834
 0.1831,   0.1831, 0.2566, 0.2778, 0.0000137, 0.0000862, 0.0000725,, 0.2566
 0.1909,   0.1909, 0.2354, 0.2607, 0.0000138, 0.0000699, 0.0000561,, 0.2354
 0.1988,   0.1988, 0.2195, 0.2473, 0.0000130, 0.0000580, 0.0000451,, 0.2195
 0.2067,   0.2067, 0.2047, 0.2352, 0.0000123, 0.0000486, 0.0000363,, 0.2047
 0.2146,   0.2146, 0.1936, 0.2275, 0.0000121, 0.0000422, 0.0000301,, 0.1936
 0.2224,   0.2224, 0.1872, 0.2203, 0.0000106, 0.0000369, 0.0000262,, 0.1872
 0.2303,   0.2303, 0.1736, 0.2150, 0.0000117, 0.0000328, 0.0000210,, 0.1736
 0.2382,   0.2382, 0.1685, 0.2106, 0.0000109, 0.0000294, 0.0000186,, 0.1685
 0.2461,   0.2461, 0.1638, 0.2065, 0.0000101, 0.0000265, 0.0000164,, 0.1638
 0.2539,   0.2539, 0.1640, 0.2092, 0.0000101, 0.0000256, 0.0000155,, 0.1640
 0.2618,   0.2618, 0.1620, 0.2098, 0.0000100, 0.0000242, 0.0000142,, 0.1620
 0.2697,   0.2697, 0.1590, 0.2113, 0.0000102, 0.0000231, 0.0000129,, 0.1590
 0.2776,   0.2776, 0.1626, 0.2148, 0.0000098, 0.0000226, 0.0000128,, 0.1626
 0.2854,   0.2854, 0.1589, 0.2150, 0.0000099, 0.0000214, 0.0000115,, 0.1589
 0.2933,   0.2933, 0.1601, 0.2140, 0.0000090, 0.0000201, 0.0000111,, 0.1601
 0.3012,   0.3012, 0.1616, 0.2176, 0.0000090, 0.0000197, 0.0000107,, 0.1616
 0.3091,   0.3091, 0.1641, 0.2234, 0.0000092, 0.0000197, 0.0000105,, 0.1641
 0.3169,   0.3169, 0.1676, 0.2290, 0.0000093, 0.0000197, 0.0000104,, 0.1676
 0.3248,   0.3248, 0.1700, 0.2306, 0.0000088, 0.0000190, 0.0000102,, 0.1700
 0.3327,   0.3327, 0.1776, 0.2359, 0.0000084, 0.0000190, 0.0000106,, 0.1776
 0.3406,   0.3406, 0.1791, 0.2427, 0.0000089, 0.0000192, 0.0000103,, 0.1791
 0.3484,   0.3484, 0.1834, 0.2466, 0.0000086, 0.0000189, 0.0000103,, 0.1834
 0.3563,   0.3563, 0.1917, 0.2559, 0.0000087, 0.0000195, 0.0000108,, 0.1917
 0.3642,   0.3642, 0.1965, 0.2633, 0.0000089, 0.0000198, 0.0000109,, 0.1965
 0.3721,   0.3721, 0.2080, 0.2707, 0.0000084, 0.0000200, 0.0000117,, 0.2080
 0.3799,   0.3799, 0.2165, 0.2784, 0.0000082, 0.0000203, 0.0000121,, 0.2165
 0.3878,   0.3878, 0.2193, 0.2825, 0.0000082, 0.0000201, 0.0000119,, 0.2193
 0.3957,   0.3957, 0.2273, 0.2916, 0.0000083, 0.0000206, 0.0000123,, 0.2273
 0.4036,   0.4036, 0.2333, 0.2993, 0.0000084, 0.0000208, 0.0000125,, 0.2333
 0.4114,   0.4114, 0.2420, 0.3068, 0.0000082, 0.0000211, 0.0000129,, 0.2420
 0.4193,   0.4193, 0.2535, 0.3157, 0.0000078, 0.0000215, 0.0000136,, 0.2535
 0.4272,   0.4272, 0.2677, 0.3277, 0.0000076, 0.0000223, 0.0000147,, 0.2677
 0.4351,   0.4351, 0.2748, 0.3376, 0.0000079, 0.0000228, 0.0000149,, 0.2748
 0.4429,   0.4429, 0.2900, 0.3559, 0.0000085, 0.0000245, 0.0000160,, 0.2900
 0.4508,   0.4508, 0.3120, 0.3732, 0.0000081, 0.0000260, 0.0000179,, 0.3120
 0.4587,   0.4587, 0.3300, 0.3924, 0.0000084, 0.0000278, 0.0000193,, 0.3300
 0.4665,   0.4665, 0.3598, 0.4165, 0.0000080, 0.0000302, 0.0000222,, 0.3598
 0.4744,   0.4744, 0.3947, 0.4536, 0.0000088, 0.0000347, 0.0000259,, 0.3947
 0.4823,   0.4823, 0.4429, 0.4991, 0.0000091, 0.0000406, 0.0000315,, 0.4429
 0.4902,   0.4902, 0.5139, 0.5646, 0.0000092, 0.0000503, 0.0000411,, 0.5139
 0.4980,   0.4980, 0.5982, 0.6827, 0.0000173, 0.0000713, 0.0000540,, 0.5982

MTFnn C/P, Mean,  Seg 1,
MTF70 C/P,0.0749, 0.0749, 
MTF50 C/P,0.1161, 0.1161, 
MTF30 C/P,0.1702, 0.1702, 
MTF20 C/P,0.2100, 0.2100, 
MTF10 C/P,0.0000, 0.0000, 
MTFnnP C/P, Mean,  Seg 1,
MTF70P C/P,0.0749, 0.0749, 
MTF50P C/P,0.1161, 0.1161, 
MTF30P C/P,0.1702, 0.1702, 
MTF20P C/P,0.2100, 0.2100, 
MTF10P C/P,0.0000, 0.0000, 
Undersharpening %,26.563

Acutance (CPIQ), Region, 1 of 1
Print height ,Viewing dist (cm),Acutance
   40,  1.00,  0.00
   40,  2.00,  0.00
   40,  3.00,  0.01
   40,  4.00,  0.01
   40,  5.00,  0.02
   40,  6.00,  0.03
   40,  7.00,  0.03
   40,  8.00,  0.04
   40,  9.00,  0.05
   40, 10.00,  0.06
   40, 11.00,  0.07
   40, 12.00,  0.07
   40, 13.00,  0.08
   40, 14.00,  0.09
   40, 15.00,  0.10
   40, 16.00,  0.11
   40, 17.00,  0.12
   40, 18.00,  0.12
   40, 19.00,  0.13
   40, 20.00,  0.14
   40, 21.00,  0.15
   40, 22.00,  0.16
   40, 23.00,  0.17
   40, 24.00,  0.17
   40, 25.00,  0.18
   40, 26.00,  0.19
   40, 27.00,  0.20
   40, 28.00,  0.21
   40, 29.00,  0.22
   40, 30.00,  0.22
   40, 31.00,  0.23
   40, 32.00,  0.24
   40, 33.00,  0.25
   40, 34.00,  0.25
   40, 35.00,  0.26
   40, 36.00,  0.27
   40, 37.00,  0.28
   40, 38.00,  0.28
   40, 39.00,  0.29
   40, 40.00,  0.30
   40, 41.00,  0.30
   40, 42.00,  0.31
   40, 43.00,  0.32
   40, 44.00,  0.32
   40, 45.00,  0.33
   40, 46.00,  0.34
   40, 47.00,  0.34
   40, 48.00,  0.35
   40, 49.00,  0.36
   40, 50.00,  0.36
   40, 51.00,  0.37
   40, 52.00,  0.38
   40, 53.00,  0.38
   40, 54.00,  0.39
   40, 55.00,  0.39
   40, 56.00,  0.40
   40, 57.00,  0.40
   40, 58.00,  0.41
   40, 59.00,  0.42
   40, 60.00,  0.42
   40, 61.00,  0.43
   40, 62.00,  0.43
   40, 63.00,  0.44
   40, 64.00,  0.44
   40, 65.00,  0.45
   40, 66.00,  0.45
   40, 67.00,  0.46
   40, 68.00,  0.46
   40, 69.00,  0.47
   40, 70.00,  0.47
   40, 71.00,  0.48
   40, 72.00,  0.48
   40, 73.00,  0.49
   40, 74.00,  0.49
   40, 75.00,  0.49
   40, 76.00,  0.50
   40, 77.00,  0.50
   40, 78.00,  0.51
   40, 79.00,  0.51
   40, 80.00,  0.52
   40, 81.00,  0.52
   40, 82.00,  0.52
   40, 83.00,  0.53
   40, 84.00,  0.53
   40, 85.00,  0.54
   40, 86.00,  0.54
   40, 87.00,  0.54
   40, 88.00,  0.55
   40, 89.00,  0.55
   40, 90.00,  0.55
   40, 91.00,  0.56
   40, 92.00,  0.56
   40, 93.00,  0.56
   40, 94.00,  0.57
   40, 95.00,  0.57
   40, 96.00,  0.57
   40, 97.00,  0.58
   40, 98.00,  0.58
   40, 99.00,  0.58
   40,100.00,  0.59
Use unnormalized MTF for Acutance calculation
CPIQ Results
Computer Monitor Acutance,0.374,
Computer Monitor Quality Loss,22.477,
5.5" Phone Display Acutance,0.827,
5.5" Phone Display Quality Loss,1.469,
UHDTV Display Acutance,0.528,
UHDTV Display Quality Loss,12.362,
Small Print Acutance,0.552,
