Imatest-style,Python Release,,Random
File,OV13b10_AG15.5_ET2800_deadleaf_12M_60.raw
Run date,07-Apr-2026 15:41:57,,Release

Image pixels (WxH),4032,3024
Crop,1672,1654
L R T B,1207,2860,639,2310
pixels/in,0
pixels/mm,0
um/pixel,0
MTF30,0.000 Cy/Pxl,Secondary readout

Table of MTF
f (c/p),f (C/P),MTF,MTF w/noise,Noise PSD,S+N PSD,Signal PSD,,Seg 1
0.0027,0.0027,1.9776,1.9769,0.0002091,28.9729565,28.9727474,,1.9776
0.0131,0.0131,1.0995,1.0997,0.0010234,0.9905591,0.9895357,,1.0995
0.0236,0.0236,1.0000,1.0000,0.0002383,0.3271307,0.3268924,,1.0000
0.0341,0.0341,0.9344,0.9346,0.0001986,0.1561044,0.1559059,,0.9344
0.0446,0.0446,0.8981,0.8986,0.0001563,0.0914766,0.0913204,,0.8981
0.0551,0.0551,0.8306,0.8315,0.0001504,0.0542222,0.0540718,,0.8306
0.0656,0.0656,0.8177,0.8189,0.0001443,0.0386064,0.0384620,,0.8177
0.0761,0.0761,0.7597,0.7613,0.0001269,0.0255399,0.0254131,,0.7597
0.0866,0.0866,0.7188,0.7211,0.0001294,0.0180977,0.0179683,,0.7188
0.0971,0.0971,0.7087,0.7117,0.0001297,0.0142729,0.0141431,,0.7087
0.1075,0.1075,0.6579,0.6626,0.0001531,0.0102180,0.0100649,,0.6579
0.1180,0.1180,0.6518,0.6574,0.0001489,0.0084409,0.0082920,,0.6518
0.1285,0.1285,0.6375,0.6434,0.0001322,0.0068801,0.0067479,,0.6375
0.1390,0.1390,0.5996,0.6070,0.0001300,0.0052697,0.0051397,,0.5996
0.1495,0.1495,0.5739,0.5819,0.0001180,0.0042114,0.0040934,,0.5739
0.1600,0.1600,0.5614,0.5698,0.0001055,0.0035405,0.0034350,,0.5614
0.1705,0.1705,0.5451,0.5541,0.0000982,0.0029592,0.0028610,,0.5451
0.1810,0.1810,0.5379,0.5513,0.0001266,0.0026054,0.0024788,,0.5379
0.1915,0.1915,0.5254,0.5389,0.0001123,0.0022288,0.0021164,,0.5254
0.2019,0.2019,0.5244,0.5380,0.0001015,0.0019989,0.0018975,,0.5244
0.2124,0.2124,0.5190,0.5313,0.0000819,0.0017631,0.0016812,,0.5190
0.2229,0.2229,0.5048,0.5206,0.0000933,0.0015376,0.0014444,,0.5048
0.2334,0.2334,0.4955,0.5103,0.0000778,0.0013472,0.0012694,,0.4955
0.2439,0.2439,0.4900,0.5050,0.0000717,0.0012079,0.0011362,,0.4900
0.2544,0.2544,0.4699,0.4862,0.0000688,0.0010284,0.0009596,,0.4699
0.2649,0.2649,0.4649,0.4828,0.0000685,0.0009341,0.0008657,,0.4649
0.2754,0.2754,0.4682,0.4857,0.0000625,0.0008738,0.0008113,,0.4682
0.2859,0.2859,0.4558,0.4733,0.0000563,0.0007688,0.0007124,,0.4558
0.2963,0.2963,0.4470,0.4658,0.0000552,0.0006919,0.0006366,,0.4470
