Imatest,5.1.36,,Random
File,OV13b10_AG1_ET40000_deadleaf_12M_1_denoised.raw
Run date,19-Mar-2026 16:10:47,,Build 2020-01-08

Image pixels (WxH),4032,3024
Crop,1675,1655
L R T B, 1194,2868,647,2301
pixels/in,0
pixels/mm,0
um/pixel,0
MTF30,0.159 Cy/Pxl,Secondary readout

Table of MTF
f (c/p),f (C/P),MTF,MTF w/noise,Noise PSD,S+N PSD,Signal PSD,,Seg 1
 0.0020,   0.0020, 0.8149, 0.8166, 0.0129672, 1.0000000, 0.9870328,, 0.8149
 0.0098,   0.0098, 0.8968, 0.9181, 0.0129672, 0.2396340, 0.2266668,, 0.8968
 0.0177,   0.0177, 1.0000, 1.0000, 0.0008941, 0.1026629, 0.1017688,, 1.0000
 0.0256,   0.0256, 0.9671, 0.9650, 0.0002131, 0.0488000, 0.0485869,, 0.9671
 0.0335,   0.0335, 0.9437, 0.9413, 0.0001046, 0.0280832, 0.0279787,, 0.9437
 0.0413,   0.0413, 0.9177, 0.9158, 0.0000810, 0.0178032, 0.0177222,, 0.9177
 0.0492,   0.0492, 0.8838, 0.8816, 0.0000442, 0.0118156, 0.0117715,, 0.8838
 0.0571,   0.0571, 0.8502, 0.8481, 0.0000327, 0.0082075, 0.0081748,, 0.8502
 0.0649,   0.0649, 0.7889, 0.7875, 0.0000286, 0.0055069, 0.0054783,, 0.7889
 0.0728,   0.0728, 0.7373, 0.7360, 0.0000201, 0.0038528, 0.0038327,, 0.7373
 0.0807,   0.0807, 0.6848, 0.6838, 0.0000166, 0.0027235, 0.0027070,, 0.6848
 0.0886,   0.0886, 0.6430, 0.6429, 0.0000169, 0.0020066, 0.0019898,, 0.6430
 0.0964,   0.0964, 0.5961, 0.5961, 0.0000131, 0.0014601, 0.0014470,, 0.5961
 0.1043,   0.1043, 0.5598, 0.5603, 0.0000115, 0.0011061, 0.0010946,, 0.5598
 0.1122,   0.1122, 0.5212, 0.5225, 0.0000113, 0.0008336, 0.0008224,, 0.5212
 0.1201,   0.1201, 0.4804, 0.4823, 0.0000103, 0.0006218, 0.0006115,, 0.4804
 0.1279,   0.1279, 0.4365, 0.4407, 0.0000126, 0.0004582, 0.0004456,, 0.4365
 0.1358,   0.1358, 0.4066, 0.4097, 0.0000082, 0.0003520, 0.0003438,, 0.4066
 0.1437,   0.1437, 0.3677, 0.3707, 0.0000062, 0.0002578, 0.0002516,, 0.3677
 0.1516,   0.1516, 0.3322, 0.3356, 0.0000054, 0.0001902, 0.0001848,, 0.3322
 0.1594,   0.1594, 0.2959, 0.3004, 0.0000052, 0.0001379, 0.0001327,, 0.2959
 0.1673,   0.1673, 0.2686, 0.2733, 0.0000045, 0.0001038, 0.0000993,, 0.2686
 0.1752,   0.1752, 0.2387, 0.2445, 0.0000042, 0.0000758, 0.0000716,, 0.2387
 0.1831,   0.1831, 0.2107, 0.2174, 0.0000038, 0.0000550, 0.0000512,, 0.2107
 0.1909,   0.1909, 0.1927, 0.1985, 0.0000028, 0.0000422, 0.0000394,, 0.1927
 0.1988,   0.1988, 0.1748, 0.1818, 0.0000027, 0.0000326, 0.0000299,, 0.1748
 0.2067,   0.2067, 0.1586, 0.1665, 0.0000026, 0.0000254, 0.0000228,, 0.1586
 0.2146,   0.2146, 0.1469, 0.1541, 0.0000020, 0.0000202, 0.0000182,, 0.1469
 0.2224,   0.2224, 0.1398, 0.1474, 0.0000019, 0.0000172, 0.0000153,, 0.1398
 0.2303,   0.2303, 0.1307, 0.1395, 0.0000019, 0.0000144, 0.0000125,, 0.1307
 0.2382,   0.2382, 0.1249, 0.1335, 0.0000016, 0.0000123, 0.0000107,, 0.1249
