Imatest,5.1.36,,Random
File,OV13b10_AG8_ET5500_deadleaf_12M_40_denoised.raw
Run date,19-Mar-2026 16:10:47,,Build 2020-01-08

Image pixels (WxH),4032,3024
Crop,1668,1652
L R T B, 1194,2861,648,2299
pixels/in,0
pixels/mm,0
um/pixel,0
MTF30,0.158 Cy/Pxl,Secondary readout

Table of MTF
f (c/p),f (C/P),MTF,MTF w/noise,Noise PSD,S+N PSD,Signal PSD,,Seg 1
 0.3878,   0.3878, 0.1963, 0.2182, 0.0000024, 0.0000122, 0.0000097,, 0.1963
 0.3957,   0.3957, 0.2056, 0.2287, 0.0000026, 0.0000128, 0.0000102,, 0.2056
 0.4036,   0.4036, 0.2091, 0.2326, 0.0000026, 0.0000128, 0.0000102,, 0.2091
 0.4114,   0.4114, 0.2166, 0.2401, 0.0000026, 0.0000131, 0.0000105,, 0.2166
 0.4193,   0.4193, 0.2247, 0.2470, 0.0000024, 0.0000133, 0.0000109,, 0.2247
 0.4272,   0.4272, 0.2370, 0.2582, 0.0000024, 0.0000140, 0.0000117,, 0.2370
 0.4351,   0.4351, 0.2433, 0.2663, 0.0000025, 0.0000144, 0.0000119,, 0.2433
 0.4429,   0.4429, 0.2609, 0.2835, 0.0000026, 0.0000158, 0.0000132,, 0.2609
 0.4508,   0.4508, 0.2723, 0.2953, 0.0000027, 0.0000165, 0.0000138,, 0.2723
 0.4587,   0.4587, 0.2907, 0.3125, 0.0000026, 0.0000179, 0.0000152,, 0.2907
 0.4665,   0.4665, 0.3149, 0.3346, 0.0000025, 0.0000198, 0.0000173,, 0.3149
 0.4744,   0.4744, 0.3475, 0.3665, 0.0000026, 0.0000230, 0.0000204,, 0.3475
 0.4823,   0.4823, 0.3923, 0.4107, 0.0000028, 0.0000279, 0.0000251,, 0.3923
 0.4902,   0.4902, 0.4525, 0.4688, 0.0000028, 0.0000352, 0.0000324,, 0.4525
 0.4980,   0.4980, 0.5101, 0.5540, 0.0000078, 0.0000476, 0.0000398,, 0.5101

MTFnn C/P, Mean,  Seg 1,
MTF70 C/P,0.0735, 0.0735, 
MTF50 C/P,0.1115, 0.1115, 
MTF30 C/P,0.1576, 0.1576, 
MTF20 C/P,0.1891, 0.1891, 
MTF10 C/P,0.0000, 0.0000, 
MTFnnP C/P, Mean,  Seg 1,
MTF70P C/P,0.0735, 0.0735, 
MTF50P C/P,0.1115, 0.1115, 
MTF30P C/P,0.1576, 0.1576, 
MTF20P C/P,0.1891, 0.1891, 
MTF10P C/P,0.0000, 0.0000, 
Undersharpening %,24.987

Acutance (CPIQ), Region, 1 of 1
Print height ,Viewing dist (cm),Acutance
   40,  1.00,  0.00
   40,  2.00,  0.00
   40,  3.00,  0.01
   40,  4.00,  0.01
   40,  5.00,  0.02
   40,  6.00,  0.02
   40,  7.00,  0.03
   40,  8.00,  0.04
   40,  9.00,  0.05
   40, 10.00,  0.05
   40, 11.00,  0.06
   40, 12.00,  0.07
   40, 13.00,  0.08
   40, 14.00,  0.08
   40, 15.00,  0.09
   40, 16.00,  0.10
   40, 17.00,  0.11
   40, 18.00,  0.12
   40, 19.00,  0.13
   40, 20.00,  0.13
   40, 21.00,  0.14
   40, 22.00,  0.15
   40, 23.00,  0.16
   40, 24.00,  0.17
   40, 25.00,  0.17
   40, 26.00,  0.18
   40, 27.00,  0.19
   40, 28.00,  0.20
   40, 29.00,  0.21
   40, 30.00,  0.21
   40, 31.00,  0.22
   40, 32.00,  0.23
   40, 33.00,  0.24
   40, 34.00,  0.24
   40, 35.00,  0.25
   40, 36.00,  0.26
   40, 37.00,  0.27
   40, 38.00,  0.27
   40, 39.00,  0.28
   40, 40.00,  0.29
   40, 41.00,  0.29
   40, 42.00,  0.30
   40, 43.00,  0.31
   40, 44.00,  0.32
   40, 45.00,  0.32
   40, 46.00,  0.33
   40, 47.00,  0.34
   40, 48.00,  0.34
   40, 49.00,  0.35
   40, 50.00,  0.35
   40, 51.00,  0.36
   40, 52.00,  0.37
   40, 53.00,  0.37
   40, 54.00,  0.38
   40, 55.00,  0.38
   40, 56.00,  0.39
   40, 57.00,  0.40
   40, 58.00,  0.40
   40, 59.00,  0.41
   40, 60.00,  0.41
   40, 61.00,  0.42
   40, 62.00,  0.42
   40, 63.00,  0.43
   40, 64.00,  0.43
   40, 65.00,  0.44
   40, 66.00,  0.45
   40, 67.00,  0.45
   40, 68.00,  0.46
   40, 69.00,  0.46
   40, 70.00,  0.46
   40, 71.00,  0.47
   40, 72.00,  0.47
   40, 73.00,  0.48
   40, 74.00,  0.48
   40, 75.00,  0.49
   40, 76.00,  0.49
   40, 77.00,  0.50
   40, 78.00,  0.50
   40, 79.00,  0.51
   40, 80.00,  0.51
   40, 81.00,  0.51
   40, 82.00,  0.52
   40, 83.00,  0.52
   40, 84.00,  0.53
   40, 85.00,  0.53
   40, 86.00,  0.53
   40, 87.00,  0.54
   40, 88.00,  0.54
   40, 89.00,  0.55
   40, 90.00,  0.55
   40, 91.00,  0.55
   40, 92.00,  0.56
   40, 93.00,  0.56
   40, 94.00,  0.56
   40, 95.00,  0.57
   40, 96.00,  0.57
   40, 97.00,  0.57
   40, 98.00,  0.58
   40, 99.00,  0.58
   40,100.00,  0.58
Use unnormalized MTF for Acutance calculation
CPIQ Results
Computer Monitor Acutance,0.351,
Computer Monitor Quality Loss,24.245,
5.5" Phone Display Acutance,0.828,
5.5" Phone Display Quality Loss,1.455,
UHDTV Display Acutance,0.511,
UHDTV Display Quality Loss,13.298,
Small Print Acutance,0.549,
Small Print Quality Loss,11.235,
Large Print Acutance,0.488,
Large Print Quality Loss,14.664,
Gamma, 0.5
Color channel, R
Max detected f (c/p), 0.498

Exif data












































































































































































































































































































