Imatest,5.1.36,,Random
File,OV13b10_AG4_ET11000_deadleaf_12M_20_denoised.raw
Run date,19-Mar-2026 16:10:47,,Build 2020-01-08

Image pixels (WxH),4032,3024
Crop,1668,1652
L R T B, 1195,2862,648,2299
pixels/in,0
pixels/mm,0
um/pixel,0
MTF30,0.156 Cy/Pxl,Secondary readout

Table of MTF
f (c/p),f (C/P),MTF,MTF w/noise,Noise PSD,S+N PSD,Signal PSD,,Seg 1
 0.0020,   0.0020, 0.8233, 0.8235, 0.0111480, 1.0000000, 0.9888520,, 0.8233
 0.0098,   0.0098, 0.9070, 0.9241, 0.0111480, 0.2378437, 0.2266957,, 0.9070
 0.0177,   0.0177, 1.0000, 1.0000, 0.0010645, 0.1001632, 0.0990987,, 1.0000
 0.0256,   0.0256, 0.9591, 0.9566, 0.0002626, 0.0468306, 0.0465680,, 0.9591
 0.0335,   0.0335, 0.9379, 0.9354, 0.0001455, 0.0270689, 0.0269234,, 0.9379
 0.0413,   0.0413, 0.9032, 0.9017, 0.0001206, 0.0168321, 0.0167116,, 0.9032
 0.0492,   0.0492, 0.8617, 0.8594, 0.0000602, 0.0109498, 0.0108896,, 0.8617
 0.0571,   0.0571, 0.8283, 0.8265, 0.0000485, 0.0076066, 0.0075581,, 0.8283
 0.0649,   0.0649, 0.7691, 0.7682, 0.0000427, 0.0051149, 0.0050722,, 0.7691
 0.0728,   0.0728, 0.7085, 0.7076, 0.0000274, 0.0034724, 0.0034450,, 0.7085
 0.0807,   0.0807, 0.6555, 0.6548, 0.0000208, 0.0024358, 0.0024150,, 0.6555
 0.0886,   0.0886, 0.6123, 0.6125, 0.0000205, 0.0017775, 0.0017571,, 0.6123
 0.0964,   0.0964, 0.5728, 0.5728, 0.0000141, 0.0013152, 0.0013011,, 0.5728
 0.1043,   0.1043, 0.5305, 0.5313, 0.0000130, 0.0009696, 0.0009565,, 0.5305
 0.1122,   0.1122, 0.4930, 0.4949, 0.0000133, 0.0007294, 0.0007161,, 0.4930
 0.1201,   0.1201, 0.4529, 0.4549, 0.0000105, 0.0005395, 0.0005290,, 0.4529
 0.1279,   0.1279, 0.4165, 0.4203, 0.0000116, 0.0004065, 0.0003949,, 0.4165
 0.1358,   0.1358, 0.3878, 0.3916, 0.0000093, 0.0003136, 0.0003043,, 0.3878
 0.1437,   0.1437, 0.3502, 0.3541, 0.0000074, 0.0002295, 0.0002220,, 0.3502
 0.1516,   0.1516, 0.3176, 0.3216, 0.0000059, 0.0001703, 0.0001644,, 0.3176
 0.1594,   0.1594, 0.2838, 0.2893, 0.0000060, 0.0001248, 0.0001187,, 0.2838
 0.1673,   0.1673, 0.2578, 0.2637, 0.0000051, 0.0000942, 0.0000891,, 0.2578
 0.1752,   0.1752, 0.2325, 0.2392, 0.0000046, 0.0000708, 0.0000662,, 0.2325
 0.1831,   0.1831, 0.2042, 0.2118, 0.0000041, 0.0000509, 0.0000468,, 0.2042
 0.1909,   0.1909, 0.1863, 0.1954, 0.0000040, 0.0000398, 0.0000359,, 0.1863
 0.1988,   0.1988, 0.1707, 0.1801, 0.0000035, 0.0000312, 0.0000278,, 0.1707
 0.2067,   0.2067, 0.1591, 0.1688, 0.0000031, 0.0000254, 0.0000223,, 0.1591
 0.2146,   0.2146, 0.1443, 0.1555, 0.0000030, 0.0000200, 0.0000171,, 0.1443
 0.2224,   0.2224, 0.1387, 0.1496, 0.0000026, 0.0000173, 0.0000147,, 0.1387
 0.2303,   0.2303, 0.1312, 0.1440, 0.0000027, 0.0000149, 0.0000123,, 0.1312
 0.2382,   0.2382, 0.1229, 0.1364, 0.0000025, 0.0000125, 0.0000101,, 0.1229
 0.2461,   0.2461, 0.1184, 0.1315, 0.0000022, 0.0000109, 0.0000088,, 0.1184
 0.2539,   0.2539, 0.1195, 0.1328, 0.0000021, 0.0000105, 0.0000084,, 0.1195
 0.2618,   0.2618, 0.1150, 0.1305, 0.0000022, 0.0000095, 0.0000073,, 0.1150
 0.2697,   0.2697, 0.1140, 0.1295, 0.0000021, 0.0000088, 0.0000068,, 0.1140
 0.2776,   0.2776, 0.1133, 0.1311, 0.0000022, 0.0000085, 0.0000063,, 0.1133
 0.2854,   0.2854, 0.1139, 0.1316, 0.0000021, 0.0000081, 0.0000060,, 0.1139
 0.2933,   0.2933, 0.1163, 0.1323, 0.0000018, 0.0000078, 0.0000060,, 0.1163
 0.3012,   0.3012, 0.1183, 0.1344, 0.0000018, 0.0000076, 0.0000059,, 0.1183
 0.3091,   0.3091, 0.1220, 0.1389, 0.0000018, 0.0000077, 0.0000059,, 0.1220
 0.3169,   0.3169, 0.1227, 0.1411, 0.0000019, 0.0000076, 0.0000057,, 0.1227
 0.3248,   0.3248, 0.1261, 0.1434, 0.0000018, 0.0000075, 0.0000057,, 0.1261
 0.3327,   0.3327, 0.1323, 0.1497, 0.0000018, 0.0000078, 0.0000060,, 0.1323
 0.3406,   0.3406, 0.1393, 0.1569, 0.0000018, 0.0000081, 0.0000064,, 0.1393
 0.3484,   0.3484, 0.1468, 0.1640, 0.0000018, 0.0000085, 0.0000067,, 0.1468
 0.3563,   0.3563, 0.1559, 0.1740, 0.0000019, 0.0000092, 0.0000073,, 0.1559
 0.3642,   0.3642, 0.1636, 0.1811, 0.0000018, 0.0000095, 0.0000077,, 0.1636
 0.3721,   0.3721, 0.1735, 0.1898, 0.0000017, 0.0000100, 0.0000083,, 0.1735
 0.3799,   0.3799, 0.1809, 0.1984, 0.0000019, 0.0000105, 0.0000086,, 0.1809
 0.3878,   0.3878, 0.1890, 0.2054, 0.0000018, 0.0000108, 0.0000090,, 0.1890
 0.3957,   0.3957, 0.1982, 0.2155, 0.0000019, 0.0000114, 0.0000095,, 0.1982
 0.4036,   0.4036, 0.2024, 0.2191, 0.0000018, 0.0000113, 0.0000096,, 0.2024
 0.4114,   0.4114, 0.2099, 0.2267, 0.0000018, 0.0000117, 0.0000099,, 0.2099
 0.4193,   0.4193, 0.2179, 0.2348, 0.0000018, 0.0000121, 0.0000103,, 0.2179
 0.4272,   0.4272, 0.2269, 0.2434, 0.0000018, 0.0000125, 0.0000107,, 0.2269
 0.4351,   0.4351, 0.2387, 0.2552, 0.0000018, 0.0000132, 0.0000115,, 0.2387
 0.4429,   0.4429, 0.2526, 0.2699, 0.0000019, 0.0000143, 0.0000124,, 0.2526
 0.4508,   0.4508, 0.2636, 0.2807, 0.0000019, 0.0000149, 0.0000130,, 0.2636
 0.4587,   0.4587, 0.2820, 0.2981, 0.0000019, 0.0000163, 0.0000144,, 0.2820
 0.4665,   0.4665, 0.3068, 0.3210, 0.0000018, 0.0000182, 0.0000165,, 0.3068
 0.4744,   0.4744, 0.3365, 0.3501, 0.0000018, 0.0000210, 0.0000192,, 0.3365
 0.4823,   0.4823, 0.3775, 0.3903, 0.0000019, 0.0000252, 0.0000234,, 0.3775
 0.4902,   0.4902, 0.4364, 0.4480, 0.0000020, 0.0000322, 0.0000302,, 0.4364
 0.4980,   0.4980, 0.4955, 0.5307, 0.0000060, 0.0000438, 0.0000377,, 0.4955

MTFnn C/P, Mean,  Seg 1,
MTF70 C/P,0.0741, 0.0741, 
MTF50 C/P,0.1107, 0.1107, 
MTF30 C/P,0.1557, 0.1557, 
MTF20 C/P,0.1849, 0.1849, 
MTF10 C/P,0.0000, 0.0000, 
MTFnnP C/P, Mean,  Seg 1,
MTF70P C/P,0.0741, 0.0741, 
MTF50P C/P,0.1107, 0.1107, 
MTF30P C/P,0.1557, 0.1557, 
MTF20P C/P,0.1849, 0.1849, 
MTF10P C/P,0.0000, 0.0000, 
Undersharpening %,24.232

Acutance (CPIQ), Region, 1 of 1
Print height ,Viewing dist (cm),Acutance
   40,  1.00,  0.00
   40,  2.00,  0.00
   40,  3.00,  0.01
   40,  4.00,  0.01
   40,  5.00,  0.02
   40,  6.00,  0.02
   40,  7.00,  0.03
   40,  8.00,  0.04
   40,  9.00,  0.04
   40, 10.00,  0.05
   40, 11.00,  0.06
   40, 12.00,  0.07
   40, 13.00,  0.08
   40, 14.00,  0.08
   40, 15.00,  0.09
   40, 16.00,  0.10
   40, 17.00,  0.11
   40, 18.00,  0.12
   40, 19.00,  0.12
   40, 20.00,  0.13
   40, 21.00,  0.14
   40, 22.00,  0.15
   40, 23.00,  0.16
   40, 24.00,  0.16
   40, 25.00,  0.17
   40, 26.00,  0.18
   40, 27.00,  0.19
   40, 28.00,  0.20
   40, 29.00,  0.20
   40, 30.00,  0.21
   40, 31.00,  0.22
   40, 32.00,  0.23
   40, 33.00,  0.24
   40, 34.00,  0.24
   40, 35.00,  0.25
   40, 36.00,  0.26
   40, 37.00,  0.26
   40, 38.00,  0.27
   40, 39.00,  0.28
   40, 40.00,  0.29
   40, 41.00,  0.29
   40, 42.00,  0.30
   40, 43.00,  0.31
   40, 44.00,  0.31
   40, 45.00,  0.32
   40, 46.00,  0.33
   40, 47.00,  0.33
   40, 48.00,  0.34
   40, 49.00,  0.35
   40, 50.00,  0.35
   40, 51.00,  0.36
   40, 52.00,  0.37
   40, 53.00,  0.37
   40, 54.00,  0.38
   40, 55.00,  0.38
   40, 56.00,  0.39
   40, 57.00,  0.40
   40, 58.00,  0.40
   40, 59.00,  0.41
   40, 60.00,  0.41
   40, 61.00,  0.42
   40, 62.00,  0.42
   40, 63.00,  0.43
   40, 64.00,  0.43
   40, 65.00,  0.44
   40, 66.00,  0.44
   40, 67.00,  0.45
   40, 68.00,  0.45
   40, 69.00,  0.46
   40, 70.00,  0.46
   40, 71.00,  0.47
   40, 72.00,  0.47
   40, 73.00,  0.48
   40, 74.00,  0.48
   40, 75.00,  0.49
   40, 76.00,  0.49
   40, 77.00,  0.50
   40, 78.00,  0.50
   40, 79.00,  0.50
   40, 80.00,  0.51
   40, 81.00,  0.51
   40, 82.00,  0.52
   40, 83.00,  0.52
   40, 84.00,  0.53
   40, 85.00,  0.53
   40, 86.00,  0.53
   40, 87.00,  0.54
   40, 88.00,  0.54
   40, 89.00,  0.54
   40, 90.00,  0.55
   40, 91.00,  0.55
   40, 92.00,  0.56
   40, 93.00,  0.56
   40, 94.00,  0.56
   40, 95.00,  0.57
   40, 96.00,  0.57
   40, 97.00,  0.57
   40, 98.00,  0.58
   40, 99.00,  0.58
   40,100.00,  0.58
Use unnormalized MTF for Acutance calculation
CPIQ Results
Computer Monitor Acutance,0.347,
Computer Monitor Quality Loss,24.584,
5.5" Phone Display Acutance,0.827,
5.5" Phone Display Quality Loss,1.473,
UHDTV Display Acutance,0.509,
UHDTV Display Quality Loss,13.458,
Small Print Acutance,0.548,
Small Print Quality Loss,11.270,
Large Print Acutance,0.487,
Large Print Quality Loss,14.724,
Gamma, 0.5
Color channel, R
Max detected f (c/p), 0.498

Exif data












































































































































































































































































































