Imatest,5.1.36,,Random
File,OV13b10_AG15.5_ET2800_deadleaf_12M_60_denoised.raw
Run date,19-Mar-2026 16:10:47,,Build 2020-01-08

Image pixels (WxH),4032,3024
Crop,1669,1652
L R T B, 1194,2862,648,2299
pixels/in,0
pixels/mm,0
um/pixel,0
MTF30,0.161 Cy/Pxl,Secondary readout

Table of MTF
f (c/p),f (C/P),MTF,MTF w/noise,Noise PSD,S+N PSD,Signal PSD,,Seg 1
 0.0020,   0.0020, 0.8310, 0.8306, 0.0137789, 1.0000000, 0.9862211,, 0.8310
 0.0098,   0.0098, 0.9109, 0.9316, 0.0137789, 0.2375853, 0.2238064,, 0.9109
 0.0177,   0.0177, 1.0000, 1.0000, 0.0014446, 0.0984634, 0.0970188,, 1.0000
 0.0256,   0.0256, 0.9599, 0.9572, 0.0004141, 0.0460871, 0.0456730,, 0.9599
 0.0335,   0.0335, 0.9264, 0.9240, 0.0002448, 0.0259620, 0.0257173,, 0.9264
 0.0413,   0.0413, 0.8966, 0.8957, 0.0002086, 0.0163283, 0.0161197,, 0.8966
 0.0492,   0.0492, 0.8515, 0.8498, 0.0001120, 0.0105235, 0.0104115,, 0.8515
 0.0571,   0.0571, 0.8193, 0.8177, 0.0000799, 0.0073188, 0.0072389,, 0.8193
 0.0649,   0.0649, 0.7585, 0.7575, 0.0000596, 0.0048893, 0.0048297,, 0.7585
 0.0728,   0.0728, 0.7010, 0.6998, 0.0000377, 0.0033392, 0.0033016,, 0.7010
 0.0807,   0.0807, 0.6542, 0.6531, 0.0000275, 0.0023822, 0.0023548,, 0.6542
 0.0886,   0.0886, 0.6194, 0.6191, 0.0000244, 0.0017850, 0.0017606,, 0.6194
 0.0964,   0.0964, 0.5772, 0.5772, 0.0000192, 0.0013128, 0.0012936,, 0.5772
 0.1043,   0.1043, 0.5355, 0.5363, 0.0000169, 0.0009713, 0.0009543,, 0.5355
 0.1122,   0.1122, 0.5023, 0.5035, 0.0000145, 0.0007423, 0.0007278,, 0.5023
 0.1201,   0.1201, 0.4606, 0.4627, 0.0000128, 0.0005486, 0.0005358,, 0.4606
 0.1279,   0.1279, 0.4323, 0.4356, 0.0000128, 0.0004293, 0.0004164,, 0.4323
 0.1358,   0.1358, 0.4070, 0.4111, 0.0000117, 0.0003399, 0.0003282,, 0.4070
 0.1437,   0.1437, 0.3712, 0.3762, 0.0000103, 0.0002545, 0.0002442,, 0.3712
 0.1516,   0.1516, 0.3373, 0.3435, 0.0000095, 0.0001910, 0.0001815,, 0.3373
 0.1594,   0.1594, 0.3038, 0.3126, 0.0000099, 0.0001432, 0.0001333,, 0.3038
 0.1673,   0.1673, 0.2815, 0.2908, 0.0000086, 0.0001126, 0.0001040,, 0.2815
 0.1752,   0.1752, 0.2539, 0.2646, 0.0000079, 0.0000852, 0.0000773,, 0.2539
 0.1831,   0.1831, 0.2270, 0.2395, 0.0000073, 0.0000640, 0.0000566,, 0.2270
 0.1909,   0.1909, 0.2060, 0.2206, 0.0000070, 0.0000499, 0.0000429,, 0.2060
 0.1988,   0.1988, 0.1881, 0.2040, 0.0000064, 0.0000394, 0.0000330,, 0.1881
 0.2067,   0.2067, 0.1739, 0.1907, 0.0000058, 0.0000319, 0.0000261,, 0.1739
 0.2146,   0.2146, 0.1614, 0.1811, 0.0000058, 0.0000267, 0.0000209,, 0.1614
 0.2224,   0.2224, 0.1545, 0.1731, 0.0000049, 0.0000227, 0.0000178,, 0.1545
 0.2303,   0.2303, 0.1441, 0.1670, 0.0000053, 0.0000197, 0.0000145,, 0.1441
 0.2382,   0.2382, 0.1378, 0.1615, 0.0000049, 0.0000173, 0.0000124,, 0.1378
 0.2461,   0.2461, 0.1324, 0.1563, 0.0000044, 0.0000152, 0.0000107,, 0.1324
 0.2539,   0.2539, 0.1325, 0.1576, 0.0000044, 0.0000145, 0.0000101,, 0.1325
 0.2618,   0.2618, 0.1298, 0.1570, 0.0000044, 0.0000135, 0.0000091,, 0.1298
 0.2697,   0.2697, 0.1294, 0.1579, 0.0000044, 0.0000129, 0.0000085,, 0.1294
 0.2776,   0.2776, 0.1324, 0.1609, 0.0000042, 0.0000126, 0.0000084,, 0.1324
 0.2854,   0.2854, 0.1296, 0.1611, 0.0000043, 0.0000120, 0.0000077,, 0.1296
 0.2933,   0.2933, 0.1307, 0.1604, 0.0000039, 0.0000113, 0.0000074,, 0.1307
 0.3012,   0.3012, 0.1328, 0.1629, 0.0000038, 0.0000110, 0.0000072,, 0.1328
 0.3091,   0.3091, 0.1360, 0.1676, 0.0000039, 0.0000111, 0.0000072,, 0.1360
 0.3169,   0.3169, 0.1403, 0.1731, 0.0000040, 0.0000112, 0.0000073,, 0.1403
 0.3248,   0.3248, 0.1441, 0.1761, 0.0000038, 0.0000111, 0.0000073,, 0.1441
 0.3327,   0.3327, 0.1511, 0.1815, 0.0000036, 0.0000112, 0.0000077,, 0.1511
 0.3406,   0.3406, 0.1559, 0.1882, 0.0000037, 0.0000115, 0.0000078,, 0.1559
 0.3484,   0.3484, 0.1620, 0.1940, 0.0000037, 0.0000117, 0.0000080,, 0.1620
 0.3563,   0.3563, 0.1723, 0.2040, 0.0000037, 0.0000124, 0.0000087,, 0.1723
 0.3642,   0.3642, 0.1795, 0.2124, 0.0000038, 0.0000128, 0.0000090,, 0.1795
 0.3721,   0.3721, 0.1906, 0.2206, 0.0000035, 0.0000133, 0.0000098,, 0.1906
 0.3799,   0.3799, 0.1997, 0.2295, 0.0000035, 0.0000138, 0.0000103,, 0.1997
 0.3878,   0.3878, 0.2053, 0.2355, 0.0000035, 0.0000139, 0.0000104,, 0.2053
 0.3957,   0.3957, 0.2138, 0.2449, 0.0000036, 0.0000145, 0.0000109,, 0.2138
 0.4036,   0.4036, 0.2194, 0.2511, 0.0000036, 0.0000146, 0.0000110,, 0.2194
 0.4114,   0.4114, 0.2264, 0.2576, 0.0000035, 0.0000148, 0.0000113,, 0.2264
 0.4193,   0.4193, 0.2363, 0.2663, 0.0000034, 0.0000153, 0.0000118,, 0.2363
 0.4272,   0.4272, 0.2495, 0.2783, 0.0000033, 0.0000161, 0.0000127,, 0.2495
 0.4351,   0.4351, 0.2563, 0.2865, 0.0000035, 0.0000164, 0.0000129,, 0.2563
 0.4429,   0.4429, 0.2714, 0.3026, 0.0000037, 0.0000177, 0.0000140,, 0.2714
 0.4508,   0.4508, 0.2892, 0.3191, 0.0000036, 0.0000190, 0.0000154,, 0.2892
 0.4587,   0.4587, 0.3049, 0.3353, 0.0000037, 0.0000202, 0.0000165,, 0.3049
 0.4665,   0.4665, 0.3312, 0.3579, 0.0000035, 0.0000223, 0.0000188,, 0.3312
