Imatest,5.1.36,,Random
File,OV13b10_AG4_ET11000_deadleaf_12M_20_denoised.raw
Run date,19-Mar-2026 16:08:31,,Build 2020-01-08

Image pixels (WxH),4032,3024
Crop,1669,1652
L R T B, 1194,2862,648,2299
pixels/in,0
pixels/mm,0
um/pixel,0
MTF30,0.227 Cy/Pxl,Secondary readout

Table of MTF
f (c/p),f (C/P),MTF,MTF w/noise,Noise PSD,S+N PSD,Signal PSD,,Seg 1
 0.0020,   0.0020, 0.8207, 0.8210, 0.0095840, 1.0000000, 0.9904160,, 0.8207
 0.0098,   0.0098, 0.9088, 0.9234, 0.0095840, 0.2389409, 0.2293569,, 0.9088
 0.0177,   0.0177, 1.0000, 1.0000, 0.0009035, 0.1007902, 0.0998867,, 1.0000
 0.0256,   0.0256, 0.9602, 0.9582, 0.0002338, 0.0472810, 0.0470472,, 0.9602
 0.0335,   0.0335, 0.9461, 0.9440, 0.0001269, 0.0277402, 0.0276134,, 0.9461
 0.0413,   0.0413, 0.9189, 0.9179, 0.0001171, 0.0175519, 0.0174348,, 0.9189
 0.0492,   0.0492, 0.8830, 0.8815, 0.0000648, 0.0115900, 0.0115252,, 0.8830
 0.0571,   0.0571, 0.8637, 0.8629, 0.0000598, 0.0083431, 0.0082832,, 0.8637
 0.0649,   0.0649, 0.8156, 0.8162, 0.0000597, 0.0058094, 0.0057496,, 0.8156
 0.0728,   0.0728, 0.7656, 0.7658, 0.0000391, 0.0040931, 0.0040540,, 0.7656
 0.0807,   0.0807, 0.7238, 0.7253, 0.0000393, 0.0030070, 0.0029677,, 0.7238
 0.0886,   0.0886, 0.6930, 0.6952, 0.0000347, 0.0023036, 0.0022689,, 0.6930
 0.0964,   0.0964, 0.6557, 0.6584, 0.0000301, 0.0017486, 0.0017185,, 0.6557
 0.1043,   0.1043, 0.6270, 0.6313, 0.0000310, 0.0013776, 0.0013466,, 0.6270
 0.1122,   0.1122, 0.5942, 0.6005, 0.0000322, 0.0010807, 0.0010485,, 0.5942
 0.1201,   0.1201, 0.5617, 0.5687, 0.0000281, 0.0008484, 0.0008203,, 0.5617
 0.1279,   0.1279, 0.5349, 0.5440, 0.0000285, 0.0006851, 0.0006566,, 0.5349
 0.1358,   0.1358, 0.5167, 0.5287, 0.0000308, 0.0005752, 0.0005445,, 0.5167
 0.1437,   0.1437, 0.4844, 0.4985, 0.0000294, 0.0004576, 0.0004282,, 0.4844
 0.1516,   0.1516, 0.4661, 0.4799, 0.0000249, 0.0003818, 0.0003568,, 0.4661
 0.1594,   0.1594, 0.4313, 0.4499, 0.0000272, 0.0003036, 0.0002764,, 0.4313
 0.1673,   0.1673, 0.4137, 0.4341, 0.0000257, 0.0002570, 0.0002313,, 0.4137
 0.1752,   0.1752, 0.3936, 0.4161, 0.0000244, 0.0002156, 0.0001912,, 0.3936
 0.1831,   0.1831, 0.3739, 0.3991, 0.0000237, 0.0001818, 0.0001581,, 0.3739
 0.1909,   0.1909, 0.3555, 0.3864, 0.0000252, 0.0001567, 0.0001315,, 0.3555
 0.1988,   0.1988, 0.3432, 0.3783, 0.0000256, 0.0001387, 0.0001132,, 0.3432
 0.2067,   0.2067, 0.3299, 0.3678, 0.0000246, 0.0001214, 0.0000968,, 0.3299
 0.2146,   0.2146, 0.3098, 0.3534, 0.0000248, 0.0001041, 0.0000793,, 0.3098
 0.2224,   0.2224, 0.3074, 0.3504, 0.0000226, 0.0000953, 0.0000727,, 0.3074
 0.2303,   0.2303, 0.2932, 0.3457, 0.0000249, 0.0000866, 0.0000617,, 0.2932
 0.2382,   0.2382, 0.2838, 0.3358, 0.0000223, 0.0000764, 0.0000541,, 0.2838
 0.2461,   0.2461, 0.2774, 0.3317, 0.0000214, 0.0000699, 0.0000484,, 0.2774
 0.2539,   0.2539, 0.2762, 0.3382, 0.0000231, 0.0000683, 0.0000451,, 0.2762
 0.2618,   0.2618, 0.2670, 0.3319, 0.0000222, 0.0000619, 0.0000397,, 0.2670
 0.2697,   0.2697, 0.2656, 0.3324, 0.0000215, 0.0000585, 0.0000370,, 0.2656
 0.2776,   0.2776, 0.2582, 0.3337, 0.0000227, 0.0000557, 0.0000330,, 0.2582
 0.2854,   0.2854, 0.2561, 0.3329, 0.0000217, 0.0000524, 0.0000307,, 0.2561
 0.2933,   0.2933, 0.2470, 0.3277, 0.0000210, 0.0000481, 0.0000271,, 0.2470
 0.3012,   0.3012, 0.2513, 0.3342, 0.0000209, 0.0000475, 0.0000266,, 0.2513
 0.3091,   0.3091, 0.2542, 0.3355, 0.0000196, 0.0000455, 0.0000259,, 0.2542
 0.3169,   0.3169, 0.2442, 0.3419, 0.0000222, 0.0000449, 0.0000227,, 0.2442
 0.3248,   0.3248, 0.2479, 0.3422, 0.0000206, 0.0000429, 0.0000223,, 0.2479
 0.3327,   0.3327, 0.2472, 0.3428, 0.0000199, 0.0000410, 0.0000211,, 0.2472
 0.3406,   0.3406, 0.2529, 0.3528, 0.0000203, 0.0000415, 0.0000211,, 0.2529
 0.3484,   0.3484, 0.2535, 0.3556, 0.0000200, 0.0000403, 0.0000203,, 0.2535
 0.3563,   0.3563, 0.2501, 0.3644, 0.0000216, 0.0000404, 0.0000189,, 0.2501
 0.3642,   0.3642, 0.2566, 0.3678, 0.0000204, 0.0000394, 0.0000190,, 0.2566
 0.3721,   0.3721, 0.2605, 0.3673, 0.0000189, 0.0000377, 0.0000188,, 0.2605
 0.3799,   0.3799, 0.2704, 0.3789, 0.0000191, 0.0000385, 0.0000194,, 0.2704
 0.3878,   0.3878, 0.2679, 0.3795, 0.0000187, 0.0000370, 0.0000183,, 0.2679
 0.3957,   0.3957, 0.2698, 0.3857, 0.0000189, 0.0000368, 0.0000178,, 0.2698
 0.4036,   0.4036, 0.2885, 0.3998, 0.0000184, 0.0000380, 0.0000196,, 0.2885
 0.4114,   0.4114, 0.2862, 0.4020, 0.0000184, 0.0000370, 0.0000186,, 0.2862
 0.4193,   0.4193, 0.2992, 0.4184, 0.0000190, 0.0000386, 0.0000195,, 0.2992
 0.4272,   0.4272, 0.3031, 0.4239, 0.0000188, 0.0000381, 0.0000193,, 0.3031
 0.4351,   0.4351, 0.3264, 0.4449, 0.0000189, 0.0000405, 0.0000216,, 0.3264
 0.4429,   0.4429, 0.3454, 0.4672, 0.0000198, 0.0000431, 0.0000233,, 0.3454
 0.4508,   0.4508, 0.3647, 0.4850, 0.0000197, 0.0000448, 0.0000251,, 0.3647
 0.4587,   0.4587, 0.3960, 0.5094, 0.0000192, 0.0000478, 0.0000286,, 0.3960
 0.4665,   0.4665, 0.4331, 0.5403, 0.0000189, 0.0000520, 0.0000331,, 0.4331
 0.4744,   0.4744, 0.4696, 0.5768, 0.0000197, 0.0000573, 0.0000376,, 0.4696
 0.4823,   0.4823, 0.5211, 0.6220, 0.0000196, 0.0000645, 0.0000449,, 0.5211
 0.4902,   0.4902, 0.6081, 0.6973, 0.0000193, 0.0000785, 0.0000591,, 0.6081
 0.4980,   0.4980, 0.6918, 0.8223, 0.0000316, 0.0001057, 0.0000741,, 0.6918

MTFnn C/P, Mean,  Seg 1,
MTF70 C/P,0.0868, 0.0868, 
MTF50 C/P,0.1399, 0.1399, 
MTF30 C/P,0.2265, 0.2265, 
MTF20 C/P,0.0000, 0.0000, 
MTF10 C/P,0.0000, 0.0000, 
MTFnnP C/P, Mean,  Seg 1,
MTF70P C/P,0.0868, 0.0868, 
MTF50P C/P,0.1399, 0.1399, 
MTF30P C/P,0.2265, 0.2265, 
MTF20P C/P,0.0000, 0.0000, 
MTF10P C/P,0.0000, 0.0000, 
Undersharpening %,28.884

Acutance (CPIQ), Region, 1 of 1
Print height ,Viewing dist (cm),Acutance
   40,  1.00,  0.00
   40,  2.00,  0.01
   40,  3.00,  0.01
   40,  4.00,  0.02
   40,  5.00,  0.02
   40,  6.00,  0.03
   40,  7.00,  0.04
   40,  8.00,  0.05
   40,  9.00,  0.06
   40, 10.00,  0.07
   40, 11.00,  0.08
   40, 12.00,  0.09
   40, 13.00,  0.10
   40, 14.00,  0.11
   40, 15.00,  0.12
   40, 16.00,  0.13
   40, 17.00,  0.14
   40, 18.00,  0.15
   40, 19.00,  0.15
   40, 20.00,  0.16
   40, 21.00,  0.17
   40, 22.00,  0.18
   40, 23.00,  0.19
   40, 24.00,  0.20
   40, 25.00,  0.21
   40, 26.00,  0.22
   40, 27.00,  0.23
   40, 28.00,  0.24
   40, 29.00,  0.24
   40, 30.00,  0.25
   40, 31.00,  0.26
   40, 32.00,  0.27
   40, 33.00,  0.28
   40, 34.00,  0.28
   40, 35.00,  0.29
   40, 36.00,  0.30
   40, 37.00,  0.31
   40, 38.00,  0.31
   40, 39.00,  0.32
   40, 40.00,  0.33
   40, 41.00,  0.34
   40, 42.00,  0.34
   40, 43.00,  0.35
   40, 44.00,  0.36
   40, 45.00,  0.36
   40, 46.00,  0.37
   40, 47.00,  0.38
   40, 48.00,  0.38
   40, 49.00,  0.39
   40, 50.00,  0.40
   40, 51.00,  0.40
   40, 52.00,  0.41
   40, 53.00,  0.41
   40, 54.00,  0.42
   40, 55.00,  0.43
   40, 56.00,  0.43
   40, 57.00,  0.44
   40, 58.00,  0.44
   40, 59.00,  0.45
   40, 60.00,  0.45
   40, 61.00,  0.46
   40, 62.00,  0.46
   40, 63.00,  0.47
   40, 64.00,  0.47
   40, 65.00,  0.48
   40, 66.00,  0.48
   40, 67.00,  0.49
   40, 68.00,  0.49
   40, 69.00,  0.50
   40, 70.00,  0.50
   40, 71.00,  0.51
   40, 72.00,  0.51
   40, 73.00,  0.52
   40, 74.00,  0.52
   40, 75.00,  0.52
   40, 76.00,  0.53
   40, 77.00,  0.53
