Imatest,5.1.36,,Random
File,OV13b10_AG8_ET5500_deadleaf_12M_40_denoised.raw
Run date,19-Mar-2026 16:15:05,,Build 2020-01-08

Image pixels (WxH),4032,3024
Crop,1668,1652
L R T B, 1194,2861,648,2299
pixels/in,0
pixels/mm,0
um/pixel,0
MTF30,0.18 Cy/Pxl,Secondary readout

Table of MTF
f (c/p),f (C/P),MTF,MTF w/noise,Noise PSD,S+N PSD,Signal PSD,,Seg 1
 0.0020,   0.0020, 0.8241, 0.8229, 0.0091698, 1.0000000, 0.9908302,, 0.8241
 0.0098,   0.0098, 0.9123, 0.9247, 0.0091698, 0.2385358, 0.2293660,, 0.9123
 0.0177,   0.0177, 1.0000, 1.0000, 0.0012146, 0.1003250, 0.0991104,, 1.0000
 0.0256,   0.0256, 0.9656, 0.9629, 0.0003164, 0.0475248, 0.0472084,, 0.9656
 0.0335,   0.0335, 0.9411, 0.9382, 0.0001625, 0.0272701, 0.0271076,, 0.9411
 0.0413,   0.0413, 0.9079, 0.9066, 0.0001583, 0.0170441, 0.0168857,, 0.9079
 0.0492,   0.0492, 0.8714, 0.8701, 0.0001006, 0.0112400, 0.0111393,, 0.8714
 0.0571,   0.0571, 0.8443, 0.8426, 0.0000644, 0.0079170, 0.0078526,, 0.8443
 0.0649,   0.0649, 0.7881, 0.7878, 0.0000614, 0.0053877, 0.0053263,, 0.7881
 0.0728,   0.0728, 0.7324, 0.7327, 0.0000488, 0.0037300, 0.0036811,, 0.7324
 0.0807,   0.0807, 0.6878, 0.6885, 0.0000382, 0.0026970, 0.0026587,, 0.6878
 0.0886,   0.0886, 0.6462, 0.6485, 0.0000386, 0.0019957, 0.0019572,, 0.6462
 0.0964,   0.0964, 0.6076, 0.6095, 0.0000270, 0.0014915, 0.0014644,, 0.6076
 0.1043,   0.1043, 0.5757, 0.5788, 0.0000259, 0.0011527, 0.0011268,, 0.5757
 0.1122,   0.1122, 0.5403, 0.5451, 0.0000261, 0.0008865, 0.0008604,, 0.5403
 0.1201,   0.1201, 0.5100, 0.5155, 0.0000229, 0.0006940, 0.0006711,, 0.5100
 0.1279,   0.1279, 0.4759, 0.4826, 0.0000211, 0.0005367, 0.0005156,, 0.4759
 0.1358,   0.1358, 0.4559, 0.4651, 0.0000227, 0.0004432, 0.0004206,, 0.4559
 0.1437,   0.1437, 0.4226, 0.4340, 0.0000218, 0.0003452, 0.0003235,, 0.4226
 0.1516,   0.1516, 0.3958, 0.4094, 0.0000212, 0.0002765, 0.0002553,, 0.3958
 0.1594,   0.1594, 0.3576, 0.3756, 0.0000221, 0.0002106, 0.0001886,, 0.3576
 0.1673,   0.1673, 0.3367, 0.3555, 0.0000196, 0.0001715, 0.0001520,, 0.3367
 0.1752,   0.1752, 0.3119, 0.3344, 0.0000194, 0.0001386, 0.0001191,, 0.3119
 0.1831,   0.1831, 0.2918, 0.3160, 0.0000179, 0.0001134, 0.0000956,, 0.2918
 0.1909,   0.1909, 0.2752, 0.3033, 0.0000180, 0.0000962, 0.0000782,, 0.2752
 0.1988,   0.1988, 0.2615, 0.2951, 0.0000188, 0.0000840, 0.0000652,, 0.2615
 0.2067,   0.2067, 0.2462, 0.2798, 0.0000164, 0.0000699, 0.0000535,, 0.2462
 0.2146,   0.2146, 0.2305, 0.2697, 0.0000168, 0.0000603, 0.0000435,, 0.2305
 0.2224,   0.2224, 0.2251, 0.2669, 0.0000164, 0.0000550, 0.0000387,, 0.2251
 0.2303,   0.2303, 0.2182, 0.2620, 0.0000156, 0.0000495, 0.0000339,, 0.2182
 0.2382,   0.2382, 0.2131, 0.2596, 0.0000152, 0.0000455, 0.0000303,, 0.2131
 0.2461,   0.2461, 0.2070, 0.2563, 0.0000148, 0.0000415, 0.0000268,, 0.2070
 0.2539,   0.2539, 0.2002, 0.2566, 0.0000156, 0.0000391, 0.0000235,, 0.2002
 0.2618,   0.2618, 0.1970, 0.2558, 0.0000152, 0.0000366, 0.0000214,, 0.1970
 0.2697,   0.2697, 0.1927, 0.2550, 0.0000149, 0.0000343, 0.0000193,, 0.1927
 0.2776,   0.2776, 0.1944, 0.2604, 0.0000152, 0.0000338, 0.0000186,, 0.1944
 0.2854,   0.2854, 0.1952, 0.2587, 0.0000138, 0.0000315, 0.0000177,, 0.1952
 0.2933,   0.2933, 0.1934, 0.2623, 0.0000142, 0.0000307, 0.0000165,, 0.1934
 0.3012,   0.3012, 0.1988, 0.2629, 0.0000127, 0.0000293, 0.0000165,, 0.1988
 0.3091,   0.3091, 0.1990, 0.2669, 0.0000129, 0.0000286, 0.0000157,, 0.1990
 0.3169,   0.3169, 0.1906, 0.2704, 0.0000143, 0.0000280, 0.0000137,, 0.1906
 0.3248,   0.3248, 0.1978, 0.2755, 0.0000136, 0.0000276, 0.0000141,, 0.1978
 0.3327,   0.3327, 0.1966, 0.2776, 0.0000135, 0.0000268, 0.0000133,, 0.1966
 0.3406,   0.3406, 0.2029, 0.2852, 0.0000135, 0.0000270, 0.0000135,, 0.2029
 0.3484,   0.3484, 0.2041, 0.2896, 0.0000135, 0.0000266, 0.0000130,, 0.2041
 0.3563,   0.3563, 0.2088, 0.2978, 0.0000138, 0.0000269, 0.0000131,, 0.2088
 0.3642,   0.3642, 0.2182, 0.3057, 0.0000135, 0.0000271, 0.0000136,, 0.2182
 0.3721,   0.3721, 0.2161, 0.3071, 0.0000134, 0.0000262, 0.0000128,, 0.2161
 0.3799,   0.3799, 0.2268, 0.3165, 0.0000132, 0.0000267, 0.0000136,, 0.2268
 0.3878,   0.3878, 0.2344, 0.3210, 0.0000125, 0.0000264, 0.0000139,, 0.2344
 0.3957,   0.3957, 0.2401, 0.3290, 0.0000126, 0.0000266, 0.0000140,, 0.2401
 0.4036,   0.4036, 0.2418, 0.3351, 0.0000129, 0.0000266, 0.0000137,, 0.2418
 0.4114,   0.4114, 0.2536, 0.3431, 0.0000123, 0.0000268, 0.0000145,, 0.2536
 0.4193,   0.4193, 0.2622, 0.3529, 0.0000124, 0.0000273, 0.0000149,, 0.2622
 0.4272,   0.4272, 0.2749, 0.3623, 0.0000120, 0.0000277, 0.0000158,, 0.2749
 0.4351,   0.4351, 0.2813, 0.3738, 0.0000125, 0.0000285, 0.0000159,, 0.2813
 0.4429,   0.4429, 0.3112, 0.4002, 0.0000127, 0.0000315, 0.0000188,, 0.3112
 0.4508,   0.4508, 0.3190, 0.4109, 0.0000130, 0.0000320, 0.0000191,, 0.3190
 0.4587,   0.4587, 0.3486, 0.4339, 0.0000125, 0.0000345, 0.0000220,, 0.3486
 0.4665,   0.4665, 0.3801, 0.4612, 0.0000124, 0.0000377, 0.0000253,, 0.3801
 0.4744,   0.4744, 0.4183, 0.4978, 0.0000128, 0.0000425, 0.0000296,, 0.4183
 0.4823,   0.4823, 0.4680, 0.5454, 0.0000135, 0.0000493, 0.0000359,, 0.4680
 0.4902,   0.4902, 0.5427, 0.6121, 0.0000134, 0.0000602, 0.0000467,, 0.5427
 0.4980,   0.4980, 0.5999, 0.7108, 0.0000233, 0.0000786, 0.0000553,, 0.5999

MTFnn C/P, Mean,  Seg 1,
MTF70 C/P,0.0785, 0.0785, 
MTF50 C/P,0.1224, 0.1224, 
MTF30 C/P,0.1799, 0.1799, 
MTF20 C/P,0.2544, 0.2544, 
MTF10 C/P,0.0000, 0.0000, 
MTFnnP C/P, Mean,  Seg 1,
MTF70P C/P,0.0785, 0.0785, 
MTF50P C/P,0.1224, 0.1224, 
MTF30P C/P,0.1799, 0.1799, 
MTF20P C/P,0.2544, 0.2544, 
MTF10P C/P,0.0000, 0.0000, 
Undersharpening %,27.106

Acutance (CPIQ), Region, 1 of 1
Print height ,Viewing dist (cm),Acutance
   40,  1.00,  0.00
   40,  2.00,  0.00
   40,  3.00,  0.01
   40,  4.00,  0.02
   40,  5.00,  0.02
   40,  6.00,  0.03
   40,  7.00,  0.04
   40,  8.00,  0.04
   40,  9.00,  0.05
   40, 10.00,  0.06
   40, 11.00,  0.07
   40, 12.00,  0.08
   40, 13.00,  0.09
   40, 14.00,  0.10
   40, 15.00,  0.10
   40, 16.00,  0.11
   40, 17.00,  0.12
   40, 18.00,  0.13
   40, 19.00,  0.14
   40, 20.00,  0.15
   40, 21.00,  0.16
   40, 22.00,  0.17
   40, 23.00,  0.17
   40, 24.00,  0.18
   40, 25.00,  0.19
   40, 26.00,  0.20
   40, 27.00,  0.21
   40, 28.00,  0.22
   40, 29.00,  0.22
   40, 30.00,  0.23
   40, 31.00,  0.24
   40, 32.00,  0.25
   40, 33.00,  0.26
   40, 34.00,  0.26
   40, 35.00,  0.27
   40, 36.00,  0.28
   40, 37.00,  0.29
   40, 38.00,  0.29
   40, 39.00,  0.30
   40, 40.00,  0.31
   40, 41.00,  0.32
   40, 42.00,  0.32
   40, 43.00,  0.33
   40, 44.00,  0.34
   40, 45.00,  0.34
   40, 46.00,  0.35
   40, 47.00,  0.36
   40, 48.00,  0.36
   40, 49.00,  0.37
   40, 50.00,  0.37
   40, 51.00,  0.38
   40, 52.00,  0.39
   40, 53.00,  0.39
   40, 54.00,  0.40
   40, 55.00,  0.40
   40, 56.00,  0.41
   40, 57.00,  0.42
   40, 58.00,  0.42
   40, 59.00,  0.43
   40, 60.00,  0.43
   40, 61.00,  0.44
   40, 62.00,  0.44
   40, 63.00,  0.45
   40, 64.00,  0.45
   40, 65.00,  0.46
   40, 66.00,  0.46
   40, 67.00,  0.47
   40, 68.00,  0.47
   40, 69.00,  0.48
   40, 70.00,  0.48
   40, 71.00,  0.49
   40, 72.00,  0.49
   40, 73.00,  0.50
   40, 74.00,  0.50
   40, 75.00,  0.51
   40, 76.00,  0.51
   40, 77.00,  0.51
   40, 78.00,  0.52
   40, 79.00,  0.52
   40, 80.00,  0.53
   40, 81.00,  0.53
   40, 82.00,  0.53
   40, 83.00,  0.54
   40, 84.00,  0.54
   40, 85.00,  0.55
   40, 86.00,  0.55
   40, 87.00,  0.55
   40, 88.00,  0.56
   40, 89.00,  0.56
   40, 90.00,  0.56
   40, 91.00,  0.57
   40, 92.00,  0.57
   40, 93.00,  0.57
   40, 94.00,  0.58
   40, 95.00,  0.58
   40, 96.00,  0.58
   40, 97.00,  0.59
   40, 98.00,  0.59
   40, 99.00,  0.59
   40,100.00,  0.60
Use unnormalized MTF for Acutance calculation
CPIQ Results
Computer Monitor Acutance,0.395,
Computer Monitor Quality Loss,20.871,
5.5" Phone Display Acutance,0.835,
5.5" Phone Display Quality Loss,1.338,
UHDTV Display Acutance,0.548,
UHDTV Display Quality Loss,11.305,
Small Print Acutance,0.561,
Small Print Quality Loss,10.629,
Large Print Acutance,0.505,
Large Print Quality Loss,13.660,
Gamma, 0.5
Color channel, R
Max detected f (c/p), 0.498

Exif data












































































































































































































































































































