Imatest,5.1.36,,Random
File,OV13b10_AG4_ET11000_deadleaf_12M_20_denoised.raw
Run date,19-Mar-2026 16:15:05,,Build 2020-01-08

Image pixels (WxH),4032,3024
Crop,1668,1652
L R T B, 1195,2862,648,2299
pixels/in,0
pixels/mm,0
um/pixel,0
MTF30,0.177 Cy/Pxl,Secondary readout

Table of MTF
f (c/p),f (C/P),MTF,MTF w/noise,Noise PSD,S+N PSD,Signal PSD,,Seg 1
 0.0020,   0.0020, 0.8226, 0.8229, 0.0103158, 1.0000000, 0.9896842,, 0.8226
 0.0098,   0.0098, 0.9082, 0.9241, 0.0103158, 0.2381734, 0.2278575,, 0.9082
 0.0177,   0.0177, 1.0000, 1.0000, 0.0009679, 0.1003158, 0.0993480,, 1.0000
 0.0256,   0.0256, 0.9599, 0.9577, 0.0002412, 0.0470071, 0.0467659,, 0.9599
 0.0335,   0.0335, 0.9416, 0.9393, 0.0001302, 0.0273364, 0.0272062,, 0.9416
 0.0413,   0.0413, 0.9110, 0.9096, 0.0001128, 0.0171543, 0.0170416,, 0.9110
 0.0492,   0.0492, 0.8713, 0.8694, 0.0000585, 0.0112213, 0.0111628,, 0.8713
 0.0571,   0.0571, 0.8445, 0.8431, 0.0000495, 0.0079254, 0.0078759,, 0.8445
 0.0649,   0.0649, 0.7906, 0.7901, 0.0000461, 0.0054189, 0.0053728,, 0.7906
 0.0728,   0.0728, 0.7341, 0.7332, 0.0000278, 0.0037349, 0.0037070,, 0.7341
 0.0807,   0.0807, 0.6866, 0.6864, 0.0000247, 0.0026806, 0.0026559,, 0.6866
 0.0886,   0.0886, 0.6482, 0.6488, 0.0000228, 0.0019970, 0.0019742,, 0.6482
 0.0964,   0.0964, 0.6099, 0.6105, 0.0000173, 0.0014960, 0.0014787,, 0.6099
 0.1043,   0.1043, 0.5744, 0.5759, 0.0000170, 0.0011412, 0.0011243,, 0.5744
 0.1122,   0.1122, 0.5384, 0.5413, 0.0000177, 0.0008739, 0.0008562,, 0.5384
 0.1201,   0.1201, 0.5011, 0.5044, 0.0000151, 0.0006644, 0.0006493,, 0.5011
 0.1279,   0.1279, 0.4704, 0.4753, 0.0000156, 0.0005205, 0.0005049,, 0.4704
 0.1358,   0.1358, 0.4468, 0.4530, 0.0000153, 0.0004204, 0.0004051,, 0.4468
 0.1437,   0.1437, 0.4116, 0.4188, 0.0000140, 0.0003214, 0.0003075,, 0.4116
 0.1516,   0.1516, 0.3857, 0.3928, 0.0000115, 0.0002546, 0.0002431,, 0.3857
 0.1594,   0.1594, 0.3505, 0.3607, 0.0000126, 0.0001942, 0.0001816,, 0.3505
 0.1673,   0.1673, 0.3292, 0.3401, 0.0000113, 0.0001569, 0.0001456,, 0.3292
 0.1752,   0.1752, 0.3054, 0.3183, 0.0000110, 0.0001255, 0.0001145,, 0.3054
 0.1831,   0.1831, 0.2806, 0.2954, 0.0000105, 0.0000991, 0.0000886,, 0.2806
 0.1909,   0.1909, 0.2626, 0.2808, 0.0000110, 0.0000824, 0.0000714,, 0.2626
 0.1988,   0.1988, 0.2485, 0.2692, 0.0000109, 0.0000699, 0.0000590,, 0.2485
 0.2067,   0.2067, 0.2358, 0.2578, 0.0000102, 0.0000594, 0.0000492,, 0.2358
 0.2146,   0.2146, 0.2177, 0.2436, 0.0000103, 0.0000492, 0.0000389,, 0.2177
 0.2224,   0.2224, 0.2139, 0.2395, 0.0000093, 0.0000443, 0.0000350,, 0.2139
 0.2303,   0.2303, 0.2030, 0.2342, 0.0000101, 0.0000395, 0.0000294,, 0.2030
 0.2382,   0.2382, 0.1939, 0.2250, 0.0000090, 0.0000341, 0.0000251,, 0.1939
 0.2461,   0.2461, 0.1888, 0.2209, 0.0000085, 0.0000309, 0.0000223,, 0.1888
 0.2539,   0.2539, 0.1888, 0.2247, 0.0000090, 0.0000300, 0.0000210,, 0.1888
 0.2618,   0.2618, 0.1806, 0.2197, 0.0000089, 0.0000270, 0.0000180,, 0.1806
 0.2697,   0.2697, 0.1788, 0.2191, 0.0000086, 0.0000253, 0.0000167,, 0.1788
 0.2776,   0.2776, 0.1734, 0.2195, 0.0000092, 0.0000240, 0.0000148,, 0.1734
 0.2854,   0.2854, 0.1736, 0.2196, 0.0000087, 0.0000227, 0.0000140,, 0.1736
 0.2933,   0.2933, 0.1698, 0.2170, 0.0000083, 0.0000210, 0.0000127,, 0.1698
 0.3012,   0.3012, 0.1726, 0.2208, 0.0000082, 0.0000206, 0.0000125,, 0.1726
 0.3091,   0.3091, 0.1755, 0.2234, 0.0000078, 0.0000201, 0.0000123,, 0.1755
 0.3169,   0.3169, 0.1677, 0.2253, 0.0000088, 0.0000194, 0.0000107,, 0.1677
 0.3248,   0.3248, 0.1717, 0.2267, 0.0000081, 0.0000187, 0.0000106,, 0.1717
 0.3327,   0.3327, 0.1740, 0.2295, 0.0000079, 0.0000183, 0.0000104,, 0.1740
 0.3406,   0.3406, 0.1787, 0.2361, 0.0000080, 0.0000185, 0.0000105,, 0.1787
 0.3484,   0.3484, 0.1818, 0.2401, 0.0000079, 0.0000183, 0.0000104,, 0.1818
 0.3563,   0.3563, 0.1828, 0.2474, 0.0000085, 0.0000185, 0.0000100,, 0.1828
 0.3642,   0.3642, 0.1879, 0.2507, 0.0000081, 0.0000182, 0.0000101,, 0.1879
 0.3721,   0.3721, 0.1960, 0.2544, 0.0000074, 0.0000180, 0.0000106,, 0.1960
 0.3799,   0.3799, 0.2035, 0.2643, 0.0000077, 0.0000186, 0.0000109,, 0.2035
 0.3878,   0.3878, 0.2063, 0.2668, 0.0000074, 0.0000182, 0.0000108,, 0.2063
 0.3957,   0.3957, 0.2106, 0.2737, 0.0000076, 0.0000184, 0.0000108,, 0.2106
 0.4036,   0.4036, 0.2207, 0.2813, 0.0000073, 0.0000187, 0.0000114,, 0.2207
 0.4114,   0.4114, 0.2256, 0.2874, 0.0000073, 0.0000188, 0.0000115,, 0.2256
 0.4193,   0.4193, 0.2355, 0.2988, 0.0000075, 0.0000196, 0.0000120,, 0.2355
 0.4272,   0.4272, 0.2434, 0.3065, 0.0000074, 0.0000198, 0.0000124,, 0.2434
 0.4351,   0.4351, 0.2601, 0.3224, 0.0000075, 0.0000212, 0.0000136,, 0.2601
 0.4429,   0.4429, 0.2752, 0.3397, 0.0000079, 0.0000227, 0.0000147,, 0.2752
 0.4508,   0.4508, 0.2901, 0.3535, 0.0000079, 0.0000237, 0.0000158,, 0.2901
 0.4587,   0.4587, 0.3184, 0.3770, 0.0000076, 0.0000261, 0.0000184,, 0.3184
 0.4665,   0.4665, 0.3496, 0.4041, 0.0000075, 0.0000289, 0.0000215,, 0.3496
 0.4744,   0.4744, 0.3825, 0.4363, 0.0000078, 0.0000326, 0.0000248,, 0.3825
 0.4823,   0.4823, 0.4284, 0.4787, 0.0000079, 0.0000380, 0.0000301,, 0.4284
 0.4902,   0.4902, 0.5006, 0.5452, 0.0000079, 0.0000477, 0.0000399,, 0.5006
 0.4980,   0.4980, 0.5565, 0.6381, 0.0000156, 0.0000633, 0.0000477,, 0.5565

MTFnn C/P, Mean,  Seg 1,
MTF70 C/P,0.0785, 0.0785, 
MTF50 C/P,0.1203, 0.1203, 
MTF30 C/P,0.1769, 0.1769, 
MTF20 C/P,0.2329, 0.2329, 
MTF10 C/P,0.0000, 0.0000, 
MTFnnP C/P, Mean,  Seg 1,
MTF70P C/P,0.0785, 0.0785, 
MTF50P C/P,0.1203, 0.1203, 
MTF30P C/P,0.1769, 0.1769, 
MTF20P C/P,0.2329, 0.2329, 
MTF10P C/P,0.0000, 0.0000, 
Undersharpening %,26.151

Acutance (CPIQ), Region, 1 of 1
Print height ,Viewing dist (cm),Acutance
   40,  1.00,  0.00
   40,  2.00,  0.00
   40,  3.00,  0.01
   40,  4.00,  0.01
   40,  5.00,  0.02
   40,  6.00,  0.03
   40,  7.00,  0.03
   40,  8.00,  0.04
   40,  9.00,  0.05
   40, 10.00,  0.06
   40, 11.00,  0.07
   40, 12.00,  0.08
   40, 13.00,  0.08
   40, 14.00,  0.09
   40, 15.00,  0.10
   40, 16.00,  0.11
   40, 17.00,  0.12
   40, 18.00,  0.13
   40, 19.00,  0.14
   40, 20.00,  0.15
   40, 21.00,  0.15
   40, 22.00,  0.16
   40, 23.00,  0.17
   40, 24.00,  0.18
   40, 25.00,  0.19
   40, 26.00,  0.20
   40, 27.00,  0.21
   40, 28.00,  0.21
   40, 29.00,  0.22
   40, 30.00,  0.23
   40, 31.00,  0.24
   40, 32.00,  0.25
   40, 33.00,  0.25
   40, 34.00,  0.26
   40, 35.00,  0.27
   40, 36.00,  0.28
   40, 37.00,  0.28
   40, 38.00,  0.29
   40, 39.00,  0.30
   40, 40.00,  0.31
   40, 41.00,  0.31
   40, 42.00,  0.32
   40, 43.00,  0.33
   40, 44.00,  0.33
   40, 45.00,  0.34
   40, 46.00,  0.35
   40, 47.00,  0.35
   40, 48.00,  0.36
   40, 49.00,  0.37
   40, 50.00,  0.37
   40, 51.00,  0.38
   40, 52.00,  0.38
   40, 53.00,  0.39
   40, 54.00,  0.40
   40, 55.00,  0.40
   40, 56.00,  0.41
   40, 57.00,  0.41
   40, 58.00,  0.42
   40, 59.00,  0.42
   40, 60.00,  0.43
   40, 61.00,  0.44
   40, 62.00,  0.44
   40, 63.00,  0.45
   40, 64.00,  0.45
   40, 65.00,  0.46
   40, 66.00,  0.46
   40, 67.00,  0.47
   40, 68.00,  0.47
   40, 69.00,  0.48
   40, 70.00,  0.48
   40, 71.00,  0.49
   40, 72.00,  0.49
   40, 73.00,  0.49
   40, 74.00,  0.50
   40, 75.00,  0.50
   40, 76.00,  0.51
   40, 77.00,  0.51
   40, 78.00,  0.52
   40, 79.00,  0.52
   40, 80.00,  0.52
   40, 81.00,  0.53
   40, 82.00,  0.53
   40, 83.00,  0.54
   40, 84.00,  0.54
   40, 85.00,  0.54
   40, 86.00,  0.55
   40, 87.00,  0.55
   40, 88.00,  0.56
   40, 89.00,  0.56
   40, 90.00,  0.56
   40, 91.00,  0.57
   40, 92.00,  0.57
   40, 93.00,  0.57
   40, 94.00,  0.58
   40, 95.00,  0.58
   40, 96.00,  0.58
   40, 97.00,  0.59
   40, 98.00,  0.59
   40, 99.00,  0.59
   40,100.00,  0.60
Use unnormalized MTF for Acutance calculation
CPIQ Results
Computer Monitor Acutance,0.387,
Computer Monitor Quality Loss,21.513,
5.5" Phone Display Acutance,0.834,
5.5" Phone Display Quality Loss,1.354,
UHDTV Display Acutance,0.543,
UHDTV Display Quality Loss,11.529,
Small Print Acutance,0.560,
Small Print Quality Loss,10.669,
Large Print Acutance,0.504,
Large Print Quality Loss,13.737,
Gamma, 0.5
Color channel, R
Max detected f (c/p), 0.498

Exif data












































































































































































































































































































