Imatest,5.1.36,,Random
File,OV13b10_AG1_ET40000_deadleaf_12M_1.raw
Run date,19-Mar-2026 14:55:22,,Build 2020-01-08

Image pixels (WxH),4032,3024
Crop,1673,1656
L R T B, 1194,2866,646,2301
pixels/in,0
pixels/mm,0
um/pixel,0
MTF30,0 Cy/Pxl,Secondary readout

Table of MTF
f (c/p),f (C/P),MTF,MTF w/noise,Noise PSD,S+N PSD,Signal PSD,,Seg 1
 0.0020,   0.0020, 0.8100, 0.8107, 0.0088419, 1.0000000, 0.9911581,, 0.8100
 0.0098,   0.0098, 0.9098, 0.9233, 0.0088419, 0.2462626, 0.2374207,, 0.9098
 0.0177,   0.0177, 1.0000, 1.0000, 0.0007471, 0.1049234, 0.1041762,, 1.0000
 0.0256,   0.0256, 0.9672, 0.9650, 0.0001346, 0.0499888, 0.0498542,, 0.9672
 0.0335,   0.0335, 0.9593, 0.9570, 0.0000690, 0.0297281, 0.0296591,, 0.9593
 0.0413,   0.0413, 0.9384, 0.9366, 0.0000592, 0.0190567, 0.0189975,, 0.9384
 0.0492,   0.0492, 0.9173, 0.9152, 0.0000338, 0.0130316, 0.0129978,, 0.9173
 0.0571,   0.0571, 0.9148, 0.9129, 0.0000309, 0.0097438, 0.0097129,, 0.9148
 0.0649,   0.0649, 0.8720, 0.8711, 0.0000344, 0.0069058, 0.0068714,, 0.8720
 0.0728,   0.0728, 0.8458, 0.8447, 0.0000235, 0.0051993, 0.0051757,, 0.8458
 0.0807,   0.0807, 0.8105, 0.8100, 0.0000225, 0.0039148, 0.0038923,, 0.8105
 0.0886,   0.0886, 0.7917, 0.7921, 0.0000251, 0.0031208, 0.0030957,, 0.7917
 0.0964,   0.0964, 0.7610, 0.7617, 0.0000213, 0.0024421, 0.0024208,, 0.7610
 0.1043,   0.1043, 0.7444, 0.7456, 0.0000208, 0.0020067, 0.0019859,, 0.7444
 0.1122,   0.1122, 0.7186, 0.7206, 0.0000203, 0.0016248, 0.0016045,, 0.7186
 0.1201,   0.1201, 0.6922, 0.6951, 0.0000204, 0.0013231, 0.0013027,, 0.6922
 0.1279,   0.1279, 0.6686, 0.6726, 0.0000206, 0.0010932, 0.0010726,, 0.6686
 0.1358,   0.1358, 0.6627, 0.6674, 0.0000203, 0.0009567, 0.0009364,, 0.6627
 0.1437,   0.1437, 0.6291, 0.6362, 0.0000226, 0.0007778, 0.0007552,, 0.6291
 0.1516,   0.1516, 0.6160, 0.6228, 0.0000192, 0.0006708, 0.0006516,, 0.6160
 0.1594,   0.1594, 0.5865, 0.5947, 0.0000190, 0.0005536, 0.0005345,, 0.5865
 0.1673,   0.1673, 0.5709, 0.5801, 0.0000184, 0.0004790, 0.0004606,, 0.5709
 0.1752,   0.1752, 0.5474, 0.5586, 0.0000189, 0.0004054, 0.0003866,, 0.5474
 0.1831,   0.1831, 0.5291, 0.5414, 0.0000181, 0.0003491, 0.0003310,, 0.5291
 0.1909,   0.1909, 0.5151, 0.5293, 0.0000184, 0.0003071, 0.0002887,, 0.5151
 0.1988,   0.1988, 0.5055, 0.5228, 0.0000199, 0.0002765, 0.0002566,, 0.5055
 0.2067,   0.2067, 0.4832, 0.5017, 0.0000186, 0.0002358, 0.0002171,, 0.4832
 0.2146,   0.2146, 0.4694, 0.4909, 0.0000193, 0.0002096, 0.0001903,, 0.4694
 0.2224,   0.2224, 0.4586, 0.4815, 0.0000186, 0.0001877, 0.0001691,, 0.4586
 0.2303,   0.2303, 0.4386, 0.4633, 0.0000178, 0.0001622, 0.0001444,, 0.4386
 0.2382,   0.2382, 0.4305, 0.4569, 0.0000175, 0.0001476, 0.0001301,, 0.4305
 0.2461,   0.2461, 0.4151, 0.4434, 0.0000170, 0.0001304, 0.0001134,, 0.4151
 0.2539,   0.2539, 0.4088, 0.4424, 0.0000186, 0.0001219, 0.0001033,, 0.4088
 0.2618,   0.2618, 0.3893, 0.4273, 0.0000188, 0.0001070, 0.0000882,, 0.3893
 0.2697,   0.2697, 0.3823, 0.4216, 0.0000180, 0.0000982, 0.0000802,, 0.3823
 0.2776,   0.2776, 0.3807, 0.4236, 0.0000185, 0.0000937, 0.0000751,, 0.3807
 0.2854,   0.2854, 0.3749, 0.4145, 0.0000159, 0.0000848, 0.0000689,, 0.3749
 0.2933,   0.2933, 0.3650, 0.4089, 0.0000163, 0.0000782, 0.0000619,, 0.3650
 0.3012,   0.3012, 0.3525, 0.4023, 0.0000171, 0.0000718, 0.0000547,, 0.3525
 0.3091,   0.3091, 0.3507, 0.4055, 0.0000178, 0.0000693, 0.0000515,, 0.3507
 0.3169,   0.3169, 0.3440, 0.4082, 0.0000197, 0.0000668, 0.0000471,, 0.3440
 0.3248,   0.3248, 0.3367, 0.3957, 0.0000168, 0.0000598, 0.0000430,, 0.3367
 0.3327,   0.3327, 0.3427, 0.4014, 0.0000162, 0.0000587, 0.0000425,, 0.3427
 0.3406,   0.3406, 0.3289, 0.3977, 0.0000177, 0.0000550, 0.0000373,, 0.3289
 0.3484,   0.3484, 0.3311, 0.3965, 0.0000161, 0.0000522, 0.0000362,, 0.3311
 0.3563,   0.3563, 0.3311, 0.4054, 0.0000177, 0.0000522, 0.0000346,, 0.3311
 0.3642,   0.3642, 0.3293, 0.4116, 0.0000188, 0.0000515, 0.0000328,, 0.3293
 0.3721,   0.3721, 0.3248, 0.4052, 0.0000173, 0.0000479, 0.0000305,, 0.3248
 0.3799,   0.3799, 0.3340, 0.4161, 0.0000174, 0.0000484, 0.0000310,, 0.3340
 0.3878,   0.3878, 0.3349, 0.4159, 0.0000165, 0.0000464, 0.0000299,, 0.3349
 0.3957,   0.3957, 0.3407, 0.4217, 0.0000161, 0.0000459, 0.0000297,, 0.3407
 0.4036,   0.4036, 0.3531, 0.4339, 0.0000160, 0.0000467, 0.0000307,, 0.3531
 0.4114,   0.4114, 0.3568, 0.4374, 0.0000155, 0.0000457, 0.0000302,, 0.3568
 0.4193,   0.4193, 0.3739, 0.4576, 0.0000162, 0.0000481, 0.0000319,, 0.3739
 0.4272,   0.4272, 0.3867, 0.4681, 0.0000156, 0.0000485, 0.0000329,, 0.3867
 0.4351,   0.4351, 0.3960, 0.4825, 0.0000165, 0.0000497, 0.0000332,, 0.3960
 0.4429,   0.4429, 0.4252, 0.5215, 0.0000190, 0.0000560, 0.0000370,, 0.4252
 0.4508,   0.4508, 0.4405, 0.5316, 0.0000179, 0.0000562, 0.0000383,, 0.4405
 0.4587,   0.4587, 0.4783, 0.5624, 0.0000171, 0.0000608, 0.0000437,, 0.4783
 0.4665,   0.4665, 0.5143, 0.5890, 0.0000157, 0.0000645, 0.0000488,, 0.5143
 0.4744,   0.4744, 0.5640, 0.6431, 0.0000176, 0.0000743, 0.0000567,, 0.5640
 0.4823,   0.4823, 0.6153, 0.6867, 0.0000166, 0.0000820, 0.0000654,, 0.6153
 0.4902,   0.4902, 0.7028, 0.7663, 0.0000163, 0.0000989, 0.0000826,, 0.7028
 0.4980,   0.4980, 0.8026, 0.9002, 0.0000278, 0.0001322, 0.0001043,, 0.8026

MTFnn C/P, Mean,  Seg 1,
MTF70 C/P,0.1177, 0.1177, 
MTF50 C/P,0.2008, 0.2008, 
MTF30 C/P,0.0000, 0.0000, 
MTF20 C/P,0.0000, 0.0000, 
MTF10 C/P,0.0000, 0.0000, 
MTFnnP C/P, Mean,  Seg 1,
MTF70P C/P,0.1177, 0.1177, 
MTF50P C/P,0.2008, 0.2008, 
MTF30P C/P,0.0000, 0.0000, 
MTF20P C/P,0.0000, 0.0000, 
MTF10P C/P,0.0000, 0.0000, 
Undersharpening %,38.139

Acutance (CPIQ), Region, 1 of 1
Print height ,Viewing dist (cm),Acutance
   40,  1.00,  0.00
   40,  2.00,  0.01
   40,  3.00,  0.01
   40,  4.00,  0.02
   40,  5.00,  0.03
   40,  6.00,  0.04
   40,  7.00,  0.05
   40,  8.00,  0.06
   40,  9.00,  0.07
   40, 10.00,  0.08
   40, 11.00,  0.09
   40, 12.00,  0.11
   40, 13.00,  0.12
   40, 14.00,  0.13
   40, 15.00,  0.14
   40, 16.00,  0.15
   40, 17.00,  0.16
   40, 18.00,  0.17
   40, 19.00,  0.19
   40, 20.00,  0.20
   40, 21.00,  0.21
   40, 22.00,  0.22
   40, 23.00,  0.23
   40, 24.00,  0.24
   40, 25.00,  0.25
   40, 26.00,  0.26
   40, 27.00,  0.27
   40, 28.00,  0.28
   40, 29.00,  0.28
   40, 30.00,  0.29
   40, 31.00,  0.30
   40, 32.00,  0.31
   40, 33.00,  0.32
   40, 34.00,  0.33
   40, 35.00,  0.34
   40, 36.00,  0.34
   40, 37.00,  0.35
   40, 38.00,  0.36
   40, 39.00,  0.37
   40, 40.00,  0.38
   40, 41.00,  0.38
   40, 42.00,  0.39
   40, 43.00,  0.40
   40, 44.00,  0.40
   40, 45.00,  0.41
   40, 46.00,  0.42
   40, 47.00,  0.42
   40, 48.00,  0.43
   40, 49.00,  0.44
   40, 50.00,  0.44
   40, 51.00,  0.45
   40, 52.00,  0.46
   40, 53.00,  0.46
   40, 54.00,  0.47
   40, 55.00,  0.47
   40, 56.00,  0.48
   40, 57.00,  0.48
   40, 58.00,  0.49
   40, 59.00,  0.49
   40, 60.00,  0.50
   40, 61.00,  0.50
   40, 62.00,  0.51
   40, 63.00,  0.51
   40, 64.00,  0.52
   40, 65.00,  0.52
   40, 66.00,  0.53
   40, 67.00,  0.53
   40, 68.00,  0.54
   40, 69.00,  0.54
   40, 70.00,  0.55
   40, 71.00,  0.55
   40, 72.00,  0.55
   40, 73.00,  0.56
   40, 74.00,  0.56
   40, 75.00,  0.57
   40, 76.00,  0.57
   40, 77.00,  0.57
   40, 78.00,  0.58
   40, 79.00,  0.58
   40, 80.00,  0.59
   40, 81.00,  0.59
   40, 82.00,  0.59
   40, 83.00,  0.60
   40, 84.00,  0.60
   40, 85.00,  0.60
   40, 86.00,  0.61
   40, 87.00,  0.61
   40, 88.00,  0.61
   40, 89.00,  0.62
   40, 90.00,  0.62
   40, 91.00,  0.62
   40, 92.00,  0.63
   40, 93.00,  0.63
   40, 94.00,  0.63
   40, 95.00,  0.63
   40, 96.00,  0.64
   40, 97.00,  0.64
   40, 98.00,  0.64
   40, 99.00,  0.65
   40,100.00,  0.65
Use unnormalized MTF for Acutance calculation
CPIQ Results
Computer Monitor Acutance,0.532,
Computer Monitor Quality Loss,12.162,
5.5" Phone Display Acutance,0.861,
5.5" Phone Display Quality Loss,0.917,
UHDTV Display Acutance,0.670,
UHDTV Display Quality Loss,5.827,
Small Print Acutance,0.605,
Small Print Quality Loss,8.484,
Large Print Acutance,0.567,
Large Print Quality Loss,10.316,
Gamma, 0.5
Color channel, R
Max detected f (c/p), 0.498

Exif data












































































































































































































































































































