Imatest,5.1.36,,Random
File,OV13b10_AG8_ET5500_deadleaf_12M_40_denoised.raw
Run date,19-Mar-2026 16:08:31,,Build 2020-01-08

Image pixels (WxH),4032,3024
Crop,1668,1652
L R T B, 1194,2861,648,2299
pixels/in,0
pixels/mm,0
um/pixel,0
MTF30,0.249 Cy/Pxl,Secondary readout

Table of MTF
f (c/p),f (C/P),MTF,MTF w/noise,Noise PSD,S+N PSD,Signal PSD,,Seg 1
 0.0020,   0.0020, 0.8223, 0.8213, 0.0088657, 1.0000000, 0.9911343,, 0.8223
 0.0098,   0.0098, 0.9118, 0.9240, 0.0088657, 0.2390678, 0.2302021,, 0.9118
 0.0177,   0.0177, 1.0000, 1.0000, 0.0011305, 0.1007115, 0.0995810,, 1.0000
 0.0256,   0.0256, 0.9667, 0.9644, 0.0003086, 0.0478516, 0.0475430,, 0.9667
 0.0335,   0.0335, 0.9464, 0.9440, 0.0001705, 0.0277158, 0.0275454,, 0.9464
 0.0413,   0.0413, 0.9162, 0.9157, 0.0001761, 0.0174542, 0.0172780,, 0.9162
 0.0492,   0.0492, 0.8823, 0.8824, 0.0001310, 0.0116051, 0.0114741,, 0.8823
 0.0571,   0.0571, 0.8641, 0.8640, 0.0000912, 0.0083564, 0.0082651,, 0.8641
 0.0649,   0.0649, 0.8153, 0.8171, 0.0000916, 0.0058185, 0.0057269,, 0.8153
 0.0728,   0.0728, 0.7657, 0.7689, 0.0000804, 0.0041231, 0.0040428,, 0.7657
 0.0807,   0.0807, 0.7244, 0.7285, 0.0000681, 0.0030314, 0.0029633,, 0.7244
 0.0886,   0.0886, 0.6903, 0.6972, 0.0000711, 0.0023157, 0.0022445,, 0.6903
 0.0964,   0.0964, 0.6549, 0.6618, 0.0000559, 0.0017652, 0.0017094,, 0.6549
 0.1043,   0.1043, 0.6278, 0.6368, 0.0000545, 0.0014007, 0.0013463,, 0.6278
 0.1122,   0.1122, 0.5940, 0.6061, 0.0000554, 0.0011000, 0.0010446,, 0.5940
 0.1201,   0.1201, 0.5683, 0.5821, 0.0000509, 0.0008882, 0.0008373,, 0.5683
 0.1279,   0.1279, 0.5415, 0.5566, 0.0000461, 0.0007168, 0.0006707,, 0.5415
 0.1358,   0.1358, 0.5247, 0.5451, 0.0000511, 0.0006110, 0.0005599,, 0.5247
 0.1437,   0.1437, 0.4956, 0.5199, 0.0000504, 0.0004973, 0.0004469,, 0.4956
 0.1516,   0.1516, 0.4745, 0.5026, 0.0000497, 0.0004184, 0.0003687,, 0.4745
 0.1594,   0.1594, 0.4352, 0.4710, 0.0000518, 0.0003324, 0.0002806,, 0.4352
 0.1673,   0.1673, 0.4210, 0.4580, 0.0000470, 0.0002858, 0.0002388,, 0.4210
 0.1752,   0.1752, 0.3993, 0.4414, 0.0000463, 0.0002425, 0.0001962,, 0.3993
 0.1831,   0.1831, 0.3833, 0.4281, 0.0000433, 0.0002090, 0.0001657,, 0.3833
 0.1909,   0.1909, 0.3707, 0.4214, 0.0000437, 0.0001863, 0.0001426,, 0.3707
 0.1988,   0.1988, 0.3595, 0.4194, 0.0000466, 0.0001704, 0.0001238,, 0.3595
 0.2067,   0.2067, 0.3432, 0.4034, 0.0000415, 0.0001459, 0.0001045,, 0.3432
 0.2146,   0.2146, 0.3269, 0.3945, 0.0000416, 0.0001296, 0.0000880,, 0.3269
 0.2224,   0.2224, 0.3255, 0.3971, 0.0000410, 0.0001223, 0.0000812,, 0.3255
 0.2303,   0.2303, 0.3154, 0.3908, 0.0000394, 0.0001105, 0.0000712,, 0.3154
 0.2382,   0.2382, 0.3138, 0.3926, 0.0000384, 0.0001044, 0.0000659,, 0.3138
 0.2461,   0.2461, 0.3038, 0.3888, 0.0000380, 0.0000959, 0.0000579,, 0.3038
 0.2539,   0.2539, 0.2950, 0.3915, 0.0000401, 0.0000914, 0.0000513,, 0.2950
 0.2618,   0.2618, 0.2908, 0.3905, 0.0000387, 0.0000856, 0.0000469,, 0.2908
 0.2697,   0.2697, 0.2842, 0.3902, 0.0000383, 0.0000806, 0.0000423,, 0.2842
 0.2776,   0.2776, 0.2878, 0.3989, 0.0000386, 0.0000795, 0.0000409,, 0.2878
 0.2854,   0.2854, 0.2897, 0.3966, 0.0000351, 0.0000743, 0.0000392,, 0.2897
 0.2933,   0.2933, 0.2858, 0.4031, 0.0000366, 0.0000728, 0.0000362,, 0.2858
